突破日,状态月,收盘,距状态月末交易日,6个月峰值,6个月期末,6个月分位,12个月峰值,12个月期末,12个月分位
2016-07-15,2015-12,12.63,131,0.06413301825523376,-0.11480601876974106,0.23280377844568484,0.10292953252792358,0.07917656004428864,0.22593981347947312
2017-07-21,2016-11,13.93,156,0.15865039825439453,0.015793252736330032,0.41580077286389006,0.15865039825439453,-0.25556352734565735,0.3060282665128353
2018-01-03,2017-12,15.31,2,-0.01502286083996296,-0.3069888949394226,0.05590382138256762,-0.01502286083996296,-0.5081645846366882,0.03663109316411883
2024-01-08,2023-11,12.14,26,1.0107084512710571,0.7883031368255615,0.92769428939459,1.0864909887313843,1.0378912687301636,0.8459763484280358
