,事件数,选中率,胜率,净期望,年化,回撤,p
【基线】全部OOS事件,9248.0,1.0,0.15852076124567474,0.017276184256680073,0.0009036808744158353,-0.6369097912075343,
② 波动收缩 <0.8×,1058.0,0.11440311418685122,0.20226843100189035,0.04052240494100012,-0.01938687165594566,-0.4884660283050366,0.93
② 调整期缩量 <0.8×,1294.0,0.13992214532871972,0.1901081916537867,0.026775506210075784,-0.02611181364465065,-0.5275823738547647,0.94
② 调整深度 ≤选择集中位,3855.0,0.41684688581314877,0.1821011673151751,0.007333063352183772,0.07286957177291176,-0.49858506301226524,0.23666666666666666
**三条全中**,389.0,0.042063148788927335,0.22879177377892032,0.06680864226993571,0.05079337066794665,-0.2613025184132365,0.31333333333333335
