段,调仓月,交易日,零成本年化,双边0.2%年化,对照年化中位,超额pp,p,回撤,对照回撤中位
"训练段 2019-2022(只报数,不判定)",48,966.0,0.045858545090544434,0.020169228639304704,0.12792338522619673,-8.20648401356523,1.0,0.36595005670870756,0.26901240464730614
**留出段 2023-01–2026-04(判据在这里)**,40,806.0,0.1111946780974371,0.0839339617913839,0.1454138377382691,-3.4219159640831998,1.0,0.3625056066058718,0.28707425876997106
2019,12,,0.27545458666414935,,0.3459082113087293,-7.045362464457994,1.0,,
2020,12,,0.11942098039294691,,0.13424795329699324,-1.4826972904046332,0.712,,
2021,12,,0.00038342264176516316,,0.11374114262122104,-11.335771997945587,1.0,,
2022,12,,-0.16743423880395447,,-0.06341264436570365,-10.402159443825083,1.0,,
2023,12,,-0.245448516324972,,-0.2054864421901163,-3.9962074134855694,1.0,,
2024,12,,0.13021142790739892,,0.22701351579709295,-9.680208788969402,1.0,,
2025,12,,0.5354101891171477,,0.538067828683099,-0.2657639565951331,0.528,,
