年,区间,全市场等权,510300,§152对照中位,§152组合
2019,2019-01-31→2019-12-31+1M,0.30421737977140184,0.26857959696603717,0.3459082113087293,0.2754545866641493
2020,2020-01-23→2020-12-31+1M,0.1023067381062468,0.35667396163514287,0.1342479532969932,0.1194209803929469
2021,2021-01-29→2021-12-31+1M,0.24595235461227904,-0.13394178933187673,0.113741142621221,0.0003834226417651
2022,2022-01-28→2022-12-30+1M,0.06755050924234962,-0.07554176191377604,-0.0634126443657036,-0.1674342388039544
2023,2023-01-31→2023-12-29+1M,-0.19029750882156193,-0.21044410027332572,-0.2054864421901163,-0.245448516324972
2024,2024-01-31→2024-12-31+1M,0.24097969282978227,0.21748999989057216,0.2270135157970929,0.1302114279073989
2025,2025-01-27→2025-12-31+1M,0.5259160616500831,0.264123538053157,0.538067828683099,0.5354101891171477
训练段 2019-2022,2019-01-01→2022-12-31,0.18266819410378266,0.0865056412698022,0.1279233852261967,0.0458585450905444
留出段 2023-01–2026-04,2023-01-01→2026-04-30,0.13579256639165282,0.07599221149050939,0.1454138377382691,0.1111946780974371
