窗口,指标,分档方式,牛股定义,分位,命中率,样本,相对基准倍数,logcap中位
full,营收增速,原始,250日≥+100%,D1,0.12797633719497165,40570,0.8407836359010213,22.248063371381686
full,营收增速,原始,250日≥+100%,D2,0.12814634026082883,40563,0.8419005282809616,22.209354211355894
full,营收增速,原始,250日≥+100%,D3,0.1182777147927244,40574,0.7770652705740839,22.282950947302897
full,营收增速,原始,250日≥+100%,D4,0.11224213146673896,40573,0.7374124737771695,22.364915236261965
full,营收增速,原始,250日≥+100%,D5,0.11552115176018145,40564,0.7589551016171396,22.39950842529763
full,营收增速,原始,250日≥+100%,D6,0.1133870689442678,40569,0.7449345260278871,22.465508177080228
full,营收增速,原始,250日≥+100%,D7,0.1220299714088534,40572,0.801716983771159,22.478039908955115
full,营收增速,原始,250日≥+100%,D8,0.12251386321626617,40575,0.8048960739227968,22.48969078063965
full,营收增速,原始,250日≥+100%,D9,0.1296223252144759,40564,0.8515975083873069,22.46215166572396
full,营收增速,原始,250日≥+100%,D10,0.13051837609997782,40569,0.8574844163734049,22.334451486136167
full,营收增速,市值中性,250日≥+100%,D1,0.12503080790654114,40574,0.8214319895024648,22.363258973332762
full,营收增速,市值中性,250日≥+100%,D2,0.12222605779662689,40556,0.8030052393164925,22.361012407841574
full,营收增速,市值中性,250日≥+100%,D3,0.11635413843234851,40583,0.7644276880204739,22.35655534176426
full,营收增速,市值中性,250日≥+100%,D4,0.11611853458902421,40562,0.7628798092456605,22.362514059052213
full,营收增速,市值中性,250日≥+100%,D5,0.11505951354148698,40579,0.7559222139092076,22.363204708536163
full,营收增速,市值中性,250日≥+100%,D6,0.11544719455674983,40564,0.7584692148683451,22.35984464456107
full,营收增速,市值中性,250日≥+100%,D7,0.12320966350301985,40565,0.8094673681775031,22.362885860996393
full,营收增速,市值中性,250日≥+100%,D8,0.12501232134056187,40580,0.821310535782972,22.37497039969641
full,营收增速,市值中性,250日≥+100%,D9,0.1312849850812517,40553,0.8625209121875321,22.367394716685055
full,营收增速,市值中性,250日≥+100%,D10,0.13049264361584148,40577,0.8573153581549315,22.364903384492596
full,净利增速,原始,250日≥+100%,D1,0.14831589508384693,34885,0.9744112096326737,22.0660691006493
full,净利增速,原始,250日≥+100%,D2,0.12813530170560414,34885,0.841828006775812,22.24776160262013
full,净利增速,原始,250日≥+100%,D3,0.1149148460347497,34878,0.7549717720152034,22.303550603735538
full,净利增速,原始,250日≥+100%,D4,0.11179590081697005,34885,0.7344808112809098,22.35748914179911
full,净利增速,原始,250日≥+100%,D5,0.10466116271069831,34884,0.6876067470775125,22.484781745735926
full,净利增速,原始,250日≥+100%,D6,0.09079965606190886,34890,0.5965389120801744,22.623524279994818
full,净利增速,原始,250日≥+100%,D7,0.0949145740167412,34884,0.6235732510472868,22.652458292837363
full,净利增速,原始,250日≥+100%,D8,0.1132773301986869,34879,0.7442135603905587,22.609505456822518
full,净利增速,原始,250日≥+100%,D9,0.12153872613655908,34886,0.7984895825561238,22.57713057248647
full,净利增速,原始,250日≥+100%,D10,0.11856438481825479,34884,0.7789486458265111,22.481562592601048
full,净利增速,市值中性,250日≥+100%,D1,0.13991686971477713,34885,0.9192309845800309,22.410615324064064
full,净利增速,市值中性,250日≥+100%,D2,0.12509318194850622,34878,0.821841776772039,22.412135349885197
full,净利增速,市值中性,250日≥+100%,D3,0.111006018916595,34890,0.7292914161889253,22.423616948018548
full,净利增速,市值中性,250日≥+100%,D4,0.10896480568611716,34892,0.7158809786097049,22.422616798459117
full,净利增速,市值中性,250日≥+100%,D5,0.10293611652712467,34876,0.6762734753640663,22.420362268695396
full,净利增速,市值中性,250日≥+100%,D6,0.09780925617938865,34874,0.6425908401331556,22.433970211116414
full,净利增速,市值中性,250日≥+100%,D7,0.10252808988764045,34888,0.6735928069763834,22.431113017424373
full,净利增速,市值中性,250日≥+100%,D8,0.11368716684816874,34894,0.7469061202483382,22.42335760684414
full,净利增速,市值中性,250日≥+100%,D9,0.1245054756034631,34882,0.8179806420618414,22.417881419640462
full,净利增速,市值中性,250日≥+100%,D10,0.12046672973825291,34881,0.7914467412840884,22.415591494727682
full,营收增速,原始,120日≥+50%,D1,0.18030564456494946,40570,0.9412010280803513,22.248063371381686
full,营收增速,原始,120日≥+50%,D2,0.17905480363878412,40563,0.9346715998502345,22.209354211355894
full,营收增速,原始,120日≥+50%,D3,0.16806329176319812,40574,0.8772955687092217,22.282950947302897
full,营收增速,原始,120日≥+50%,D4,0.15953959529736525,40573,0.832801610153216,22.364915236261965
full,营收增速,原始,120日≥+50%,D5,0.16275515235183907,40564,0.849586917195734,22.39950842529763
full,营收增速,原始,120日≥+50%,D6,0.16505213340235156,40569,0.8615772291542965,22.465508177080228
full,营收增速,原始,120日≥+50%,D7,0.1717687074829932,40572,0.8966379530996335,22.478039908955115
full,营收增速,原始,120日≥+50%,D8,0.17737523105360445,40575,0.9259041791312607,22.48969078063965
full,营收增速,原始,120日≥+50%,D9,0.17976530914111036,40564,0.9383804604955002,22.46215166572396
full,营收增速,原始,120日≥+50%,D10,0.1812960634967586,40569,0.9463710454644341,22.334451486136167
full,营收增速,市值中性,120日≥+50%,D1,0.1762705180657564,40574,0.9201375432480353,22.363258973332762
full,营收增速,市值中性,120日≥+50%,D2,0.1725022191537627,40556,0.9004669066540438,22.361012407841574
full,营收增速,市值中性,120日≥+50%,D3,0.1654880122218663,40583,0.863852530041496,22.35655534176426
full,营收增速,市值中性,120日≥+50%,D4,0.1619496080074947,40562,0.8453819508626466,22.362514059052213
full,营收增速,市值中性,120日≥+50%,D5,0.16234998398186254,40579,0.8474719258027152,22.363204708536163
full,营收增速,市值中性,120日≥+50%,D6,0.16938664825954047,40564,0.884203530453179,22.35984464456107
full,营收增速,市值中性,120日≥+50%,D7,0.17327745593491928,40565,0.9045136665721307,22.362885860996393
full,营收增速,市值中性,120日≥+50%,D8,0.18072942336126172,40580,0.9434131664730797,22.37497039969641
full,营收增速,市值中性,120日≥+50%,D9,0.1811703203215545,40553,0.9457146622099788,22.367394716685055
full,营收增速,市值中性,120日≥+50%,D10,0.1818517879586958,40577,0.9492719443029963,22.364903384492596
full,净利增速,原始,120日≥+50%,D1,0.20971764368639817,34885,1.0947325710212277,22.0660691006493
full,净利增速,原始,120日≥+50%,D2,0.17468826143041422,34885,0.9118781147899618,22.24776160262013
full,净利增速,原始,120日≥+50%,D3,0.1611044211250645,34878,0.8409700492575541,22.303550603735538
full,净利增速,原始,120日≥+50%,D4,0.15614160814103484,34885,0.8150640123500037,22.35748914179911
full,净利增速,原始,120日≥+50%,D5,0.14932347207889005,34884,0.7794731317274574,22.484781745735926
full,净利增速,原始,120日≥+50%,D6,0.13872169676124965,34890,0.7241315374445029,22.623524279994818
full,净利增速,原始,120日≥+50%,D7,0.145224171539961,34884,0.7580746564275865,22.652458292837363
full,净利增速,原始,120日≥+50%,D8,0.16293471716505634,34879,0.8505242510613206,22.609505456822518
full,净利增速,原始,120日≥+50%,D9,0.16740239637677004,34886,0.8738456743996977,22.57713057248647
full,净利增速,原始,120日≥+50%,D10,0.1644880174291939,34884,0.8586325263682376,22.481562592601048
full,净利增速,市值中性,120日≥+50%,D1,0.19716210405618462,34885,1.029192266741936,22.410615324064064
full,净利增速,市值中性,120日≥+50%,D2,0.17148345662021905,34878,0.8951489347943462,22.412135349885197
full,净利增速,市值中性,120日≥+50%,D3,0.15629120091716825,34890,0.8158448912572054,22.423616948018548
full,净利增速,市值中性,120日≥+50%,D4,0.1523271810157056,34892,0.7951525850590838,22.422616798459117
full,净利增速,市值中性,120日≥+50%,D5,0.1466051152655121,34876,0.765283225284906,22.420362268695396
full,净利增速,市值中性,120日≥+50%,D6,0.1476171359752251,34874,0.7705660046161841,22.433970211116414
full,净利增速,市值中性,120日≥+50%,D7,0.15443705572116487,34888,0.806166196123177,22.431113017424373
full,净利增速,市值中性,120日≥+50%,D8,0.1636097896486502,34894,0.8540481502554936,22.42335760684414
full,净利增速,市值中性,120日≥+50%,D9,0.17312654090935153,34882,0.903725885482083,22.417881419640462
full,净利增速,市值中性,120日≥+50%,D10,0.16708236575786245,34881,0.8721751046942412,22.415591494727682
oos,营收增速,原始,250日≥+100%,D1,0.16963549920760698,15775,1.0617276641941678,22.223868370056152
oos,营收增速,原始,250日≥+100%,D2,0.16352918805856625,15777,1.0235090159548663,22.106330341762966
oos,营收增速,原始,250日≥+100%,D3,0.14751188589540412,15775,0.9232586975260942,22.22751235961914
oos,营收增速,原始,250日≥+100%,D4,0.13594878945366967,15778,0.8508867032602615,22.33075417412652
