样本类型,观察日期,股票代码,股票名称,收盘价,统一信号,信号类型,信号理由,首次触发日期,连续确认天数,触发状态,平台信号,周线多头排列,案例展示分层_质量,案例辅助标签_周线五态,距一年低点涨幅,近120日收益,MA20持续度,RPS60,RPS250,距一年高点价格差,平台深度,平台缩量比,平台收敛比,R09核心质量分
平台突破日,2022-01-04,002516,旷达科技,5.93,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=86.5,2021-12-21,10,持续,平台突破（研究）,True,中,多头趋势,1.3625498007968129,0.27253218884120156,0.6333333333333333,86.50447555657563,89.0176322418136,0.0,0.29304636,0.48941302,0.75013787,0.3749635349253695
平台突破日,2022-01-04,300161,华中数控,31.19,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=79.1,,0,未触发,平台突破（研究）,True,缺失,多头趋势,0.9567126725219575,0.6227887617065557,0.55,79.11406931374799,88.9168765743073,-0.12140845070422535,0.27701005,0.774043,0.63830394,
平台突破日,2022-01-04,300590,移为通信,18.87,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=73.6,,0,未触发,平台突破（研究）,True,缺失,多头趋势,0.7852412488174079,0.49406175771971506,0.5666666666666667,73.55978884553592,73.40050377833754,-0.005271481286241331,0.28413865,0.5691465,0.6666005,
平台突破日,2022-01-04,600257,大湖股份,8.09,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=67.4,,0,未触发,平台突破（研究）,True,缺失,多头趋势,0.8640552995391706,0.10821917808219172,0.5666666666666667,67.36286435620839,65.71788413098236,-0.10706401766004425,0.30160692,0.42367926,0.61443144,
平台突破日,2022-01-04,300018,中元股份,8.17,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=63.9,,0,未触发,平台突破（研究）,True,中,多头趋势,0.7645788336933046,0.515769944341373,0.7,63.89717695662153,56.80100755667507,0.0,0.32316384,0.7814891,0.7348989,0.5530250997111109
平台突破日,2022-01-04,600435,北方导航,10.68,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=49.4,,0,未触发,平台突破（研究）,True,中,多头趋势,0.4393530997304582,0.38521400778210113,0.6083333333333333,49.39178333715859,67.60705289672543,-0.059859154929577496,0.13673656,0.47865924,0.5938482,0.5392132025940171
平台突破日,2022-01-04,300239,东宝生物,7.03,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=35.9,,0,未触发,平台突破（研究）,True,中,多头趋势,0.5216450216450217,0.1875,0.575,35.94216203809961,48.63979848866499,-0.061415220293724926,0.2140884,0.47693396,0.54211813,0.3665141821212338
平台突破日,2022-01-04,000629,钒钛股份,4.28,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=26.5,,0,未触发,平台突破（研究）,False,缺失,回踩修复,1.2526315789473688,0.8528138528138529,0.6166666666666667,26.48611429882947,92.04030226700252,-0.1457085828343313,0.21962617,0.5177165,0.5224803,
平台突破日,2022-01-04,300084,海默科技,5.91,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=2.6,,0,未触发,平台突破（研究）,False,缺失,回踩修复,0.7485207100591718,0.3162583518930957,0.575,2.5705760844617855,70.47858942065491,-0.24521072796934862,0.23444976,0.54535145,0.51912194,
平台突破日,2022-01-05,000062,深圳华强,15.74,0,无信号,反弹≥40%；RPS60=84.0,,0,未触发,平台突破（研究）,True,缺失,多头趋势,0.6226804123711343,0.040317250495703894,0.48333333333333334,83.97980261647923,78.2083543029693,-0.05578884223155378,0.24339275,0.5185507,0.5882191,
平台突破日,2022-01-05,300032,金龙机电,7.09,0,无信号,反弹≥40%；120日收益≥10%；RPS60=76.8,,0,未触发,平台突破（研究）,True,缺失,多头趋势,0.6004514672686232,0.4528688524590163,0.5416666666666666,76.81891209547854,73.85505787619527,-0.037991858887381325,0.26982096,0.7610108,0.6564683,
平台突破日,2022-01-05,603196,璞源材料,8.1,0,无信号,反弹≥40%；RPS60=69.3,,0,未触发,平台突破（研究）,True,中,多头趋势,0.8837209302325582,0.03979460847240057,0.425,69.26784484737205,82.8384499245093,-0.2980935875216637,0.27325583,0.32056084,0.5637229,0.5578967876031677
平台突破日,2022-01-05,002235,安妮股份,5.63,0,无信号,反弹≥40%；120日收益≥10%；RPS60=68.4,,0,未触发,平台突破（研究）,True,缺失,多头趋势,0.7816455696202531,0.16082474226804133,0.45,68.39568510442965,65.97886260694514,-0.0647840531561461,0.30717862,0.3713194,0.48896542,
平台突破日,2022-01-05,600012,皖通高速,5.68,0,无信号,120日收益≥10%；MA20持续度≥55%；RPS60=61.6,,0,未触发,平台突破（研究）,True,高,多头趋势,0.3588516746411483,0.2085106382978723,0.575,61.60201973835208,68.01711122294917,-0.01730103806228378,0.2551724,0.65128875,0.7863159,0.7742892882423523
平台突破日,2022-01-05,600769,祥龙电业,6.95,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=85.5,2022-01-05,1,新触发,平台突破（研究）,True,高,多头趋势,0.8435013262599469,0.115569823434992,0.5666666666666667,85.51755795271976,68.19325616507298,-0.18042452830188682,0.3178082,0.586536,0.7017935,0.7293539352488194
平台突破日,2022-01-05,000629,钒钛股份,4.3,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=27.3,,0,未触发,平台突破（研究）,False,中,回踩修复,1.263157894736842,0.7768595041322315,0.6166666666666667,27.33532246958917,92.95420231504781,-0.14171656686626743,0.25777778,0.53911036,0.534349,0.5426785487608239
平台突破日,2022-01-06,002043,兔 宝 宝,9.95,0,无信号,反弹≥40%；120日收益≥10%；RPS60=88.9,,0,未触发,平台突破（研究）,True,缺失,多头趋势,0.5307692307692307,0.2955729166666665,0.5416666666666666,88.91693437356587,77.85319255907491,0.0,0.34734735,0.7546541,0.6875147,
平台突破日,2022-01-06,603222,济民健康,13.27,0,无信号,反弹≥40%；120日收益≥10%；RPS60=84.9,,0,未触发,平台突破（研究）,False,缺失,突破启动,1.1507293354943275,0.237873134328358,0.475,84.85543827443782,40.39718451483157,-0.11296791443850274,0.34429824,0.36233726,0.40055075,
平台突破日,2022-01-06,603998,方盛制药,5.88,0,无信号,反弹≥40%；120日收益≥10%；RPS60=82.0,,0,未触发,平台突破（研究）,False,中,突破启动,0.4411764705882353,0.16435643564356428,0.45,82.0330426801285,54.600301659125186,-0.0360655737704918,0.30385852,0.61135477,0.6149955,0.4269781361956812
平台突破日,2022-01-06,300218,安利股份,17.18,0,无信号,反弹≥40%；RPS60=80.5,,0,未触发,平台突破（研究）,True,中,多头趋势,1.2937249666221629,-0.10052356020942421,0.35833333333333334,80.47269389628269,90.32176973353444,-0.1469712015888779,0.26804122,0.43597636,0.5106073,0.5503102229951996
平台突破日,2022-01-06,000557,西部创业,4.3,0,无信号,120日收益≥10%；MA20持续度≥55%；RPS60=79.6,,0,未触发,平台突破（研究）,False,中,弱势结构,0.3109756097560976,0.24637681159420288,0.6,79.64662689307022,63.95173453996983,-0.04231625835189323,0.26086956,0.2852062,0.43466875,0.49452481941551646
平台突破日,2022-01-06,000404,长虹华意,4.01,0,无信号,120日收益≥10%；MA20持续度≥55%；RPS60=78.2,,0,未触发,平台突破（研究）,True,中,多头趋势,0.37328767123287676,0.26498422712933745,0.6916666666666667,78.17806333180359,27.50125691302162,-0.06744186046511624,0.28960395,0.40684387,0.53883016,0.4248862720098069
平台突破日,2022-01-06,600599,退市熊猫,9.52,0,无信号,反弹≥40%；120日收益≥10%；RPS60=78.2,,0,未触发,平台突破（研究）,False,缺失,回踩修复,1.277511961722488,0.2727272727272727,0.48333333333333334,78.15511702615879,91.8552036199095,0.0,0.23214285,0.3214468,0.79009825,
平台突破日,2022-01-06,002091,江苏国泰,11.72,0,无信号,反弹≥40%；120日收益≥10%；RPS60=77.4,,0,未触发,平台突破（研究）,True,缺失,多头趋势,1.46218487394958,0.14789422135161612,0.5416666666666666,77.3519963285911,91.35243841126194,-0.15133960897900067,0.23813559,0.49649695,0.60397685,
平台突破日,2022-01-06,603196,璞源材料,8.14,0,无信号,反弹≥40%；RPS60=68.4,,0,未触发,平台突破（研究）,True,中,多头趋势,0.8930232558139537,0.01622971285892638,0.43333333333333335,68.37999082147775,82.75515334338863,-0.29462738301559777,0.2977528,0.32717115,0.57645786,0.557970995455042
平台突破日,2022-01-06,600012,皖通高速,5.69,0,无信号,120日收益≥10%；MA20持续度≥55%；RPS60=62.7,,0,未触发,平台突破（研究）,True,高,多头趋势,0.36124401913875626,0.20550847457627142,0.5833333333333334,62.71225332721432,64.25339366515837,-0.01557093425605538,0.2551724,0.6509194,0.786392,0.7743543616244053
平台突破日,2022-01-06,600777,新潮能源,2.32,0,无信号,反弹≥40%；120日收益≥10%；RPS60=37.2,,0,未触发,平台突破（研究）,True,中,多头趋势,0.7058823529411762,0.4591194968553458,0.5166666666666667,37.17301514456173,78.7833081950729,-0.2108843537414966,0.1764706,0.4245728,0.46848503,0.5502314425895547
平台突破日,2022-01-06,600769,祥龙电业,7.24,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=89.9,2022-01-05,2,持续,平台突破（研究）,True,高,多头趋势,0.920424403183024,0.18494271685761055,0.5666666666666667,89.90362551629187,69.98491704374057,-0.14622641509433965,0.34901962,0.59399045,0.71327966,0.7286726985833663
平台突破日,2022-01-06,002140,东华科技,13.83,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=89.8,2022-01-06,1,新触发,平台突破（研究）,True,缺失,多头趋势,1.46524064171123,0.8054830287206267,0.6083333333333333,89.78889398806793,95.34942182001006,-0.03083391730903995,0.29805014,0.6329677,0.6609591,
平台突破日,2022-01-06,603855,华荣股份,20.56,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=84.2,2022-01-05,2,持续,平台突破（研究）,True,高,多头趋势,0.935969868173258,0.5458646616541352,0.7,84.16704910509408,88.81347410759174,-0.002426006792819013,0.24988168,0.470267,0.7628368,0.7393452111638625
平台突破日,2022-01-06,300032,金龙机电,7.39,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=81.1,2022-01-06,1,新触发,平台突破（研究）,True,缺失,多头趋势,0.6681715575620768,0.4989858012170385,0.55,81.06929784304727,76.82252388134742,0.0,0.26982096,0.79846555,0.686739,
平台突破日,2022-01-06,600613,神奇制药,6.27,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=76.1,,0,未触发,平台突破（研究）,True,缺失,多头趋势,0.7612359550561796,0.27439024390243905,0.5583333333333333,76.08994951812758,75.66616390145802,0.0,0.2982456,0.69305015,0.6339922,
平台突破日,2022-01-06,603558,健盛集团,9.85,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=72.1,,0,未触发,平台突破（研究）,True,缺失,多头趋势,0.6280991735537189,0.4011379800853485,0.7333333333333333,72.09729233593391,80.74409250879839,-0.0030364372469636747,0.15145436,0.6323959,0.63670886,
平台突破日,2022-01-06,603112,,12.15,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=71.3,,0,未触发,平台突破（研究）,True,中,多头趋势,0.4260563380281692,0.2538699690402477,0.575,71.31711794401102,62.99648064353946,-0.1964285714285714,0.2536,0.5517918,0.59239626,0.5631792357544217
