,P(特征|牛股),P(特征|非牛),P(牛股|特征),lift,命中数,p,lift_随机日,命中数_随机日,超噪音上界
【广发】距250日高点回撤≤-30%,0.47058823529411764,0.6896270633788465,0.03726884779516358,0.6942180570663542,28120.0,8.837860689171869e-96,0.5656678272220436,15938.0,False
【广发】距250日高点回撤≤-50%,0.10731926358329591,0.27338496026085185,0.021784705131710873,0.4057902662679668,10971.0,6.648819521108691e-79,0.6476808519541122,3595.0,False
"【广发】PE_TTM ∈ (0,20]",0.12348450830713965,0.23318728347259018,0.02916534096934988,0.5432715938174858,9429.0,2.1213086864327597e-37,0.3984733592883685,7012.0,False
【广发】净利同比(代理)>0,0.26897171082173327,0.36328204605665376,0.04030955585464334,0.7508582422623123,14860.0,3.4356196226546935e-20,1.0845737210517619,16608.0,False
【广发】三条同时(双击起点),0.03547373147732375,0.09430405543101691,0.02089394340121661,0.38919777912558084,3781.0,1.0824030767341704e-25,0.2807522476740539,1526.0,False
【安信】流通市值 10~50 亿,0.5473731477323754,0.5067760342368046,0.057736939326481315,1.0754833651012232,21113.0,0.00019413433486999542,0.8227189290278648,18928.0,False
【安信】前 20 日涨幅 > -1%,0.11495285136955545,0.04159873649887915,0.1355214399152991,2.5243986942103067,1889.0,1.5718103515770545e-43,1.2910010803505139,22119.0,True
【安信】两条同时,0.05208801077682981,0.016685347462808232,0.1504539559014267,2.8025511686838276,771.0,8.951189608685809e-24,1.0342186812081906,9834.0,True
【安信】净利同比(代理)>300%,0.0327795240233498,0.042872427144895045,0.041571753986332574,0.774369587164362,1756.0,0.019934727713541874,1.229074132843126,2046.0,False
