调仓日,排名,代码,名称,复合分,EP,BP,CFP,不复权价,流通市值_亿,是否新进
2021-04-23,6,600000,,0.988,0.1801,1.7244,0.4129,10.44,3064.0,
2021-04-23,7,601186,,0.9879,0.1912,1.7466,0.3766,7.84,902.3,
2021-04-23,8,600376,,0.9849,0.1826,1.6646,0.3499,6.19,159.8,新
2021-04-23,9,600153,,0.9848,0.1886,1.5076,0.4026,8.43,239.0,
2021-04-23,10,000402,,0.9848,0.132,1.9134,0.52,6.36,190.1,新
2021-04-23,11,601398,,0.9845,0.1624,1.4128,0.8255,5.29,14274.2,
2021-04-23,12,000877,,0.9824,0.1042,4.6161,2.3626,15.8,139.0,
2021-04-23,13,601916,,0.9785,0.1331,1.3638,0.5855,3.98,279.1,新
2021-04-23,14,603323,,0.9773,0.1148,1.423,1.6051,4.62,66.5,
2021-04-23,15,600665,,0.9769,0.1161,1.4055,1.0349,3.06,26.4,
2021-04-23,16,601669,,0.9743,0.1192,1.4992,0.3841,3.88,431.9,
2021-04-23,17,600027,,0.9738,0.1053,1.4757,0.7852,3.42,278.4,
2021-04-23,18,600795,,0.973,0.099,1.5376,0.976,2.2,432.8,新
2021-04-23,19,601390,,0.9723,0.1787,1.5758,0.2341,5.39,1097.1,新
2021-04-23,20,601939,,0.9715,0.1496,1.2787,0.3274,7.09,679.7,
2021-05-26,1,600376,,0.9885,0.1977,1.7821,0.3787,5.72,147.6,
2021-05-26,2,601077,,0.9883,0.179,2.0018,0.3671,4.25,249.4,
2021-05-26,3,600606,,0.987,0.2012,1.2896,0.9052,5.86,713.5,新
2021-05-26,4,600657,,0.9859,0.123,2.1829,0.8151,3.74,57.0,
2021-05-26,5,601186,,0.9856,0.2094,1.8022,0.3068,7.77,893.8,
2021-05-26,6,601668,,0.9832,0.2333,1.444,0.3136,4.97,2021.3,新
2021-05-26,7,601669,,0.9827,0.1332,1.5788,0.5038,3.93,438.3,
2021-05-26,8,601390,,0.9821,0.1949,1.5909,0.2969,5.48,1116.9,
2021-05-26,9,601577,,0.979,0.1555,1.1884,0.7113,9.58,95.4,新
2021-05-26,10,600269,,0.9786,0.1226,2.0065,0.3648,3.42,80.0,新
2021-05-26,11,600028,,0.977,0.1319,1.4139,0.4092,4.47,4268.5,新
2021-05-26,12,002807,,0.977,0.1203,1.3384,0.9131,4.11,89.3,新
2021-05-26,13,601988,,0.9756,0.1867,1.852,0.2243,3.32,6997.5,新
2021-05-26,14,000498,,0.9749,0.2249,1.1457,0.3721,4.95,25.4,新
2021-05-26,15,000402,,0.9745,0.1104,1.6248,0.4349,7.61,227.3,
2021-05-26,16,601992,,0.9733,0.1,1.5684,0.6819,2.8,233.3,新
2021-05-26,17,000069,,0.972,0.1813,1.0994,0.4336,8.68,612.3,新
2021-05-26,18,600665,,0.9718,0.0966,1.4614,1.8291,3.07,26.5,
2021-05-26,19,600325,,0.9717,0.1631,1.0525,2.1289,6.87,145.2,新
