window,total,cagr,mdd,sharpe,trades,frozen_sell_blocked,codex_total,codex_cagr
train,1.987010658960716,0.20031874388211346,-0.5637913061968362,0.8893897786232935,1863,149,4.0192,0.3088979262527234
validation,1.1553498360090066,0.2925647314739108,-0.227852766681526,1.5517090417056774,869,2,1.3959,0.33908397137735435
oos,1.5210648632709352,0.36206595071392256,-0.2666585322839443,1.4882330314083936,764,2,1.6775,0.3897453103165307
holdout,0.047774879145570326,0.0889662044312749,-0.11572972648299784,0.5051304034514873,178,1,0.0415,0.07708567438472036
full,14.440144431036117,0.2563177616624246,-0.5637913061968362,1.117886408668548,3762,153,31.3506,0.3362292335808288
