代码,日期,他_信号类型,我_信号类型,他_平台信号,我_平台信号,他_周线,我_周线,他_质量分,我_质量分
600066,2025-09-30,无信号,无信号,无平台信号,无平台信号,多头趋势,多头趋势,0.7583106399532481,0.6723026093389091
300308,2025-10-31,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.8165396328168774,0.7616574593891867
300476,2025-10-31,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.8127840583568819,0.743959374720091
300750,2025-10-31,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.7807344809144741,0.6908254151214949
600066,2025-10-31,标准确认,标准确认,无平台信号,无平台信号,多头趋势,多头趋势,0.7582967949746604,0.7062568098493059
300308,2025-11-28,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.8304181093901157,0.7613228083218935
300476,2025-11-28,观察级,观察级,无平台信号,无平台信号,多头趋势,多头趋势,0.8193565632141423,0.7436271777650014
300750,2025-11-28,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.7559085146882261,0.6906031553673986
600066,2025-11-28,标准确认,标准确认,无平台信号,无平台信号,多头趋势,多头趋势,0.7892081255130318,0.7058804909925839
300308,2025-12-31,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.8303834973502587,0.761399802852021
300476,2025-12-31,观察级,观察级,平台观察,平台观察,多头趋势,多头趋势,0.8192343044655865,0.7434221158910841
300750,2025-12-31,观察级,观察级,无平台信号,无平台信号,多头趋势,多头趋势,0.7562627359629722,0.6903522174764384
600066,2025-12-31,标准确认,标准确认,无平台信号,无平台信号,多头趋势,多头趋势,0.7890762046850454,0.7054965123199072
300308,2026-01-30,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.8310074872161088,0.7615870348967854
300476,2026-01-30,观察级,观察级,平台观察,平台观察,回踩修复,回踩修复,0.8199019732238666,0.743420965411205
300750,2026-01-30,无信号,无信号,无平台信号,无平台信号,回踩修复,回踩修复,0.756894122404426,0.6904254124737118
600066,2026-01-30,无信号,无信号,无平台信号,无平台信号,回踩修复,回踩修复,0.7897595790211416,0.7056523877191836
300308,2026-02-27,观察级,观察级,无平台信号,无平台信号,多头趋势,多头趋势,0.8305364763490244,0.761981291066202
300476,2026-02-27,无信号,无信号,平台观察,平台观察,多头趋势,多头趋势,0.819244753984388,0.7435199176744289
300750,2026-02-27,无信号,无信号,无平台信号,无平台信号,回踩修复,回踩修复,0.7563932610417233,0.6905040973704023
600066,2026-02-27,无信号,无信号,无平台信号,无平台信号,回踩修复,回踩修复,0.789247998729893,0.7061667856885537
300308,2026-03-31,观察级,观察级,无平台信号,无平台信号,多头趋势,多头趋势,0.8302528892401315,0.7807252335158626
300476,2026-03-31,无信号,无信号,平台观察,平台观察,回踩修复,回踩修复,0.8467188457761315,0.7790312949497716
300750,2026-03-31,无信号,无信号,无平台信号,无平台信号,多头趋势,多头趋势,0.8001756474759716,0.741362833832864
600066,2026-03-31,无信号,无信号,无平台信号,无平台信号,多头趋势,多头趋势,0.7881312748271491,
300476,2026-04-17,无信号,无信号,平台突破（研究）,平台突破（研究）,多头趋势,多头趋势,0.8449328856989595,0.780414811779202
300308,2026-04-30,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.837642984489225,0.770319337004372
300476,2026-04-30,无信号,无信号,无平台信号,无平台信号,多头趋势,多头趋势,0.8390076094082597,0.5699424452042294
300750,2026-04-30,无信号,无信号,无平台信号,无平台信号,多头趋势,多头趋势,0.7911405170749872,0.7448309909165961
600066,2026-04-30,无信号,无信号,无平台信号,无平台信号,多头趋势,多头趋势,0.7650386615408122,0.4905631258759066
300308,2026-05-29,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.8391893093350485,0.7701147829763547
300476,2026-05-29,标准确认,标准确认,无平台信号,无平台信号,多头趋势,多头趋势,0.6379388894875571,0.5707801687411045
300750,2026-05-29,无信号,无信号,无平台信号,无平台信号,多头趋势,多头趋势,0.8069838643896445,0.7436793100399025
600066,2026-05-29,无信号,无信号,无平台信号,无平台信号,多头趋势,多头趋势,0.586731337485751,0.4899694152121916
300308,2026-06-30,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.839080431669859,0.7695097207469955
300476,2026-06-30,无信号,无信号,无平台信号,无平台信号,多头趋势,多头趋势,0.637530547650869,
300750,2026-06-30,无信号,无信号,无平台信号,无平台信号,回踩修复,回踩修复,0.8074049291904022,0.7435875302146838
600066,2026-06-30,无信号,无信号,无平台信号,无平台信号,回踩修复,回踩修复,0.587252544237674,0.4903780672721802
300308,2026-07-31,强确认,强确认,无平台信号,无平台信号,回踩修复,回踩修复,0.8391299318609187,0.7693329137828341
300476,2026-07-31,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.6383888383304209,0.5690598344362896
300750,2026-07-31,无信号,无信号,无平台信号,无平台信号,回踩修复,回踩修复,0.8075340218242495,0.7404402149818131
600066,2026-07-31,无信号,无信号,无平台信号,无平台信号,多头趋势,多头趋势,0.5876083307625024,0.48863996496208706
