代码,日期,他_信号类型,我_信号类型,他_平台信号,我_平台信号,他_周线,我_周线,他_质量分,我_质量分
600066,2022-01-28,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.49496154814346804,0.4288931032886638
300308,2022-02-28,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.4756184067717583,0.37328054434594266
300476,2022-02-28,无信号,无信号,平台观察,平台观察,回踩修复,回踩修复,0.7178211764745362,0.6522657263532227
300750,2022-02-28,无信号,无信号,无平台信号,无平台信号,回踩修复,回踩修复,0.7839391493810922,0.7498200848444725
600066,2022-02-28,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.49413421869526075,0.4280995657839739
300308,2022-03-31,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.474657157640453,0.37127938807950617
300476,2022-03-31,无信号,无信号,平台观察,平台观察,回踩修复,回踩修复,0.711822144230379,0.6421786161387198
300750,2022-03-31,无信号,无信号,无平台信号,无平台信号,回踩修复,回踩修复,0.7783150460276699,0.7368145670711157
600066,2022-03-31,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.49559235691234776,0.3473254267109881
300308,2022-04-29,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.5261520248689642,0.435997148744772
300476,2022-04-29,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.689676337137482,0.665764074202385
300750,2022-04-29,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.8459383662155715,0.813287260669054
600066,2022-04-29,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.43744058475161973,0.3404610819324355
300308,2022-05-31,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.6761971903770045,0.6059086641015862
300476,2022-05-31,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.5096593073632831,0.43516447566050365
300750,2022-05-31,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.5681450279575905,0.5031039388364521
600066,2022-05-31,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.34062523521492083,
300308,2022-06-30,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.6761686440225126,0.6061552991562925
300476,2022-06-30,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.5099564576764772,0.4345402400062799
300750,2022-06-30,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.5680830603452599,0.5022805588310039
600066,2022-06-30,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.34070056562612994,
300308,2022-07-29,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.6753243373616805,0.6026840951490834
300476,2022-07-29,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.5088418538436754,0.433869248397422
300750,2022-07-29,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.5672119031743895,0.49935523778911683
600066,2022-07-29,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.34157298773443073,
300308,2022-08-31,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.6689741340571497,0.5896069849173706
300476,2022-08-31,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.5654976931463394,0.4832975281235963
300750,2022-08-31,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.7944136051735917,0.7406037559127076
600066,2022-08-31,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.21235016721951505,
300308,2022-09-30,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.6634135495360102,0.5897031555499951
300476,2022-09-30,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.5666510550399173,0.4831483143937717
300750,2022-09-30,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.7918493947351974,0.740812126545448
600066,2022-09-30,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.21807263650237033,
300308,2022-10-31,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.6635415406801125,0.6051882116009049
300476,2022-10-31,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.5668757216282038,0.3894323936206005
300750,2022-10-31,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.7921044259273351,0.7559729541012963
600066,2022-10-31,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.21784728987898025,0.22580864631438294
300308,2022-11-30,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.6837986430660388,0.605989054100402
300476,2022-11-30,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.49723602187887145,0.3894326639911294
300750,2022-11-30,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.8088210096421578,0.7566656045522994
600066,2022-11-30,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.37209350214340137,0.22594618086326101
300308,2022-12-30,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.6828531492923481,0.6068647471499257
300476,2022-12-30,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.4968797280639407,0.3902640705102528
300750,2022-12-30,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.8076028034707479,0.7566062390840411
600066,2022-12-30,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.37098108450123063,0.22726614523045924
300308,2023-01-31,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.6842557416248313,0.606188835335375
300476,2023-01-31,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.49814937343824045,0.3898277310779942
300750,2023-01-31,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.8079137299715902,0.7555324194421879
600066,2023-01-31,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.3726096630762382,0.2267587539457982
300308,2023-02-28,无信号,无信号,无平台信号,无平台信号,突破启动,突破启动,0.683902320431133,0.6055912818104803
300476,2023-02-28,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.4990020727830863,0.3893545277650067
300750,2023-02-28,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.8078105080291171,0.7550873304401279
600066,2023-02-28,强确认,强确认,无平台信号,无平台信号,弱势结构,弱势结构,0.37293039504935505,0.2269254982055515
300308,2023-03-31,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.6788001512503108,0.5983402864734217
300476,2023-03-31,强确认,强确认,无平台信号,无平台信号,弱势结构,弱势结构,0.49625322712126424,0.386510040893908
300750,2023-03-31,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.831530235339784,0.7908138593120604
600066,2023-03-31,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.6305815405707945,0.549411128629479
300308,2023-04-28,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.6669463337539007,
300476,2023-04-28,强确认,强确认,无平台信号,无平台信号,弱势结构,弱势结构,0.6051082903273024,0.5234886345842498
300750,2023-04-28,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.82823894363744,0.7809020646866076
600066,2023-04-28,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.6195105272554817,
300308,2023-05-31,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.6783465681764984,0.6058007126234077
300476,2023-05-31,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.5475375347905675,0.45712545109494374
300750,2023-05-31,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.8647039384222865,0.8224168413130841
600066,2023-05-31,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.6513735661908884,0.5664966696947725
300308,2023-06-30,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.6785890770417569,0.6053468452339997
300476,2023-06-30,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.5478876514077942,0.4558530982310185
300750,2023-06-30,无信号,无信号,无平台信号,无平台信号,均线蓄势,均线蓄势,0.8647414474622894,0.8217936910543716
