年,筛选器,选中,覆盖牛股,召回率,lift,随机95分位,代码,名称,行业
当前,流通市值(小),,,,,,301552,科力装备,汽车-汽车零部件
当前,流通市值(小),,,,,,301533,威马农机,机械设备-专用设备
当前,流通市值(小),,,,,,001306,夏厦精密,机械设备-通用设备
当前,流通市值(小),,,,,,603075,热威股份,家电-家电零部件
当前,流通市值(小),,,,,,001335,信凯科技,化工-化学原料
当前,流通市值(小),,,,,,603273,天元智能,机械设备-专用设备
当前,流通市值(小),,,,,,603073,彩蝶实业,纺织服饰-纺织制造
当前,流通市值(小),,,,,,688573,信宇人,电力设备-电池
当前,流通市值(小),,,,,,603376,大明电子,汽车-汽车零部件
当前,流通市值(小),,,,,,301399,英特科技,机械设备-通用设备
当前,流通市值(小),,,,,,301170,锡南科技,汽车-汽车零部件
当前,流通市值(小),,,,,,688638,誉辰智能,电力设备-电池
当前,流通市值(小),,,,,,301598,博科测试,机械设备-专用设备
当前,流通市值(小),,,,,,001225,和泰机电,机械设备-专用设备
当前,流通市值(小),,,,,,301519,舜禹股份,环保-环保设备
当前,流通市值(小),,,,,,603205,健尔康,医药医疗-医疗器械
当前,流通市值(小),,,,,,301459,丰茂股份,汽车-汽车零部件
当前,流通市值(小),,,,,,301386,未来电器,电力设备-电网设备
当前,流通市值(小),,,,,,301105,鸿铭股份,机械设备-专用设备
当前,流通市值(小),,,,,,300904,威力传动,电力设备-风电设备
当前,流通市值(小),,,,,,603409,汇通控股,汽车-汽车零部件
当前,流通市值(小),,,,,,301173,毓恬冠佳,汽车-汽车零部件
当前,流通市值(小),,,,,,603190,亚通精工,汽车-汽车零部件
当前,流通市值(小),,,,,,301577,美信科技,电子-其他电子
当前,流通市值(小),,,,,,301668,昊创瑞通,电力设备-电网设备
当前,流通市值(小),,,,,,001231,农心科技,化工-农用化工
当前,流通市值(小),,,,,,301192,泰祥股份,汽车-汽车零部件
当前,流通市值(小),,,,,,301616,浙江华业,机械设备-通用设备
当前,流通市值(小),,,,,,001279,强邦新材,轻工制造-包装印刷
当前,流通市值(小),,,,,,603406,天富龙,化工-化纤
当前,流通市值(小),,,,,,688671,碧兴物联,环保-环境监测
当前,流通市值(小),,,,,,688695,中创股份,计算机-软件服务
当前,流通市值(小),,,,,,301418,协昌科技,机械设备-自动化设备
当前,流通市值(小),,,,,,688651,盛邦安全,计算机-软件服务
当前,流通市值(小),,,,,,300804,广康生化,化工-农用化工
当前,流通市值(小),,,,,,001379,腾达科技,机械设备-通用设备
当前,流通市值(小),,,,,,301516,中远通,电力设备-其他发电设备
当前,流通市值(小),,,,,,301359,东南电子,电子-其他电子
当前,流通市值(小),,,,,,603004,鼎龙科技,化工-化学制品
当前,流通市值(小),,,,,,301539,宏鑫科技,汽车-汽车零部件
当前,流通市值(小),,,,,,603334,丰倍生物,化工-化学制品
当前,流通市值(小),,,,,,301446,福事特,机械设备-工程机械
当前,流通市值(小),,,,,,301502,华阳智能,电力设备-电机制造
当前,流通市值(小),,,,,,001336,楚环科技,环保-环保设备
当前,流通市值(小),,,,,,301157,华塑科技,电力设备-其他发电设备
当前,流通市值(小),,,,,,001382,新亚电缆,电力设备-电网设备
当前,流通市值(小),,,,,,001373,翔腾新材,电子-光学光电
当前,流通市值(小),,,,,,603276,恒兴新材,化工-化学原料
当前,流通市值(小),,,,,,301372,科净源,环保-环境治理
当前,流通市值(小),,,,,,688130,晶华微,电子-半导体
当前,流通市值(小),,,,,,301491,汉桑科技,电子-消费电子
当前,20日均换手(低),,,,,,603235,天新药业,医药医疗-化学制药
当前,20日均换手(低),,,,,,688459,哈铁科技,机械设备-轨交设备
当前,20日均换手(低),,,,,,601059,信达证券,非银金融-证券
当前,20日均换手(低),,,,,,688570,天玛智控,机械设备-自动化设备
当前,20日均换手(低),,,,,,601022,宁波远洋,交通运输-航运港口
当前,20日均换手(低),,,,,,601061,中信金属,商贸-贸易
当前,20日均换手(低),,,,,,601136,首创证券,非银金融-证券
当前,20日均换手(低),,,,,,603153,上海建科,建筑-工程咨询服务
当前,20日均换手(低),,,,,,688370,丛麟科技,环保-环境治理
当前,20日均换手(低),,,,,,001322,箭牌家居,轻工制造-家居用品
当前,20日均换手(低),,,,,,001238,浙江正特,轻工制造-家居用品
当前,20日均换手(低),,,,,,688429,时创能源,电力设备-光伏设备
当前,20日均换手(低),,,,,,688334,西高院,社会服务-专业服务
当前,20日均换手(低),,,,,,600925,苏能股份,煤炭-煤炭开采
当前,20日均换手(低),,,,,,301223,中荣股份,轻工制造-包装印刷
当前,20日均换手(低),,,,,,688506,百利天恒,医药医疗-化学制药
当前,20日均换手(低),,,,,,688349,三一重能,电力设备-风电设备
当前,20日均换手(低),,,,,,603049,中策橡胶,汽车-汽车零部件
当前,20日均换手(低),,,,,,603057,紫燕食品,食品饮料-休闲食品
当前,20日均换手(低),,,,,,603173,福斯达,机械设备-专用设备
当前,20日均换手(低),,,,,,603237,五芳斋,食品饮料-食品加工
当前,20日均换手(低),,,,,,001380,华纬科技,汽车-汽车零部件
当前,20日均换手(低),,,,,,601065,江盐集团,化工-化学原料
当前,20日均换手(低),,,,,,688420,美腾科技,机械设备-专用设备
当前,20日均换手(低),,,,,,301289,国缆检测,社会服务-专业服务
当前,20日均换手(低),,,,,,603307,扬州金泉,轻工制造-文娱用品
当前,20日均换手(低),,,,,,301327,华宝新能,电力设备-电池
当前,20日均换手(低),,,,,,301267,华厦眼科,医药医疗-医疗服务
当前,20日均换手(低),,,,,,688271,联影医疗,医药医疗-医疗器械
当前,20日均换手(低),,,,,,301370,国科恒泰,医药医疗-医药商业
当前,20日均换手(低),,,,,,301296,新巨丰,轻工制造-包装印刷
当前,20日均换手(低),,,,,,688475,萤石网络,电子-消费电子
当前,20日均换手(低),,,,,,688132,邦彦技术,国防军工-军工电子
当前,20日均换手(低),,,,,,688489,三未信安,计算机-IT设备
当前,20日均换手(低),,,,,,601089,福元医药,医药医疗-化学制药
当前,20日均换手(低),,,,,,603310,巍华新材,化工-化学制品
当前,20日均换手(低),,,,,,603291,联合水务,公用事业-水务
当前,20日均换手(低),,,,,,603280,南方路机,机械设备-工程机械
当前,20日均换手(低),,,,,,301332,德尔玛,家电-小家电
当前,20日均换手(低),,,,,,603170,宝立食品,食品饮料-调味品
当前,20日均换手(低),,,,,,001338,永顺泰,食品饮料-酿酒
当前,20日均换手(低),,,,,,603194,中力股份,机械设备-工程机械
当前,20日均换手(低),,,,,,688351,微电生理,医药医疗-医疗器械
当前,20日均换手(低),,,,,,001323,慕思股份,轻工制造-家居用品
当前,20日均换手(低),,,,,,001333,光华股份,化工-化学制品
当前,20日均换手(低),,,,,,301339,通行宝,计算机-IT设备
当前,20日均换手(低),,,,,,688562,航天软件,计算机-软件服务
当前,20日均换手(低),,,,,,688297,中无人机,国防军工-航空装备
当前,20日均换手(低),,,,,,301311,昆船智能,机械设备-专用设备
当前,20日均换手(低),,,,,,688631,莱斯信息,计算机-软件服务
当前,20日均换手(低),,,,,,688708,佳驰科技,国防军工-航空装备
当前,20日均换手(低),,,,,,688581,安杰思,医药医疗-医疗器械
当前,20日均换手(低),,,,,,603210,泰鸿万立,汽车-汽车零部件
当前,20日均换手(低),,,,,,688375,国博电子,国防军工-军工电子
当前,20日均换手(低),,,,,,688348,昱能科技,电力设备-光伏设备
当前,20日均换手(低),,,,,,603281,江瀚新材,化工-化学制品
当前,20日均换手(低),,,,,,603282,亚光股份,机械设备-专用设备
当前,20日均换手(低),,,,,,603182,嘉华股份,农林牧渔-农产品加工
当前,20日均换手(低),,,,,,001260,坤泰股份,汽车-汽车零部件
