结构,留出每月,留出启动率,留出lift,训练lift,案例召回,案例命中,案例机会,K2
S1 纯量能突变(换手加速前5%),236.0,0.11218220338983051,1.2874708741297736,1.2550211441867747,0.03333333333333333,2,60,False
S2 纯量能突变(前10%),471.55,0.1073056939879122,1.2315051003022381,1.2011351895055151,0.15,9,60,False
"S3 量能前10% + 位置中位[0.3,0.7]",188.475,0.09537073882477783,1.0945323301812582,1.0750994288373195,0.016666666666666666,1,60,False
S4 成交额加速前5%,236.0,0.11843220338983051,1.3591996574854455,1.309319010798592,0.08333333333333333,5,60,False
S5 换手加速前20% + 20日收益前10%,281.025,0.13361800551552352,1.5334811152063954,1.4015795611398862,0.16666666666666666,10,60,False
S6 现有规则(对照基线),96.225,0.1363990646921278,1.565398233794868,1.3197929136601567,0.0,0,60,False
