样本类型,观察日期,股票代码,股票名称,收盘价,统一信号,信号类型,信号理由,首次触发日期,连续确认天数,触发状态,平台信号,周线多头排列,案例展示分层_质量,案例辅助标签_周线五态,距一年低点涨幅,近120日收益,MA20持续度,RPS50,RPS60,RPS250,距一年高点价格差,平台调整天数,平台深度,平台缩量比,平台收敛比,R09核心质量分
历史观察,2016-06-01,601318,中国平安,21.97,0,无信号,RPS50=49.9,,0,未触发,无平台信号,False,中,均线蓄势,0.29387514723203756,-0.07572570466975181,0.475,49.86876640419948,44.45697106350996,65.390625,-0.289226787447428,,,,,0.6203710852630876
历史观察,2016-06-02,601318,中国平安,21.91,0,无信号,RPS50=56.0,,0,未触发,无平台信号,False,中,均线蓄势,0.2903415783274441,-0.07278882776132034,0.48333333333333334,55.95728737354815,41.021788129226145,68.73052959501558,-0.2911679068262698,,,,,0.6203879126280318
历史观察,2016-06-03,601318,中国平安,22.0,0,无信号,RPS50=57.4,,0,未触发,无平台信号,False,中,均线蓄势,0.2956419316843344,-0.06023067065356691,0.49166666666666664,57.43724241288872,33.48348348348348,69.08737864077669,-0.2882562277580071,,,,,0.6210616220118113
历史观察,2016-06-06,601318,中国平安,21.84,0,无信号,RPS50=53.7,,0,未触发,无平台信号,False,中,均线蓄势,0.28621908127208484,-0.06786171574903965,0.5,53.745318352059925,32.19512195121951,68.61908456167572,-0.2934325461015852,,,,,0.6208760003852528
历史观察,2016-06-07,601318,中国平安,21.86,0,无信号,RPS50=53.4,,0,未触发,无平台信号,False,中,均线蓄势,0.28739693757361606,-0.06820119352088672,0.5083333333333333,53.445692883895134,29.305816135084427,70.94647013188519,-0.292785506308638,,,,,0.6215039340482927
历史观察,2016-06-08,601318,中国平安,21.87,0,无信号,RPS50=58.7,,0,未触发,无平台信号,False,中,均线蓄势,0.2879858657243817,-0.07015306122448972,0.5166666666666667,58.66716585548484,38.574108818011254,75.32971295577967,-0.29246198641216437,,,,,0.6219242353610731
历史观察,2016-06-13,601318,中国平安,21.63,0,无信号,RPS50=65.3,,0,未触发,无平台信号,False,中,均线蓄势,0.273851590106007,-0.10730499380932734,0.5083333333333333,65.26946107784431,45.68642160540135,78.66563227307991,-0.3002264639275316,,,,,0.621872595371877
历史观察,2016-06-14,601318,中国平安,21.75,0,无信号,RPS50=64.1,,0,未触发,无平台信号,False,中,均线蓄势,0.28091872791519434,-0.09337223843268028,0.5083333333333333,64.10928143712576,33.33333333333333,76.57098525989139,-0.29634422516984793,,,,,0.6226265676722418
历史观察,2016-06-15,601318,中国平安,21.75,0,无信号,RPS50=63.6,,0,未触发,无平台信号,False,中,均线蓄势,0.28091872791519434,-0.09185803757828803,0.5083333333333333,63.61256544502618,36.03299587551556,75.95034910783554,-0.29634422516984793,,,,,0.6232809387686228
历史观察,2016-06-16,601318,中国平安,21.75,0,无信号,RPS50=62.3,,0,未触发,无平台信号,False,中,均线蓄势,0.28091872791519434,-0.09975165562913912,0.5083333333333333,62.266267763649964,46.3817022872141,70.90768037238169,-0.28265171503957787,,,,,0.6235475532414583
历史观察,2016-06-17,601318,中国平安,21.75,0,无信号,RPS50=61.6,,0,未触发,无平台信号,False,中,均线蓄势,0.28091872791519434,-0.10677618069815198,0.5,61.630516080777866,45.63179602549681,72.6532195500388,-0.28265171503957787,,,,,0.623757172612347
历史观察,2016-06-20,601318,中国平安,21.85,0,无信号,RPS50=69.4,,0,未触发,无平台信号,False,中,均线蓄势,0.28680800942285045,-0.1294820717131474,0.5,69.38317757009345,54.589733982765075,75.24177949709865,-0.27935356200527706,,,,,0.6236259763962795
历史观察,2016-06-21,601318,中国平安,21.81,0,无信号,RPS50=70.4,,0,未触发,无平台信号,False,中,均线蓄势,0.2844522968197878,-0.13176751592356695,0.5,70.39252336448598,54.25252903709254,75.70381797146163,-0.2801980198019802,,,,,0.6238317178744084
历史观察,2016-06-22,601318,中国平安,21.82,0,无信号,RPS50=66.9,,0,未触发,无平台信号,False,中,均线蓄势,0.2850412249705536,-0.1327503974562798,0.5,66.9158878504673,52.24719101123596,75.8368603308965,-0.25350667122819026,,,,,0.6240164055435427
历史观察,2016-06-23,601318,中国平安,21.77,0,无信号,RPS50=70.1,,0,未触发,无平台信号,False,中,均线蓄势,0.28209658421672557,-0.13301473516527285,0.49166666666666664,70.05607476635514,48.95131086142322,76.83724509426703,-0.2552172425590148,,,,,0.6239615338901114
历史观察,2016-06-24,601318,中国平安,21.46,0,无信号,RPS50=64.3,,0,未触发,无平台信号,False,中,均线蓄势,0.26383981154299185,-0.14501992031872513,0.48333333333333334,64.31240657698056,55.74691126918757,73.75913813005002,-0.26582278481012656,,,,,0.6243184673917199
历史观察,2016-06-27,601318,中国平安,21.55,0,无信号,RPS50=58.3,,0,未触发,无平台信号,False,中,均线蓄势,0.26914016489988213,-0.11243822075782539,0.475,58.29596412556054,46.44461077844311,73.41285109657561,-0.25432525951557083,,,,,0.6240981935728055
历史观察,2016-06-28,601318,中国平安,21.67,0,无信号,RPS50=59.0,,0,未触发,无平台信号,False,中,均线蓄势,0.27620730270906946,-0.11874745831638867,0.4666666666666667,58.96860986547085,45.471556886227546,72.83570604078491,-0.2501730103806228,,,,,0.6244304770724372
历史观察,2016-06-29,601318,中国平安,21.88,0,无信号,RPS50=66.0,,0,未触发,无平台信号,False,中,均线蓄势,0.28857479387514706,-0.10069872585285655,0.4666666666666667,66.04407919312663,53.440538519072554,71.33512889572913,-0.24290657439446361,,,,,0.6246723932740459
历史观察,2016-06-30,601318,中国平安,21.8,0,无信号,RPS50=62.6,,0,未触发,无平台信号,False,中,均线蓄势,0.2838633686690224,-0.10984075132707216,0.4666666666666667,62.58401792382375,50.71054599850411,66.6410157752982,-0.24567474048442905,,,,,0.6242777939269848
历史观察,2016-07-01,601318,中国平安,21.89,0,无信号,RPS50=64.3,,0,未触发,无平台信号,False,中,均线蓄势,0.2891637220259129,-0.0548359240069084,0.475,64.3150429264651,58.563949139865365,69.02654867256636,-0.24256055363321793,,,,,0.624514287687477
历史观察,2016-07-04,601318,中国平安,22.07,0,无信号,RPS50=44.2,,0,未触发,无平台信号,False,中,均线蓄势,0.29976442873969367,-0.05965061780997016,0.48333333333333334,44.158268010451664,59.28971962616822,66.75644478645633,-0.2363321799307958,,,,,0.6245122269699751
历史观察,2016-07-05,601318,中国平安,22.05,0,无信号,RPS50=37.5,,0,未触发,无平台信号,False,中,均线蓄势,0.29858657243816245,-0.06130268199233713,0.49166666666666664,37.5,56.074766355140184,63.55606758832565,-0.23702422145328716,,,,,0.6245009873620819
历史观察,2016-07-06,601318,中国平安,22.0,0,无信号,RPS50=32.0,,0,未触发,无平台信号,False,中,均线蓄势,0.2956419316843344,-0.042228994340444026,0.5,32.01492537313433,54.57943925233645,55.40229885057472,-0.23875432525951557,,,,,0.6240806374887555
历史观察,2016-07-07,601318,中国平安,21.97,0,无信号,RPS50=30.7,,0,未触发,无平台信号,False,中,均线蓄势,0.29387514723203756,-0.04850584668687752,0.5083333333333333,30.660201417381572,57.49532710280374,51.9663993890798,-0.2397923875432526,,,,,0.6237411918187667
历史观察,2016-07-08,601318,中国平安,21.85,0,无信号,RPS50=32.7,,0,未触发,无平台信号,False,中,均线蓄势,0.28680800942285045,0.002753556677375091,0.5166666666666667,32.711674748228276,55.493273542600896,48.87447539107211,-0.24394463667820065,,,,,0.6238595778191607
历史观察,2016-07-11,601318,中国平安,21.86,0,无信号,RPS50=33.2,,0,未触发,无平台信号,False,中,均线蓄势,0.28739693757361606,-0.0022820629849383822,0.525,33.22147651006711,56.57698056801196,40.564239420510866,-0.24359861591695497,,,,,0.6239000961078561
历史观察,2016-07-12,601318,中国平安,22.29,0,无信号,RPS50=40.1,,0,未触发,无平台信号,False,中,均线蓄势,0.3127208480565371,0.024356617647058654,0.5333333333333333,40.1416325009318,60.61285500747384,38.84864658787648,-0.22871972318339095,,,,,0.6232785184554326
历史观察,2016-07-13,601318,中国平安,22.32,0,无信号,RPS50=39.0,,0,未触发,无平台信号,False,中,均线蓄势,0.31448763250883394,0.025735294117646967,0.5416666666666666,39.008941877794335,60.17930519237953,27.52573389248952,-0.22768166089965391,,,,,0.6241896234827264
历史观察,2016-07-14,601318,中国平安,22.34,0,无信号,MA20持续度≥55%；RPS50=50.5,,0,未触发,无平台信号,False,中,均线蓄势,0.31566548881036516,0.0527803958529689,0.55,50.46554934823091,57.16952949962659,15.211589782691576,-0.1946647440519106,,,,,0.6244526666196899
