时点,观察日,档,代码,名称,行业,上市日,距低点涨幅,120日收益,MA20持续度,RPS60,目标年,翻倍
2025-01,2024-12-31,观察档,301533,威马农机,机械设备-专用设备,2023-08-18,0.495850622406639,0.1695052716950527,0.5833333333333334,52.36619136185162,2025.0,False
2025-01,2024-12-31,观察档,301498,乖宝宠物,农林牧渔-饲料,2023-08-16,1.1732548359966355,0.49421742482652253,0.675,90.3285802851829,2025.0,False
2025-01,2024-12-31,观察档,688548,广钢气体,电子-电子化学品,2023-08-15,0.4277539341917025,0.13409090909090904,0.475,65.50940276916718,2025.0,False
2025-01,2024-12-31,观察档,300904,威力传动,电力设备-风电设备,2023-08-09,0.7250573394495412,0.4856790123456791,0.6166666666666667,88.36536474478198,2025.0,False
2025-01,2024-12-31,观察档,603296,华勤技术,电子-消费电子,2023-08-08,0.9001536098310292,0.3279656468062264,0.5833333333333334,90.26658400495971,2025.0,False
2025-01,2024-12-31,观察档,688347,华虹宏力,电子-半导体,2023-08-07,0.7160265878877401,0.31049069373942473,0.5333333333333333,73.30026865054762,2025.0,True
2025-01,2024-12-31,观察档,301362,民爆光电,电子-光学光电,2023-08-04,0.5328341013824884,0.20135440180586905,0.5333333333333333,51.0642694771647,2025.0,False
2025-01,2024-12-31,观察档,603119,浙江荣泰,汽车-汽车零部件,2023-08-01,0.7395727365208546,0.25274725274725274,0.475,94.48233106013639,2025.0,True
2025-01,2024-12-31,观察档,301371,敷尔佳,化工-日用化工,2023-08-01,0.5011074197120708,0.2609302325581395,0.6333333333333333,56.251291589171316,2025.0,False
2025-01,2024-12-31,观察档,688651,盛邦安全,计算机-软件服务,2023-07-26,0.5107370864770748,0.343830665978317,0.43333333333333335,65.46807191568506,2025.0,False
2025-01,2024-12-31,观察档,301446,福事特,机械设备-工程机械,2023-07-25,0.6356821589205397,0.20022002200220035,0.6333333333333333,42.55011365984708,2025.0,False
2025-01,2024-12-31,观察档,301499,维科精密,汽车-汽车零部件,2023-07-21,0.6089625537139352,0.2287857477730897,0.4666666666666667,2.727836329820211,2025.0,False
2025-01,2024-12-31,观察档,688627,精智达,机械设备-专用设备,2023-07-18,0.9466487935656838,0.8551354113438936,0.5583333333333333,86.52614176482744,2025.0,True
2025-01,2024-12-31,观察档,301329,信音电子,电子-消费电子,2023-07-17,0.6751020408163264,0.13370165745856344,0.49166666666666664,50.44430667493284,2025.0,False
2025-01,2024-12-31,观察档,688603,天承科技,电子-电子化学品,2023-07-10,2.3974842767295597,1.6172480620155039,0.7666666666666667,95.84624922504649,2025.0,False
2025-01,2024-12-31,观察档,301486,致尚科技,电子-消费电子,2023-07-07,0.856640625,0.25276752767527677,0.4166666666666667,66.7079975201488,2025.0,True
2025-01,2024-12-31,观察档,301202,朗威股份,机械设备-通用设备,2023-07-05,1.7503001200480193,0.8074950690335305,0.5416666666666666,87.62140938210375,2025.0,False
2025-01,2024-12-31,观察档,301488,豪恩汽电,汽车-汽车零部件,2023-07-04,0.46781115879828317,0.1707317073170731,0.5166666666666667,9.19611489977268,2025.0,True
2025-01,2024-12-31,观察档,688582,芯动联科,电子-元器件,2023-06-30,1.2477477477477477,0.9499804611176241,0.8,69.08452159537094,2025.0,False
2025-01,2024-12-31,观察档,301291,明阳电气,电力设备-电网设备,2023-06-30,0.8387375702550801,0.36620623193061363,0.6916666666666667,79.18991527175037,2025.0,False
2025-01,2024-12-31,观察档,688429,时创能源,电力设备-光伏设备,2023-06-29,0.4363942712721147,0.10858257477243183,0.5,12.833230006199628,2025.0,False
