组,月数,月均只数,触及-8%比例,其中21日后仍上涨,20日日波动率中位,21日收益中位
Codex强确认·RPS60前10,40.0,10.0,0.7575,0.17850198412698412,0.060518623620831574,-0.051250480902265305
Codex强确认·全部,40.0,289.025,0.5593806764120751,0.16940660592140283,0.04077501303570467,-0.021086317709288333
全市场合格(参照),40.0,4776.1,0.37624316911287453,0.16472566151412407,0.021830283329074253,-0.0016805062448851963
第一四八节规则·全部,40.0,507.075,0.5249716511364196,0.17990616531218512,0.04025084768742043,-0.015694633898676764
