段,变量,阈值,选中,覆盖率,命中率,L2命中,召回,lift_base,lift_ctrl,对照命中,超噪音上界
全样本 2015–2025,recovery_from_low_250,0-20%,11706,0.4098883014111138,0.03143686998120622,0.005808986844353323,0.255024255024255,0.622179882046617,0.9141182231737867,0.03439037663209306,False
全样本 2015–2025,recovery_from_low_250,20-40%,7169,0.2510241955250534,0.05258752964151207,0.010322220672339238,0.26126126126126126,1.0407811912903278,1.0213004212396153,0.051490754872776164,False
全样本 2015–2025,recovery_from_low_250,40-60%,4023,0.14086627683042124,0.07084265473527218,0.01590852597564007,0.19750519750519752,1.4020757980489522,1.0774743940292038,0.0657488058443383,False
全样本 2015–2025,recovery_from_low_250,60-100%,3510,0.12290346300640778,0.07321937321937322,0.017094017094017096,0.1781011781011781,1.4491144003964516,1.0184903176580185,0.07189010238971982,False
全样本 2015–2025,recovery_from_low_250,100-200%,1769,0.0619419447459645,0.07122668174109667,0.013566986998304126,0.08731808731808732,1.4096762327401107,1.07930599391156,0.06599303825133125,False
全样本 2015–2025,recovery_from_low_250,>200%,382,0.013375818481039251,0.07853403141361257,0.015706806282722512,0.02079002079002079,1.554298962675926,1.293941660433807,0.06069364161849711,False
全样本 2015–2025,close_to_ma_250,<0,14922,0.5224972863195491,0.039404905508644957,0.008041817450743867,0.4074844074844075,0.7798785144985386,0.9486352786883014,0.041538520012803,False
全样本 2015–2025,close_to_ma_250,0-10%,6072,0.21261248643159775,0.05764163372859025,0.010210803689064558,0.24255024255024255,1.1408090212438038,1.036880717906112,0.055591383592311736,False
全样本 2015–2025,close_to_ma_250,10-20%,3456,0.1210126404986169,0.06770833333333333,0.01765046296296296,0.16216216216216217,1.340043168168168,1.1121969183821527,0.060878008394255084,False
全样本 2015–2025,close_to_ma_250,20-40%,2736,0.09580167372807172,0.06432748538011696,0.01206140350877193,0.12196812196812197,1.2731314310261677,1.0165413259205431,0.06328073806725398,False
全样本 2015–2025,close_to_ma_250,40-60%,825,0.028887566091249695,0.05818181818181818,0.013333333333333334,0.033264033264033266,1.1515000315000314,0.9765284779847468,0.05958025750758184,False
全样本 2015–2025,close_to_ma_250,60-100%,425,0.014881473440946811,0.07764705882352942,0.01647058823529412,0.02286902286902287,1.5367445273327627,1.1848920823375222,0.06553091203913647,False
全样本 2015–2025,close_to_ma_250,>100%,123,0.0043068734899681365,0.11382113821138211,0.016260162601626018,0.009702009702009701,2.252680447802399,1.2804625112917796,0.0888906447534766,False
全样本 2015–2025,rps_60,>=60,11410,0.3995237928498897,0.05109553023663453,0.010867659947414548,0.404019404019404,1.0112524241358596,1.0102844280595518,0.05057539126360035,False
全样本 2015–2025,rps_60,>=70,8469,0.29654399663853775,0.05053725351281143,0.011099303341598771,0.2966042966042966,1.0002033423925027,0.9955705417001464,0.05076210212739765,False
全样本 2015–2025,rps_60,>=80,5604,0.19622535803074337,0.05353319057815846,0.012312633832976445,0.2079002079002079,1.0594971515742393,1.0216172284018243,0.052400438334329544,False
全样本 2015–2025,rps_60,>=85,4154,0.14545327217339543,0.05512758786711603,0.01227732306210881,0.1586971586971587,1.0910525169071148,1.039849337008,0.05301497621351266,False
全样本 2015–2025,rps_60,>=90,2719,0.09520641479043383,0.05921294593600589,0.011769032732622288,0.11157311157311157,1.17190750033707,1.1003158683245966,0.053814497855208504,False
全样本 2015–2025,rps_60,>=95,1323,0.04632515144087678,0.06424792139077853,0.009826152683295541,0.058905058905058906,1.2715567477472238,1.1392019494364911,0.0563973063973064,False
全样本 2015–2025,vol_20_pct,>=50分位,14287,0.5002626142371932,0.05809477147056765,0.013508784209421152,0.5751905751905751,1.149777254627818,1.0880388356935153,0.05339402378366217,False
全样本 2015–2025,vol_20_pct,>=60分位,11430,0.40022409748240484,0.05774278215223097,0.012773403324584426,0.4573804573804574,1.1428108908423869,1.0775626505112772,0.05358647325501996,False
全样本 2015–2025,vol_20_pct,>=70分位,8574,0.3002205959592423,0.058898996967576396,0.012013062747842314,0.34996534996534995,1.1656940085911394,1.07667362290797,0.05470459730265989,False
全样本 2015–2025,vol_20_pct,>=80分位,5719,0.20025210966770546,0.056303549571603426,0.0113656233607274,0.22314622314622315,1.114326453371741,1.0393470156519544,0.05417204141033274,False
全样本 2015–2025,vol_20_pct,>=90分位,2863,0.10024860814454288,0.05413901501921062,0.009081383164512749,0.10741510741510742,1.0714872695312794,0.9591158502179364,0.05644679420834178,False
全样本 2015–2025,above_ma20_share_120,>=50%,12349,0.4324030953464757,0.06429670418657381,0.013199449348125353,0.5502425502425502,1.2725222279032302,1.085938851936952,0.05920840208625926,False
全样本 2015–2025,above_ma20_share_120,>=55%,8329,0.29164186421093174,0.0683155240725177,0.014047304598391163,0.3943173943173943,1.352060327087341,1.0811023713332446,0.06319061532375436,False
全样本 2015–2025,above_ma20_share_120,>=60%,5039,0.17644175216219055,0.0716411986505259,0.01607461797975789,0.25017325017325015,1.4178801055165413,1.0691650679132452,0.06700667726673151,False
全样本 2015–2025,above_ma20_share_120,>=65%,2754,0.09643194789733534,0.07879448075526507,0.01670297748729121,0.15038115038115038,1.559453621545125,1.046126025115153,0.07532025670290701,False
全样本 2015–2025,above_ma20_share_120,>=70%,1389,0.048636156728176755,0.07055435565154787,0.013678905687544997,0.06791406791406791,1.3963699536053746,0.9563144821810282,0.07377735772717503,False
全样本 2015–2025,above_ma20_share_120,>=75%,622,0.02177947407122098,0.0707395498392283,0.00964630225080386,0.030492030492030493,1.400035207109162,0.9081428695576605,0.07789473684210527,False
