window,total,cagr,mdd,sharpe,bench_div,trades,frozen
train,1.987010658960716,0.20031874388211346,-0.5637913061968362,0.8893897786232935,0.9259494933672063,1863,149
validation,1.1553498360090066,0.2925647314739108,-0.227852766681526,1.5517090417056774,-0.024019923278486344,869,2
oos,1.5210648632709352,0.36206595071392256,-0.2666585322839443,1.4882330314083936,0.2757554181524655,764,2
holdout,0.047774879145570326,0.0889662044312749,-0.11572972648299784,0.5051304034514873,-0.003904742517453985,178,1
full,14.440144431036117,0.2563177616624246,-0.5637913061968362,1.117886408668548,1.4404423718743913,3762,153
