,R08,510300
2021-01,-0.03238755293345452,0.015342777488124293
2021-02,0.027167833815666675,-0.0026341675688826838
2021-03,0.06227275225246287,-0.05396377612405112
2021-04,-0.034376718424786734,0.01594799311021755
2021-05,0.02594094340538944,0.04103073633760235
2021-06,-0.023611160013172983,-0.014348615725414682
2021-07,-0.056776751040670814,-0.0736337137359262
2021-08,0.07536954100439597,0.0005265244857570739
2021-09,0.0475646534436156,0.012955135445890553
2021-10,-0.04098327247298528,0.008987901463661574
2021-11,-0.01613671758634716,-0.01531882839173726
2021-12,0.05761989364241149,0.02145517321251944
2022-01,0.033294194968541024,-0.07588929074046769
2022-02,0.007544413513371762,0.0032532575228874094
2022-03,0.06889069450890828,-0.07853208457354399
2022-04,-0.04250135375180608,-0.048609959183590346
2022-05,-0.0243548201695587,0.020175153143410895
2022-06,0.027239424150100833,0.10290219917486998
2022-07,-0.031586379514125906,-0.06386357925777664
2022-08,-0.018930855426411375,-0.019932934245222134
2022-09,-0.0439240167438979,-0.06678514214123832
2022-10,-0.06065555527637667,-0.0768325270215997
2022-11,0.13174709479806013,0.09626135357071819
2022-12,-0.02258775394820034,0.0051565205539783054
2023-01,0.022259829254304808,0.07255921906741358
2023-02,0.006687279075291208,-0.021571566323818847
2023-03,-0.018748718951714594,-0.004757591934750116
2023-04,0.048711702844951965,-0.005417779283191204
2023-05,-0.01345412082826103,-0.05572851838875248
2023-06,-0.018525117865344165,0.02079354741039907
2023-07,0.08825271082827313,0.05277235958952331
2023-08,-0.044825675764025075,-0.060442792259976175
2023-09,0.0287729805753143,-0.019815976847331607
2023-10,-0.016205465230624494,-0.031367371995551174
2023-11,-0.009784138281046406,-0.02146719051348933
2023-12,-0.002983954675107592,-0.017569692654637814
2024-01,0.06012194470577725,-0.06319779561838013
2024-02,0.04014611701325399,0.09251426157145981
2024-03,0.00036072201490688904,0.0055856526550859265
2024-04,0.037985990684381576,0.019380973807074042
2024-05,0.0475157189822637,-0.005097777759325073
2024-06,-0.015756709805353597,-0.02589306718390194
2024-07,0.015737244352345137,0.005375058269000421
2024-08,-0.036983638637212546,-0.03275765269174813
2024-09,0.15845096057366992,0.20966457314005638
2024-10,-0.024425262687889138,-0.031073805885016736
2024-11,0.03280389012631213,0.0070164553972063
2024-12,0.038103920339222164,0.0054584915626130215
2025-01,0.0023971960154274274,-0.027978481729122318
2025-02,-0.025675531275087038,0.018851624973644787
2025-03,0.026935558780956548,-0.0006480577818368527
2025-04,0.0014414458397518093,-0.028909762553005036
2025-05,0.060710021636657174,0.020103491395477402
2025-06,0.04542288773827474,0.0327785693579814
2025-07,0.012787597127530859,0.042567296087536954
2025-08,-0.020412305640083894,0.10528685290708895
2025-09,-0.05541961223575498,0.03294273174043094
2025-10,0.05029609230672061,0.0019317705514387828
2025-11,0.010220068812095917,-0.02411970761486837
2025-12,-0.014482761761560492,0.024812321016906003
2026-01,-0.011780613317362909,0.01745379352712284
2026-02,0.0057463916899831435,0.0013442069881453023
2026-03,0.028157359482817057,-0.055744951521984554
2026-04,-0.005086760611839658,0.08162838074717249
2026-05,-0.027259067337904508,0.018976210172504393
2026-06,-0.05659382814825986,0.02066002097330366
2026-07,0.08974949836528623,-0.06208294502027656
