factor,n_reb,full_cagr,full_mdd,full_sharpe,full_total,full_frozen,full_trades,full_bench,full_ctrl_med,full_ctrl_p999,full_p,oos_cagr,oos_mdd,oos_sharpe,oos_total,oos_frozen,oos_trades,oos_bench,oos_ctrl_med,oos_ctrl_p999,oos_p,pass_F2
small_cap,153,0.33138223624645535,-0.49567940857655635,1.0990070139343344,29.970802091119857,139,2949,1.4404423718743913,0.2573914542437674,0.31072869089944916,0.001996007984031936,0.297659002733035,-0.4214235715681873,1.037685067046288,1.1808698878079942,0,389,0.2757554181524655,0.20251616340762602,0.28519555042238237,0.001996007984031936,True
large_cap,153,0.09004148709704807,-0.39031403902921935,0.603210415879999,1.8126215746179342,10,1114,1.4404423718743913,0.0668866230618973,0.09878647022345781,0.03792415169660679,0.13946928812940995,-0.08305545328729091,1.4366810593360824,0.4780221874110697,1,170,0.2757554181524655,0.07307061981901875,0.12993180831281811,0.003992015968063872,False
low_turnover,153,0.13722312219029087,-0.3193460445243962,0.887444534588212,3.6756541610394793,39,2622,1.4404423718743913,0.058466476588859395,0.12064431160065127,0.001996007984031936,0.2056752346648656,-0.08767973517976124,1.612762916724439,0.7501667567133572,1,527,0.2757554181524655,0.05298672426816997,0.14598894323825437,0.001996007984031936,True
high_turnover,153,-0.13364550572692435,-0.9236182262930663,-0.4950459902019293,-0.8210676968040425,103,2518,1.4404423718743913,0.08214316036844826,0.15102410795401983,1.0,-0.17105166887578915,-0.5767292232596888,-0.5583400848150052,-0.4295786151290386,0,893,0.2757554181524655,0.048098104613882975,0.17677649951698207,1.0,False
small_cap_low_turnover,153,0.2563177616624246,-0.5637913061968362,1.117886408668548,14.440144431036117,153,3762,1.4404423718743913,0.14100731448729964,0.23066138788201332,0.001996007984031936,0.36206595071392256,-0.2666585322839443,1.4882330314083936,1.5210648632709352,2,764,0.2757554181524655,0.12857721175307912,0.32177291833062976,0.001996007984031936,True
low_amihud,153,0.04449874178040503,-0.4351239826273561,0.33717139057530027,0.685743600919722,39,1824,1.4404423718743913,0.04182810609579224,0.08185446399711392,0.38323353293413176,0.07784542747044121,-0.11698908923403006,0.8691651438020199,0.25148120105181726,0,293,0.2757554181524655,0.04529700164019701,0.10658577330240075,0.08782435129740519,False
high_amihud,153,0.3069308130846342,-0.543820346447747,1.2297647929052404,23.7967408427176,155,4091,1.4404423718743913,0.13900655305478404,0.20946331035524332,0.001996007984031936,0.5425262108046689,-0.33937661884730375,1.969831092062276,2.658309436507085,4,850,0.2757554181524655,0.11822467007358695,0.2757006235161411,0.001996007984031936,True
low_vol_60,153,0.08250569537902308,-0.4011425019436732,0.6168317758745808,1.588056482888072,55,2976,1.4404423718743913,0.06823017948419996,0.12128841222880093,0.2315369261477046,0.10003814490503782,-0.10592630950823867,0.8639481662032779,0.33018324268152566,0,757,0.2757554181524655,0.03993073163623895,0.167655730129789,0.04790419161676647,False
low_vol_120,153,0.07628582248128568,-0.42960827612226604,0.5520150786050216,1.415219508799034,92,2430,1.4404423718743913,0.06614543970889919,0.1289322567803196,0.2954091816367265,0.09525037112179158,-0.10448183204338835,0.8198746543407681,0.3129334920515321,0,523,0.2757554181524655,0.043413036750581946,0.15988840410034078,0.1157684630738523,False
low_mdd_250,153,0.09145693073765493,-0.45338101672092646,0.5864342327626931,1.85674267769217,81,2632,1.4404423718743913,0.036970036295456477,0.09186775723497849,0.005988023952095809,0.13081503513468906,-0.11996055539511885,0.9875665951724351,0.4446835661634083,0,514,0.2757554181524655,0.007925951211091853,0.09113680694478037,0.001996007984031936,False
mom_250,153,-0.05511554938359908,-0.7937989793710618,-0.17040660104665772,-0.49338360006798365,184,1919,1.4404423718743913,0.013848926360999991,0.07238903089563546,1.0,-0.09218900615866144,-0.4551877729159207,-0.4973336882746535,-0.25130907379359213,0,385,0.2757554181524655,0.00822600465344081,0.14602755393436864,0.9920159680638723,False
mom_60,153,-0.10140000228833124,-0.8701621231015257,-0.36928254575176367,-0.7226352831649091,142,2718,1.4404423718743913,0.01987292333159718,0.09023457426368016,1.0,-0.21727977794491782,-0.5947075010409928,-1.042568213451753,-0.5195804097543626,0,659,0.2757554181524655,-0.004422615790612483,0.10897694788472141,1.0,False
rev_20,153,0.033307045876360686,-0.6637217082342524,0.2630008017914727,0.48140829840856436,136,5274,1.4404423718743913,0.06041665606832147,0.12658306448143633,0.8483033932135728,0.14208426525696694,-0.30772573121331404,0.6515640262123541,0.4881956476928797,3,1217,0.2757554181524655,0.09652368839109438,0.2558992731520225,0.18962075848303392,False
rev_5,153,-0.07488492189288576,-0.8566023001865111,-0.2039740438462369,-0.606871784554896,144,4687,1.4404423718743913,0.034493739865262496,0.09839520711892026,1.0,-0.02954338811887569,-0.4588405175424167,0.011263298197186288,-0.08583113092028505,0,1176,0.2757554181524655,0.04140069285758097,0.16225563947326918,0.9401197604790419,False
near_high_250,153,-0.06693118167604706,-0.8483698992144791,-0.18495654023290442,-0.5643588873258056,103,4605,1.4404423718743913,0.042249044087052656,0.10704880793821905,1.0,-0.07394620825714326,-0.3166357275009377,-0.3430549291188095,-0.20537935939438767,1,1186,0.2757554181524655,0.0315249366473116,0.14905846481300175,0.998003992015968,False
trend_sma50_200,153,-0.0832566385991117,-0.859160185795631,-0.26863742688232234,-0.6474830496769441,148,2313,1.4404423718743913,-0.00011149213130212665,0.061793248761861645,1.0,-0.16105727922053048,-0.5193193021830278,-0.7921855395995787,-0.40874999584250615,0,531,0.2757554181524655,-0.008397073098586005,0.1205403131167253,1.0,False
