full,oos
0.26404917,0.3270116
0.23449922,0.28812695
0.17904103,0.23448992
0.13515866,0.20167494
0.108988404,0.14371526
0.084822655,0.13119781
0.08319175,0.10951984
0.08300495,0.074026704
0.07122731,0.07676208
0.0806402,0.066544175
