,spearman
深度,-0.1300392775688477
缩量比,-0.04637220672826594
收敛比,0.06671605697512219
调整天数,-0.003994226693823197
止损距离,-0.062004641404330464
止损σ倍数,0.16475327406010995
买入日日波动率,-0.16427965786965626
流通市值亿,0.06919125569154878
