代码,他,我,他RPS50,我RPS50,我合格
001258,强确认,强确认,99.53554119547657,99.5591336016868,True
688432,强确认,强确认,99.51534733441034,99.53996549741231,True
301165,强确认,强确认,99.47495961227787,99.48246118458884,True
688710,强确认,强确认,98.94991922455574,98.96492236917769,True
001229,强确认,强确认,98.62681744749597,98.6582327007859,True
688361,强确认,强确认,98.50565428109854,98.54322407513897,True
688758,强确认,强确认,97.9200323101777,97.98734905117884,True
603162,强确认,强确认,97.31421647819063,97.43147402721871,True
001230,强确认,强确认,94.3659127625202,94.65209890741806,True
688485,强确认,强确认,94.22455573505655,94.49875407322216,True
301273,强确认,强确认,93.73990306946688,94.01955146635997,True
301365,强确认,强确认,92.14458804523424,92.52443933294997,True
688620,强确认,强确认,90.50888529886915,91.01015909526548,True
688120,标准确认,标准确认,88.81260096930534,89.30419781483612,True
301282,标准确认,标准确认,86.61147011308562,87.34905117883841,True
301529,标准确认,标准确认,82.87560581583199,83.78378378378379,True
688392,标准确认,标准确认,82.85541195476576,83.76461567950929,True
688702,观察级,观察级,78.61470113085622,79.73931378186697,True
688448,观察级,观察级,74.91922455573506,76.21238259536132,True
688147,观察级,观察级,73.82875605815832,75.1964730688135,True
301321,观察级,观察级,73.68739903069466,75.10063254744107,True
301607,观察级,观察级,67.16478190630049,68.79432624113475,True
301536,观察级,观察级,65.4886914378029,67.31838221199922,True
688548,观察级,观察级,64.05492730210017,65.89994249568718,True
688409,观察级,观察级,60.15751211631664,62.123825953613185,True
301366,观察级,观察级,57.79483037156704,59.84282154494921,True
688652,观察级,观察级,48.12197092084006,46.0226183630439,True
688584,观察级,观察级,47.859450726979,44.910868315123636,True
301281,观察级,观察级,46.36510500807754,44.27832087406556,True
603061,观察级,观察级,46.22374798061389,44.220816561242096,True
688253,观察级,观察级,43.0735056542811,41.249760398696566,True
688352,观察级,观察级,42.71001615508885,40.84723020893234,True
301557,观察级,观察级,42.20516962843296,40.42553191489361,True
688530,观察级,观察级,39.62035541195477,37.876174046386815,True
688498,观察级,观察级,38.04523424878837,36.36189380870232,True
301115,观察级,观察级,33.218901453958,31.799884991374356,True
301205,观察级,观察级,33.03715670436188,31.62737205290397,True
301328,观察级,观察级,31.32067851373182,29.921410772474605,True
301295,观察级,观察级,30.97738287560581,29.633889208357296,True
001359,观察级,观察级,30.10904684975768,28.80966072455434,True
688376,观察级,观察级,29.88691437802908,28.560475368986005,True
688627,观察级,观察级,29.80613893376414,28.502971056162547,True
301603,观察级,观察级,29.70516962843296,28.40713053479011,True
301528,观察级,观察级,28.85702746365105,27.602070155261643,True
301307,观察级,观察级,28.10985460420032,26.892850297105614,True
688449,观察级,观察级,27.12035541195477,25.953613187655737,True
688231,观察级,观察级,26.53473344103393,25.39773816369561,True
688401,观察级,观察级,24.95961227786753,23.88345792601112,True
688141,观察级,观察级,24.45476575121163,23.404255319148938,True
301392,观察级,观察级,23.7075928917609,22.67586735671842,True
301419,观察级,观察级,23.56623586429725,22.560858731071498,True
688479,观察级,观察级,23.50565428109855,22.46501820969906,True
688629,观察级,观察级,22.96042003231018,21.98581560283688,True
688403,观察级,观察级,20.75928917609047,19.89649223691777,True
603125,观察级,观察级,20.05250403877221,19.2447766915852,True
688371,观察级,观察级,18.98222940226171,18.171362852213914,True
001339,观察级,观察级,17.66962843295638,16.925436074372243,True
301396,观察级,观察级,17.5080775444265,16.772091240176344,True
001389,观察级,观察级,15.81179321486268,15.161970481119416,True
301526,观察级,观察级,11.24798061389338,10.791642706536324,True
688720,观察级,观察级,11.10662358642973,10.6766340808894,True
688172,观察级,观察级,8.945880452342488,8.625646923519264,True
688610,观察级,观察级,8.622778675282714,8.280621046578492,True
301312,观察级,观察级,8.279483037156703,7.973931378186698,True
688549,观察级,观察级,8.117932148626817,7.8205865439907996,True
688545,观察级,观察级,7.855411954765751,7.571401188422465,True
301322,观察级,观察级,7.289983844911147,7.053862373011309,True
301630,观察级,观察级,6.865912762520193,6.651332183247077,True
301377,观察级,观察级,5.452342487883683,5.3095648840329694,True
688535,观察级,观察级,4.907108239095315,4.792026068621813,True
301349,观察级,观察级,4.644588045234248,4.5428407130534785,True
301308,观察级,观察级,3.937802907915994,3.8719570634464255,True
688307,观察级,观察级,3.311793214862682,3.2585777266628333,True
688515,观察级,观察级,3.029079159935379,2.9710561625455245,True
301369,观察级,观察级,2.34248788368336,2.3193406172129576,True
301319,观察级,观察级,2.281906300484652,2.261836304389496,True
001309,观察级,观察级,1.938610662358643,1.9359785317232128,True
688525,观察级,观察级,1.736672051696284,1.7251293847038527,True
301389,观察级,观察级,1.595315024232633,1.6101207590569295,True
301568,观察级,观察级,1.474151857835218,1.4759440291355186,True
301176,观察级,观察级,1.352988691437803,1.360935403488595,True
603124,观察级,观察级,1.332794830371567,1.3417672992141079,True
688603,观察级,观察级,1.191437802907916,1.207590569292697,True
688719,观察级,观察级,1.151050080775444,1.1692543607437225,True
301373,观察级,观察级,0.9894991922455574,1.0159095265478244,True
301511,观察级,观察级,0.747172859450727,0.7858922752539774,True
301520,无信号,无信号,99.95961227786752,99.96166379145103,True
688137,无信号,无信号,99.69709208400647,99.71247843588269,True
688293,无信号,无信号,98.58642972536349,98.61989649223692,True
603395,无信号,无信号,98.40468497576737,98.44738355376653,True
603151,无信号,无信号,98.16235864297253,98.23653440674718,True
301376,无信号,无信号,98.06138933764136,98.12152578110025,True
688073,无信号,无信号,97.87964458804524,97.94901284262987,True
001337,无信号,无信号,96.86995153473345,96.97143952463101,True
688114,无信号,无信号,96.48626817447496,96.60724554341576,True
603391,无信号,无信号,96.20355411954766,96.33889208357293,True
688426,无信号,无信号,96.14297253634895,96.28138777074948,True
688247,无信号,无信号,95.61793214862682,95.7830170596128,True
688373,无信号,无信号,95.51696284329564,95.70634464251485,True
301533,无信号,无信号,94.9919224555735,95.26547824420165,True
300804,无信号,无信号,94.72940226171244,94.99712478435882,True
688152,无信号,无信号,94.64862681744751,94.93962047153536,True
601083,无信号,无信号,94.4870759289176,94.76710753306497,True
301399,无信号,无信号,94.06300484652665,94.38374544757524,True
688428,无信号,无信号,93.98222940226171,94.26873682192831,True
301381,无信号,无信号,93.4168012924071,93.73202990224266,True
601121,无信号,无信号,92.99273021001615,93.31033160820394,True
301287,无信号,无信号,92.87156704361874,93.233659191106,True
688506,无信号,无信号,91.63974151857836,92.00690051753881,True
301633,无信号,无信号,91.41760904684976,91.79605137051946,True
301591,无信号,无信号,91.17528271405493,91.54686601495112,True
688382,无信号,无信号,90.81179321486267,91.22100824228484,True
301230,无信号,无信号,90.52907915993538,90.95265478244202,True
301367,无信号,无信号,90.4281098546042,90.87598236534407,True
603237,无信号,无信号,90.22617124394185,90.62679700977573,True
001395,无信号,无信号,89.88287560581584,90.33927544565843,True
301335,无信号,无信号,89.43861066235864,89.87924094307073,True
688203,无信号,无信号,89.25686591276252,89.78340042169829,True
301345,无信号,无信号,88.99434571890146,89.51504696185548,True
301277,无信号,无信号,88.50969305331179,89.05501245926779,True
001322,无信号,无信号,87.86348949919226,88.34579260111175,True
001231,无信号,无信号,87.66155088852989,88.24995207973932,True
603231,无信号,无信号,87.31825525040388,88.00076672417097,True
603049,无信号,无信号,87.19709208400647,87.86658999424957,True
301665,无信号,无信号,87.07592891760905,87.75158136860264,True
001225,无信号,无信号,87.03554119547657,87.71324516005366,True
301516,无信号,无信号,84.3497576736672,85.22139160437033,True
301333,无信号,无信号,83.92568659127625,84.7996933103316,True
001324,无信号,无信号,83.46122778675283,84.30132259919493,True
688443,无信号,无信号,83.25928917609046,84.18631397354802,True
301270,无信号,无信号,83.23909531502423,84.12880966072456,True
301602,无信号,无信号,83.05735056542811,83.95629672225417,True
603373,无信号,无信号,82.16882067851373,83.13206823845121,True
301578,无信号,无信号,82.02746365105008,82.95955529998083,True
603082,无信号,无信号,81.90630048465266,82.92121909143185,True
301227,无信号,无信号,81.5831987075929,82.62411347517731,True
603172,无信号,无信号,81.26009693053312,82.32700785892276,True
301390,无信号,无信号,81.1389337641357,82.19283112900135,True
603406,无信号,无信号,80.735056542811,81.77113283496263,True
301310,无信号,无信号,80.47253634894992,81.54111558366878,True
001388,无信号,无信号,80.31098546042004,81.42610695802185,True
301509,无信号,无信号,80.16962843295639,81.21525781100249,True
301393,无信号,无信号,80.10904684975768,81.17692160245352,True
