factor,2026留出(G1)_cagr,2026留出(G1)_ctrl_med,2026留出(G1)_p,2014-2017_cagr,2014-2017_ctrl_med,2014-2017_p,2018-2021_cagr,2018-2021_ctrl_med,2018-2021_p,2022-2025_cagr,2022-2025_ctrl_med,2022-2025_p,G1,G2
small_cap,-0.18162603568973523,-0.22685410867398492,0.15169660678642716,0.4477212313133736,0.3980639183889809,0.09580838323353294,0.3203682860057089,0.22520701107084073,0.013972055888223553,0.19594529305159658,0.11921914914275678,0.001996007984031936,False,True
low_turnover,-0.013172560008662737,-0.12574528547695535,0.09580838323353294,0.1974607486377793,0.13343112122193146,0.05788423153692615,0.030074779158994147,0.015329784963082016,0.281437125748503,0.16806867653661905,0.018801546825361615,0.001996007984031936,False,False
small_cap_low_turnover,0.0889662044312749,-0.2467932680470018,0.001996007984031936,0.3258334358627115,0.22975352259477144,0.01996007984031936,0.109808865036642,0.06755174132071862,0.16966067864271456,0.2981942248359708,0.0930059898483151,0.001996007984031936,True,True
high_amihud,0.06700915787378858,-0.24857731665242955,0.001996007984031936,0.3504178934571778,0.22916843562669165,0.005988023952095809,0.12892672965102814,0.07617470568988627,0.14171656686626746,0.43270152073568924,0.074106701234265,0.001996007984031936,True,True
