观察日,排名,代码,名称,申万一级,距一年低点涨幅,换手加速,流通市值亿,未来60日最大涨幅,启动(>=50%)
2019-01-31,64,603017,中衡设计,建筑装饰,0.4529,1.0154,32.4,0.3961,False
2019-01-31,65,002674,兴业科技,纺织服饰,0.4512,0.7036,22.0,0.9874,True
2019-01-31,66,000823,超声电子,电子,0.4483,0.4196,43.8,0.5262,True
2019-01-31,67,000802,北京文化,传媒,0.4482,0.5924,52.3,0.0761,False
2019-01-31,68,600570,恒生电子,计算机,0.4468,0.1151,385.6,0.6049,True
2019-01-31,69,603238,诺邦股份,纺织服饰,0.443,0.369,6.0,0.0993,False
2019-01-31,70,600456,宝钛股份,有色金属,0.4427,0.316,78.0,0.4346,False
2019-01-31,71,002446,盛路通信,通信,0.4353,0.1153,35.6,0.6489,True
2019-01-31,72,603976,正川股份,医药生物,0.4313,0.3103,6.4,0.2777,False
2019-01-31,73,600383,金地集团,房地产,0.419,0.0654,495.0,0.3483,False
2019-01-31,74,603985,恒润股份,机械设备,0.4181,0.3501,15.9,0.2044,False
2019-01-31,75,300252,金信诺,通信,0.4134,0.0673,43.0,0.3537,False
2019-01-31,76,600588,用友网络,计算机,0.4118,0.1424,458.7,0.569,True
2019-01-31,77,603960,克来机电,机械设备,0.4112,0.5597,13.0,0.6315,True
2019-01-31,78,000777,中核科技,机械设备,0.4089,0.6327,47.0,0.3715,False
2019-01-31,79,300615,欣天科技,通信,0.4084,0.4228,6.4,0.3979,False
2019-01-31,80,300572,安车检测,机械设备,0.4077,0.1217,25.6,0.8941,True
2019-01-31,81,002063,远光软件,计算机,0.4069,0.6919,51.2,0.7526,True
2019-01-31,82,300268,佳沃食品,农林牧渔,0.4047,0.1295,11.9,0.5083,True
2019-01-31,83,603688,石英股份,有色金属,0.4035,0.2894,42.2,0.3851,False
2019-01-31,84,603886,,食品饮料,0.403,0.1388,22.7,0.3855,False
2019-01-31,85,603360,百傲化学,基础化工,0.3973,0.2948,11.2,1.2684,True
2019-01-31,86,603328,依顿电子,电子,0.3948,0.1082,104.2,0.1696,False
2019-01-31,87,300450,先导智能,机械设备,0.3947,0.2883,145.9,0.2922,False
2019-01-31,88,002876,三利谱,电子,0.3945,0.3163,19.8,0.4922,False
2019-01-31,89,000925,众合科技,机械设备,0.3935,0.2322,27.8,0.4535,False
2019-01-31,90,300498,,农林牧渔,0.3932,0.2269,1036.0,0.6269,True
2019-01-31,91,300547,川环科技,汽车,0.393,0.9304,13.1,0.3002,False
2019-01-31,92,600872,中炬高新,食品饮料,0.3869,0.0835,245.5,0.2034,False
2019-01-31,93,603321,梅轮电梯,机械设备,0.3845,0.8772,10.2,0.0535,False
2019-01-31,94,300632,光莆股份,电子,0.3816,1.0001,6.9,0.5839,True
2019-01-31,95,600386,北巴传媒,传媒,0.3811,0.2697,30.3,0.4896,False
2019-01-31,96,603606,东方电缆,电力设备,0.377,0.5363,48.3,0.4745,False
2019-01-31,97,601901,方正证券,非银金融,0.3689,1.1518,502.9,0.3644,False
2019-01-31,98,300322,硕贝德,电子,0.3682,0.3474,38.3,0.7289,True
2019-01-31,99,002439,启明星辰,计算机,0.3637,0.1284,137.8,0.4409,False
2019-01-31,100,002404,嘉欣丝绸,纺织服饰,0.3628,0.1181,24.4,0.1387,False
2019-02-28,1,002157,正邦科技,农林牧渔,2.2515,0.6367,244.4,1.0214,True
2019-02-28,2,002733,雄韬股份,电力设备,2.1032,0.5953,76.9,0.4876,False
2019-02-28,3,002458,益生股份,农林牧渔,1.9888,0.5423,70.4,0.4739,False
2019-02-28,4,603000,人民网,传媒,1.8654,0.8595,192.8,0.8011,True
2019-02-28,5,600218,全柴动力,机械设备,1.6701,1.3021,41.9,1.0342,True
2019-02-28,6,002234,民和股份,农林牧渔,1.6534,0.5402,45.1,0.6615,True
2019-02-28,7,300033,同花顺,计算机,1.6282,0.9561,200.3,0.7397,True
2019-02-28,8,000859,国风新材,基础化工,1.5837,1.6336,49.9,0.3449,False
2019-02-28,9,002565,顺灏股份,轻工制造,1.5556,1.8357,62.5,1.4181,True
2019-02-28,10,600446,金证股份,计算机,1.3455,0.7945,161.8,0.6208,True
2019-02-28,11,300559,佳发教育,计算机,1.2866,0.597,35.4,0.1166,False
2019-02-28,12,000862,银星能源,公用事业,1.2535,1.6296,32.0,0.3969,False
2019-02-28,13,002746,仙坛股份,农林牧渔,1.2418,0.6724,54.9,0.299,False
2019-02-28,14,002299,圣农发展,农林牧渔,1.0864,0.5209,292.6,0.2702,False
