代码,名称,日期,样本类型,他_收盘,我_收盘,他_rec250,我_rec250,他_r120,我_r120,他_mfrac,我_mfrac,他_gap_hi,我_gap_hi,他_rps60,我_rps60,他_rps250,我_rps250,他_dep,我_dep,他_shr,我_shr,他_cnv,我_cnv,他_平台信号,我_三条全中,我_突破买点,补_相对MA250,补_距一年高点天数,补_行业
300308,中际旭创,2021-01-29,月末观察,36.44768358868288,36.45,0.09516657564172593,0.09525240384615397,-0.14378736122971825,-0.14376321353065535,0.49166666666666664,0.49166666666666664,-0.28424402867426146,-0.28417124901806756,73.98796844482422,74.42282749675746,50.672245025634766,51.98759515083169,0.3592317149234513,0.35916457,0.8209094803904812,0.8209095,0.585721114598888,0.58589256,无平台信号,False,False,-0.09515629344242771,231.0,通信
300476,胜宏科技,2021-01-29,月末观察,20.354676844783718,20.35,0.2078403250866503,0.20771513353115734,-0.07045621780721112,-0.07077625570776247,0.5083333333333333,0.5083333333333333,-0.23745567041424576,-0.23754215061820905,80.44310760498047,80.75226977950713,59.96414566040039,61.06568931491401,,,,,,,无平台信号,False,False,-0.04555269768550052,231.0,电子
300750,宁德时代,2021-01-29,月末观察,181.58375481141863,182.24,2.29956356207633,2.299655984066631,0.6833901838165621,0.6833548863846295,0.6833333333333333,0.6833333333333333,-0.1430810784739306,-0.14308553157474013,95.02188110351562,95.1491569390402,98.44637298583984,98.50577953199887,,,,,,,无平台信号,False,False,0.7234941839637117,16.0,电力设备
600066,宇通客车,2021-01-29,月末观察,9.69120716115211,9.69,0.2753104696109878,0.2749999999999999,-0.054913911321042175,-0.05463414634146346,0.5416666666666666,0.5416666666666666,-0.2533464946070878,-0.25346687211094,20.89715576171875,21.828793774319067,52.58440399169922,53.76374400902171,0.24408833396320395,0.24426877,1.334519539724656,1.3345195,0.8284108112381241,0.82832044,无平台信号,False,False,-0.026326366559485614,42.0,汽车
300308,中际旭创,2021-02-26,月末观察,32.29595268577884,32.3,0.0,0.0,-0.22558384484073635,-0.22541966426858528,0.44166666666666665,0.44166666666666665,-0.36577530563074445,-0.36567164179104483,60.86483383178711,61.44702842377261,11.977468490600586,13.180033651149747,0.3715740041016157,0.37146205,0.8133956796036206,0.8133957,0.5851388780099032,0.5852892,无平台信号,False,False,-0.18981992430961625,246.0,通信
300476,胜宏科技,2021-02-26,月末观察,21.202620536813594,21.2,0.2581570455360347,0.25816023738872396,-0.034662998624484076,-0.03460837887067403,0.4583333333333333,0.4583333333333333,-0.20568927789934355,-0.20569501686024738,71.58009338378906,71.91214470284237,32.46368408203125,34.127874369040946,0.2669112374849132,0.2670035,0.8800207555977767,0.88002074,1.0961305992154813,1.0967435,无平台信号,False,False,-0.004231078511682584,246.0,电子
300750,宁德时代,2021-02-26,月末观察,165.23595328490165,165.84,2.002507196582784,2.002715915263444,0.6575588250371662,0.6575712143928036,0.7166666666666667,0.7166666666666667,-0.2202286210389235,-0.22020031033996323,95.53984069824219,95.52971576227391,94.9896240234375,95.14862591138531,,,,,,,无平台信号,False,False,0.47184850113565946,31.0,电力设备
600066,宇通客车,2021-02-26,月末观察,10.553206804980121,10.55,0.38874496257915947,0.38815789473684226,0.0960324543610549,0.0955347871235721,0.5083333333333333,0.5083333333333333,-0.18693422573189522,-0.18721109399075497,56.86701202392578,57.57105943152455,66.52831268310547,67.41446999439148,0.3204132719342623,0.32094863,1.6478833666396928,1.6478834,0.9869388526747939,0.9870159,无平台信号,False,False,0.05551086725975374,57.0,汽车
300308,中际旭创,2021-03-31,月末观察,24.79526993087888,24.8,0.024149149149148785,0.02437009500206533,-0.29378774805867147,-0.2936485331814298,0.38333333333333336,0.38333333333333336,-0.5005034632166724,-0.500402900886382,2.2037086486816406,2.476384988511616,4.494381904602051,5.532271584241409,0.5469577812283744,0.54694515,0.8498314767922878,0.84983146,0.570241463176938,0.5703592,无平台信号,False,False,-0.3523031889665892,175.0,通信
300476,胜宏科技,2021-03-31,月末观察,22.354696051875564,22.36,0.3265208557427992,0.3270029673590502,0.16831578947368397,0.16884474647151082,0.55,0.55,-0.12406282061400042,-0.12382445141065834,77.88228607177734,78.04442175134031,60.408042907714844,61.721151159541776,0.2669112374849132,0.2670035,0.8113289139566014,0.8113289,1.0762810275832009,1.0772954,无平台信号,False,False,0.053049983139897394,175.0,电子
