state,H,n,stat_pp,p,Z2,mono,ident_err,viol,q1_med,q2_med,q3_med,q4_med,q5_med,q1_n,q2_n,q3_n,q4_n,q5_n
dd250,250,2299,12.38203288943306,0.407568508046977,False,False,0.0,0,0.1103290441792304,-0.040306983238863725,0.08864063698745073,0.19768149754261843,-0.013491284715100194,244,561,624,575,295
dd250,500,2049,17.91317500467806,0.5324548560273304,False,False,0.0,0,0.2197323122545065,-0.001839420556807081,0.07103877814716342,0.1001239643922951,0.0406005622077259,244,537,544,439,285
dd250,750,1799,14.732164888119847,0.5675375208449138,False,False,0.0,0,0.30339250666847073,0.10354080771287832,0.22520158378570876,0.11545338414657891,0.15607085778727225,236,466,406,406,285
breadth,250,2547,10.580853997130536,0.5539850804868472,False,False,0.0,0,0.13480931957438136,0.0633062275881967,0.07189433504433085,-0.03795984066377334,0.02900077960307601,389,704,584,557,313
breadth,500,2297,37.88966638854626,0.05267740531127558,False,True,0.0,0,0.31655578370150317,0.09919184032860873,0.08874960593590042,-0.010863797809189557,-0.062340880183959446,336,685,570,477,229
breadth,750,2047,29.960626235358735,0.14020517830972154,False,True,0.0,0,0.3122298466674287,0.25369498849674543,0.12887657317517953,0.01862170070335234,0.012623584313841363,288,587,491,452,229
bp_med,250,2474,-27.420060408715578,0.20412287793047695,False,False,0.0,0,-0.053410220171614065,0.15229338386716296,-0.0855750264129187,-0.03890245343873644,0.22079038391554173,186,293,483,886,626
bp_med,500,2224,-39.86665685631646,0.14073741007194246,False,False,0.0,0,0.007431946348275598,0.14837077759612471,-0.13057038781051233,0.05754703377164039,0.4060985149114402,186,293,449,775,521
bp_med,750,1974,-32.662657738534456,0.4452887537993921,False,False,0.0,0,-0.08997542119563123,0.21780197886048858,-0.08987702950349136,0.10177133589019371,0.23665115618971333,186,293,428,664,403
