factor,n_reb,train_cagr,train_mdd,train_sharpe,train_total,train_ctrl,train_p,holdout_cagr,holdout_mdd,holdout_sharpe,holdout_total,holdout_ctrl,holdout_p,N2,liq_cagr,liq_ctrl,liq_p,N3,x2_cagr,x2_ctrl,x2_p,N4
BM_FF1993,153,0.17181932487384421,-0.34871962009775814,0.7990244408164603,2.5522881430595556,0.0950716728960157,0.007984031936127744,-0.01164851481889051,-0.3107364177311983,0.05615392518401853,-0.05191911592966836,-0.020938692499159584,0.37924151696606784,False,,,,,,,,
EP_Basu1977,152,0.1409485035072806,-0.3564412609781876,0.7124444821727423,1.8695564507507982,0.08355291429918554,0.021956087824351298,0.04190318878323063,-0.25826294283904827,0.3312165576071626,0.2053689827689369,-0.025690297420708275,0.021956087824351298,False,,,,,,,,
CFP_LSV1994,152,0.16829873119417837,-0.4111175196238043,0.8066736883254592,2.467858234494368,0.0699951100322398,0.001996007984031936,0.11573865827444996,-0.2306801372318874,0.6385036856110079,0.6459776637217121,-0.008103092925598354,0.001996007984031936,True,0.11573865827444996,-0.013089780633317116,0.004975124378109453,True,0.0972282105332889,-0.062459684663150994,0.004975124378109453,True
SP_BMR1996,152,0.22561321706610693,-0.533449833151598,0.9296707082303486,4.085617455520795,0.06359548739648369,0.001996007984031936,0.08668699374368116,-0.2963895464174009,0.5033195616777061,0.4597767928354346,-0.00949949183844967,0.005988023952095809,True,0.08668699374368116,-0.008346544425880342,0.004975124378109453,True,0.07891025592607281,-0.06410863402008954,0.004975124378109453,True
ROE_HB1996,153,0.12953969606570115,-0.41014498100958385,0.629036162706766,1.6480264128246689,0.05976400012391836,0.017964071856287425,0.012765680743332508,-0.306603447811307,0.16343976723797246,0.05941846512041438,-0.029784240241490234,0.09780439121756487,False,,,,,,,,
ACCRUAL_Sloan1996v,152,0.13120933378305866,-0.620515608673831,0.6182938740516374,1.6794808270498134,0.07230331777456145,0.031936127744510975,0.06766481637700883,-0.35083431039909296,0.4012608407866021,0.3470623429084947,-0.006228330182708963,0.033932135728542916,False,,,,,,,,
R08,152,0.1531951194151575,-0.3480325755398931,0.7786298581001472,2.1252402161894874,0.07110567105321974,0.003992015968063872,0.09976036104761343,-0.22667786663932887,0.66928333167306,0.5414125950189255,-0.015700476488285264,0.001996007984031936,True,0.09976036104761343,-0.013401803376757226,0.004975124378109453,True,0.08748154714016354,-0.05572046205657133,0.004975124378109453,True
R09,146,0.08748210146510793,-0.4983244950195185,0.46135041731477544,0.9551383995243767,0.021298266157510848,0.017964071856287425,0.06629231759794396,-0.22223079176379534,0.49197709998093925,0.3392006798911955,-0.02510678291145252,0.005988023952095809,True,0.06629231759794396,-0.028291319364059375,0.004975124378109453,True,0.050959380601833804,-0.07496153210754442,0.004975124378109453,True
