对比,可比只数,中位绝对差,绝对差<0.05占比,绝对差<0.10占比,最大绝对差,Spearman_ρ,我有值,他有值
R09 核心质量分,275,0.0034970810554299514,0.9927272727272727,0.9963636363636363,0.2504250089319036,0.9921877614610081,286.0,341.0
R08(我用真实不复权价)vs 他,291,0.005600852100047848,0.9896907216494846,0.9965635738831615,0.38151553187360565,0.9937871623431329,302.0,364.0
R08(我改用前复权价)vs 他,291,0.0010276237197175409,0.9896907216494846,0.9965635738831615,0.37539951751715755,0.9938567998870217,302.0,364.0
价格口径影响(我真实 vs 我前复权),302,0.00643055054906988,,,,0.9998936946784821,,
