代码,名称,距低点,换手加速,流通市值亿,在用户池内
000155,,0.25306122448979584,0.08608391262703297,226.78596085319515,False
000301,,0.406720741599073,0.2965078526492706,799.3016438129885,False
000415,,0.3511904761904763,0.03335474881866185,244.7546555616361,False
000506,,0.5732620320855617,0.4131743249272193,136.83046255682706,False
000526,,0.45162601626016263,0.48853133665689263,43.136131753872846,False
000596,,0.278058783321941,0.5993726215837885,380.998090382101,False
000676,,0.49704142011834307,1.103367710167991,95.59574517535225,False
000807,,0.6972901520158623,0.1506705404987676,890.0002588164534,False
000892,,0.26755852842809347,0.6189793672770845,27.023710835354265,False
000938,,0.4085106382978725,0.5899872562445219,958.1005362489403,False
000975,,0.3605482717520856,0.18341036235395358,576.6570994110606,False
000977,,0.33544539694371966,0.413423830278947,1067.3871343248816,False
001208,,0.3195319531953196,0.3101571319475549,47.09247022313075,False
001229,魅视科技,0.572134831460674,0.421358719216101,25.982569235926647,True
001230,劲旅环境,0.24745762711864394,0.455549831911674,20.249431844915968,True
001258,立新能源,0.9614791987673343,0.5643675575835128,118.37981268971262,True
001309,德明利,3.1641808853358784,0.17379987773269856,575.95384146,True
001317,,0.3850294796206102,0.32760860471689024,46.22624958601682,False
001328,登康口腔,0.23285486443381198,0.22562821152259627,50.033331652647085,True
001337,四川黄金,0.70993031358885,0.18551366258449686,164.87708637296578,True
001358,兴欣新材,0.24504321301474308,0.4142443604406203,12.20372340124716,True
001359,平安电工,1.0313989346790016,0.09539598976141184,44.275968335739975,True
001389,广合科技,1.283254831898652,0.04675827196841187,214.39540214196805,True
001395,亚联机械,0.2603092783505154,1.2596420968755448,15.135101362316759,True
002142,,0.2823669579030976,0.17867958217127455,2123.583470328458,False
002353,,2.4058348528262568,0.1055094816557669,916.1895474248648,False
002371,,0.9647671568627452,0.08286528424929251,4717.204525752438,False
002379,,0.3208480565371026,0.5353969864833277,210.55631433696178,False
002384,,2.1638165565487757,0.16733554360776726,2297.9577854361787,False
002409,,1.2267034990791896,0.07632846406706872,391.18639681121317,False
002415,,0.3977900552486189,0.27286983728044856,3448.8446984498974,False
002422,,0.4537460429124165,0.5195792966367605,535.627639783641,False
002532,,0.48059360730593625,0.24287505205935878,532.5196117948616,False
002558,,0.24104095563139927,0.5614127024478712,559.0716006864988,False
002727,,0.22940563086548482,0.2451507267352493,46.254026799933854,False
002737,,0.23619909502262426,0.40553764569380113,79.61830469901635,False
002745,,0.24276729559748444,0.058114452276409434,105.21208393355904,False
002746,,0.23658051689860815,0.2287784123008576,44.13667093997785,False
002768,,1.139554434636402,0.24167731489973265,128.99125599447936,False
002772,,0.36793692509855447,0.3612830446280826,38.48931542478251,False
002774,,0.646370023419204,0.3763552437493969,39.76790922954512,False
002775,,0.2730263157894737,0.08158039522053806,22.39223027792083,False
002788,,0.37094682230869,0.20080794374003874,40.37389382619941,False
002821,,0.6558097599459032,0.27980580489456663,471.7593400741588,False
002827,,0.6878048780487804,0.27301945442027287,105.12764063589948,False
002829,,0.24813895781637707,0.5109077611391604,29.212221571518015,False
002832,,0.7748436414176509,0.1068423834489487,97.89921636102808,False
002841,,0.4464851171627613,0.9826099819701417,239.62036335097164,False
002860,,0.30445752733389386,0.3688726377553089,53.300734857386054,False
002867,,0.23062381852551983,0.14279898697488136,140.3640466172325,False
002879,,0.45012165450121655,0.8949831624395268,24.2279451440156,False
002882,,0.4515738498789348,0.3465632235973608,59.34315064043417,False
002891,,0.2442129629629628,0.47658498194362364,103.76870865097935,False
002911,,0.2349841938883035,0.19543265074123228,148.48691049963332,False
002921,,0.4446022727272727,0.02407776807189932,26.31246113647934,False
002946,,0.28199566160520617,0.3166516329432918,150.95960070507988,False
002955,,0.35097613882863343,0.13518680825333096,61.255721311750165,False
002956,,0.32629992464204993,0.40526222623738195,54.89190392222889,False
002958,,0.23193916349809895,0.42754567773352603,175.22015825162572,False
002987,,0.2452025586353943,0.19287131981468097,118.25970444215464,False
003001,,0.6441336441336443,0.5904698012060485,23.61078305325531,False
003013,,0.3681710213776723,0.32217810034605643,68.68314354121696,False
003033,,0.38323353293413165,0.1087351284687661,46.72388544382853,False
300071,,0.3088235294117647,0.8318258038936734,42.11284197444563,False
300163,,0.7678018575851393,0.037888546212433205,26.40401227797336,False
300164,,1.1359223300970873,0.7152749488874051,64.06036952449314,False
300209,,4.4853228962818,0.058758087238730106,212.8294225615898,False
300308,,3.8839222901672175,0.20709132310455503,10073.217453023248,False
300317,,0.3028571428571427,0.20463628305307036,38.06518193829193,False
300359,,0.25806451612903225,0.5038488211272463,27.16969346511116,False
300368,,0.24791086350974956,0.22834291728317413,47.70452284526466,False
300369,,0.42095238095238097,0.963556661011246,60.44052620413966,False
300407,,0.33951965065502177,0.668443953615204,31.77629842167353,False
300408,,2.462940461725395,0.10037706836019011,2130.477531555591,False
300414,,0.23289183222958054,0.33313544431477715,34.76980135080439,False
300418,,0.2440191387559809,0.33860507587417943,492.8740364017164,False
300427,,0.2591911764705881,0.21600479237630799,34.138415625929554,False
300444,,0.4979253112033195,0.22467667233142574,67.52138984261349,False
300454,,0.29842342342342354,0.41389789089228235,336.8589273847991,False
300469,,0.2708133971291866,0.13381729633320583,133.3869313796809,False
300483,,1.0163191296464187,0.07074919798373469,85.04503909195769,False
300492,,0.26875000000000004,0.21084170722688444,72.6930276165745,False
300502,,2.1968848868337796,0.0435316692987342,5012.243110810033,False
300515,,0.25444264943457173,0.5860671953981402,31.096548578524995,False
300525,,0.2461964038727522,0.11150930547599902,55.471215207433346,False
300529,,0.2559840425531916,0.2255705739297833,96.74660125079292,False
300530,,0.393793103448276,0.6730895418261609,34.9567098620065,False
300534,,0.823021582733813,1.6156355850603266,39.35511224064313,False
300540,,0.5056581298391902,0.09571650994769021,52.72399317800459,False
300558,,0.39746142359382786,0.06905163663543701,239.48943086800872,False
300587,,0.3157894736842106,0.19473789857408108,47.53935100955551,False
300591,,0.25673249551166966,0.30427257918199446,24.28566278628448,False
300592,,0.24950690335305703,0.21209483547667585,44.6696051249263,False
300605,,0.27315914489311166,0.4458303699287507,13.48205945493968,False
300621,,0.22931034482758617,0.058980088320030655,14.443048085096509,False
300628,,0.2752681182970427,0.14613707121250208,284.2525434859334,False
300640,,0.23207547169811327,0.22258858292886208,14.907305792890398,False
300649,,0.4671307037896364,0.05937684231593021,20.606211471584373,False
300663,,0.646031746031746,0.695162675231138,47.854497505878356,False
300672,,0.5011021307861867,0.03581538310005605,262.5611196283922,False
300682,,0.23673036093418265,0.030525570107408972,120.23191420591778,False
300684,,0.5812826249067857,0.12853191321930324,88.90289386479283,False
300688,,0.658922914466737,0.48795813271706034,46.41813590563114,False
300740,,0.29382093316519553,0.4179665108763806,83.33493062013609,False
300745,,0.28016571724495076,0.08121966644060552,35.59043595999623,False
300746,,0.42464358452138495,0.1343619620926646,30.899328406500903,False
300750,,0.52832674571805,0.05547246178754861,16862.606166435624,False
300753,,0.2444933920704846,0.6658187372923043,20.048259436419624,False
300759,,0.6714550509731234,0.5768962788738481,514.4220944110488,False
300765,,0.5634954799827809,0.3312648116505992,511.0322417686763,False
300779,,0.7460283838169881,0.22066707057531643,188.972313844592,False
300789,,0.23572867696440558,0.38027584639721823,25.929547138699995,False
300795,,0.7683686176836861,1.10131071353024,24.703829076657506,False
300798,,0.3311036789297659,0.1805921089930156,32.18734668091781,False
300804,广康生化,0.2964858410098943,0.02458514320803462,10.418724305904616,True
300821,,0.6651270207852193,0.16823212868192217,175.85282787224446,False
300850,,0.3882882882882883,0.1410597300977927,95.01547350057852,False
300854,,0.5252707581227436,0.04381321643286751,19.19572263708504,False
300868,,1.4797145003756573,0.11567239265335427,55.178348755350704,False
300870,,0.8689293899377935,0.08010946943487185,266.0031707299766,False
300875,,0.2524953789279114,0.4895034136770633,29.514641441853165,False
300878,,0.4658291457286434,0.026733224495858465,42.66830818885384,False
300896,,0.2391812865497076,0.513911719471696,217.0173804024733,False
300929,,0.25990338164251203,0.4706990455494433,16.358212910296036,False
300935,,0.3048897411313518,0.08125348676325217,16.411830380942305,False
300937,,0.27687467226009455,0.9883768390097427,15.79926894608089,False
300951,,0.6419558359621451,0.09050636229197173,81.08037241433532,False
300966,,0.31367292225201093,0.06677740652388664,18.734459129570734,False
300972,,0.429335370511841,0.13016615913862584,373.5555500050735,False
300981,,0.5463157894736841,0.26728407187940917,57.710677912147176,False
300985,,0.62877030162413,0.12352893984953095,52.90237899050902,False
300989,,0.24872057318321383,0.045551491382580744,19.809615948092294,False
300997,,0.3011070110701106,0.10711542814513719,69.67570484333024,False
301008,,0.44040762073548945,0.1430088555537985,37.65193616185186,False
301033,,0.31067316209034557,0.23356870455273326,33.26433761298736,False
301035,,0.23279263480929435,0.031548190198518844,203.59427813847327,False
301039,,0.3117283950617282,0.21232481755348465,123.167542284854,False
301045,,1.1090448013524936,0.09339893027939339,36.19944201394679,False
301080,,0.25383115073836726,0.39051549559959775,57.42937812842474,False
301082,,0.34430379746835427,0.1417539293440604,28.740238841503903,False
301086,,1.791769041769042,0.16055531095688735,63.94245684214047,False
301087,,0.5584642233856891,0.1292442675603398,103.87518249269478,False
301092,,0.2523013978861235,0.2617978552576916,22.616096153526463,False
301108,,0.6229205175600738,0.5002631027930011,22.56836585958745,False
301122,,0.41290934978642624,0.37738002048144503,22.7899006638222,False
301165,锐捷网络,1.4888372093023254,0.5359243033940941,1196.7051135488268,True
301176,逸豪新材,0.6362076362076363,0.05036753640087732,63.64405682319106,True
301191,,0.3720465890183027,0.23365391666796964,61.26705012365982,False
301273,瑞晨环保,0.9971862689926845,0.2594794205820532,27.32057073269797,True
301295,美硕科技,0.562348178137652,0.47919742773756835,11.283556884249558,True
301307,美利信,0.767306088407006,0.08927034848864346,46.852405933640576,True
301310,鑫宏业,0.9060883406287306,0.0348701442884658,30.04365966685255,True
301321,翰博高新,0.9350563286944997,0.09661946452508086,43.876350843184674,True
301345,涛涛车业,0.8603084294055994,0.24900801849672072,86.64112166255224,True
301357,北方长龙,0.2888732394366198,0.5606822241280875,86.59807436183699,True
301369,联动科技,1.9144912093766648,0.08393985594184672,62.22239837511956,True
301520,万邦医药,0.776220806794055,1.2939907271062059,12.961702227020893,True
301535,浙江华远,0.34182415776499586,0.3694776501306376,27.69824144989138,True
301536,星宸科技,0.9446308724832215,0.4800136010474283,197.8781780982675,True
301571,国科天成,0.3297246410920216,0.20493161757123013,67.55804009104034,True
301633,港迪技术,0.28022727272727277,0.564177959374915,14.3491581675279,True
600176,,1.8148760330578515,0.18719985147037765,1386.4357872886649,False
600227,,0.4112554112554112,0.48640441608638985,40.50828322106952,False
600309,,0.2653335573853133,0.08531090858062118,2355.818884771615,False
600415,,0.28893442622950816,0.08481589860104055,688.9739064191276,False
600436,,0.2935281446099094,0.6804289755264379,842.1251605392185,False
600489,,0.5740223463687151,0.06833459227088046,1092.566897691108,False
600588,,0.28,0.20986946715976096,382.9585388561296,False
600671,,0.48352435530085947,0.602860924105064,25.40558458416565,False
600733,,0.3237250554323725,0.17663631458131124,359.17735812179194,False
600809,,0.23737626237376253,0.14172200258507517,1587.309203226888,False
600901,,0.24084778420038533,0.04029521880538578,371.936241069586,False
600919,,0.2331223628691983,0.03449921646709786,2146.321902055402,False
600938,,0.30479311757476446,0.22848540125261096,945.7667985929966,False
600989,,0.5334672021419009,0.1486551730674941,1679.3692837202223,False
601061,中信金属,0.5143603133159269,0.0241819022821661,566.9174045030687,True
601069,,0.35839999999999983,0.297407679172071,226.21934212330203,False
601156,,0.278688524590164,0.09598335601498276,161.63061725626667,False
601187,,0.2948929159802307,0.06361698021279993,205.93541526657256,False
601212,,0.6095238095238096,0.0532771693491616,376.5129644213414,False
601598,,0.3306451612903225,0.07432560682602496,339.1999657639873,False
601606,,0.3014676715589053,0.6277708922789489,237.14958623425923,False
601665,,0.23300970873786397,0.09072182080127567,389.89071764601294,False
601857,,0.40943877551020424,0.13496128155219278,17805.447345636803,False
601858,,0.3179890975166566,0.14728923704912522,171.8060684824441,False
