code,n_big,n_small,ca_factor_首,ca_factor_末,qfq_factor_首,qfq_factor_末,ca_累计倍数,qfq_累计倍数
000001,2,26,1.1243755227865286,1.0013081974754336,0.26165614408000853,1.0013081974754336,0.8905460650672131,3.8268094219459883
000002,0,26,1.1495584304633821,0.9992489235142735,0.6323031558312816,0.999248923514274,0.8692458747934027,1.5803320200111497
000004,0,47,1.0008454192915532,0.9990447884600003,1.0008454192915532,0.9990447884600003,0.9982008901706045,0.9982008901706045
000005,0,16,1.000433000215729,1.0,1.000433000215729,1.0,0.9995671871923102,0.9995671871923102
000006,2,37,1.0516813642133895,0.9982758476952536,0.7196962017806364,0.998275847695254,0.9492189190229867,1.3870794999686948
000007,0,25,1.0018835918927138,0.996513735709871,0.6679223945951426,0.996513735709871,0.9946402394187349,1.4919603591281023
000008,4,17,1.0004368663017678,1.0005120954891098,0.11298075466304817,1.0005120954891096,1.0000751963365966,8.855597561487524
000009,0,54,1.0134347068361393,1.000289860341749,0.42985453130105966,1.000289860341749,0.9870294095853225,2.3270427260918423
000011,0,39,1.0709631769133905,0.9989719042771043,0.7198397880017836,0.9989719042771043,0.9327789468506551,1.3877697800647677
000012,0,42,1.143592952442204,1.0031535037715504,0.5144993857325367,1.0031535037715495,0.8771945486628459,1.9497661835752713
000014,0,50,1.0071727701806827,0.9999379571335568,0.7879508582583602,0.9999379571335567,0.9928167110337702,1.269035938794153
000017,0,44,1.0015476084869366,1.000551411043825,1.0015476084869366,1.000551411043825,0.9990053418982083,0.9990053418982083
000018,2,33,0.9782036789435953,1.0,0.25207175046978153,1.0,1.0222819863854362,3.967124432374188
000019,2,39,1.0729287552507552,1.002318018694488,0.40014178040180143,1.0023180186944882,0.9341887928618665,2.5049071798701275
000020,0,42,1.0014165896805696,0.9994976549719475,1.0014165896805696,0.9994976549719475,0.9980837797891543,0.9980837797891543
000021,0,60,1.0065691916543589,0.9649110148486159,0.9025085073580477,0.9649110148486161,0.9586136977456311,1.0691434008453193
000023,0,35,0.9753233147132525,1.0,0.9532300380379742,1.0,1.0253010308627786,1.0490647169053673
000024,0,8,1.0227692296839084,1.0016996090924695,0.6346069716852504,1.0016996090924695,0.9793994383288686,1.5784566728480383
000025,2,41,1.0011964135610183,1.0040125310504409,0.6754935169384632,1.0040125310504406,1.0028127522744577,1.4863392554837878
000026,0,43,1.0492076282834852,0.9950857744592227,0.7558831492815249,0.9950857744592227,0.9484164503142182,1.3164545014729625
000027,1,30,1.1642028119430674,1.0015044528636465,0.41281533171021084,1.001504452863647,0.8602491272050138,2.4260350232502645
000028,0,29,1.0802561868001348,1.0013488777578894,0.5922115182462256,1.0013488777578894,0.9269550038162896,1.6908635629433257
000029,0,38,1.0030455543470664,0.9962262152231747,0.9338531816162655,0.9962262152231747,0.9932013664839671,1.0667910489944008
000030,0,33,1.1825680493760335,0.9997658317769714,0.4757008695297353,0.9997658317769714,0.8454192824713003,2.101669128259766
000031,0,38,1.0036358022345069,1.000033337522818,0.9188679288258172,1.000033337522818,0.9964105856888842,1.0883319638772448
000032,2,51,1.0090822878900505,0.9806410648078177,0.7789371106584899,0.9806410648078177,0.9718147633512602,1.2589476754789783
000033,0,3,1.0011060090810109,1.0,0.767398013623905,1.0,0.9988952128236388,1.3031047543082268
000034,2,50,1.0471943383602174,0.9921014689079847,0.6528560427492475,0.9921014689079845,0.9473900235762336,1.519632819404011
000035,0,14,1.0025276303235022,0.9996990996500188,0.4850018760164523,0.9996990996500188,0.9971786007807378,2.061227284028293
000036,4,32,1.1862074395705327,0.9996122009645758,0.5428469500060925,0.9996122009645756,0.8426959464412787,1.8414254716791845
000037,0,43,1.0016287053592252,1.0028380480961512,0.9968043123806456,1.002838048096151,1.0012073762767135,1.0060530794666158
000038,2,33,0.9569679219620858,1.0016280102132347,0.5818691686356713,1.0016280102132347,1.0466683231759553,1.7213972903252228
000039,1,30,1.258935213449352,1.0001123022671357,0.42486836672741385,1.0001123022671354,0.7944112545131942,2.353934490276574
000040,0,33,0.9855646873826355,1.0000000000000002,0.9521899822322347,1.0,1.0146467429303911,1.0502105868155465
000042,0,43,1.0426460274788054,0.9981201036446717,0.4514729355730586,0.9981201036446717,0.9572952635308067,2.210808278856736
000045,1,45,1.0017772436653851,1.002583504897969,0.9674733028238286,1.002583504897969,1.0008048308520503,1.0362906159494654
000046,1,46,0.9551078968351202,1.0,0.7871232517293438,1.0,1.047002127522593,1.270449066017243
000048,3,26,1.0813311698407888,0.9923417650595628,0.57950670593313,0.9923417650595624,0.9177038383214936,1.7123904777972836
000049,1,47,0.9801524958292189,1.0007376677292124,0.3666931677715838,1.0007376677292121,1.0210020093685301,2.7290873015462886
000050,0,50,1.0043411636762074,0.9978116640188505,0.9542398682279258,0.9978116640188505,0.9934987234482585,1.0456612611164946
000055,0,27,1.0478310994807403,1.0000437877364499,0.5639459178736264,1.0000437877364496,0.9543940700290613,1.7732973252242739
000058,0,54,1.0019989815666754,0.9997931612554882,0.9604212703091002,0.9997931612554884,0.9977985802862411,1.0409943971083824
000059,0,33,1.021346701585415,0.9991898497244306,0.8347653571677045,0.9991898497244306,0.9783062383942781,1.1969709106216457
000060,0,46,1.047827566563869,1.000891232550642,0.5537377383989273,1.0008912325506416,0.9552060515384752,1.8075185473986481
000061,0,34,1.0081720128159615,1.0021059715120137,0.8919289807064344,1.0021059715120137,0.9939831286458702,1.1235266407851394
000062,0,59,1.058344019886422,0.9915724313350888,0.5529986309850417,0.9915724313350885,0.9369093722866229,1.7930829766591414
000063,0,42,1.0114504588274995,0.9826763071358857,0.7386758908092745,0.982676307135886,0.9715515955917707,1.3303213484594587
000065,3,52,0.9538878994361231,1.0001711173512975,0.23030282026645724,1.0001711173512984,1.0485206049290845,4.342852233394771
000066,0,38,1.0014355512312048,0.9878094048202505,0.9707855682123464,0.9878094048202505,0.9863933865796938,1.017536145123431
000068,0,31,0.9993854199293161,0.9997563801815745,0.9993854199293161,0.9997563801815745,1.0003711883772375,1.0003711883772375
000069,0,25,1.0444474451480124,1.0011394860704395,0.7712970372633443,1.0011394860704395,0.958535051927447,1.2979947253818116
000070,2,56,1.023575318011653,0.9824918395628829,0.4068737574635929,0.9824918395628832,0.9598627695238131,2.414733861646992
000088,1,35,0.9442277978912015,1.0005747604477682,0.7674515998500336,1.0005747604477682,1.0596751786829508,1.3037626876317525
000089,0,18,1.0107554985953346,1.0006896807217442,0.8725843030841332,1.0006896807217442,0.9900412929857131,1.1468114624395889
000090,5,32,1.4116790439794744,1.0020056248693374,0.25512834460274636,1.0020056248693374,0.7097970527668372,3.927457086077731
000096,1,36,1.0132160320712122,1.0006128822443074,0.8988660840166509,1.0006128822443074,0.9875612412082135,1.1131946126757761
000099,0,43,1.0057541147379412,1.000235055002301,0.9218961577757797,1.000235055002301,0.9945125158776226,1.0849758365579114
000100,0,35,1.0777281850522218,0.9974756143008225,0.6938346605671322,0.9974756143008225,0.9255354254769624,1.437627248955101
000150,0,40,0.9655650121726143,1.0,0.4810810035877279,1.0,1.0356630443245904,2.0786520202260372
000151,0,56,1.0115701932887606,1.0004978060579681,0.8728187220965454,1.0004978060579681,0.9890542571299036,1.146283621935529
000153,0,35,1.0427827349399323,1.0004383663452592,0.6368475694030462,1.0004383663452594,0.9593929136186625,1.5709227991291979
000155,0,40,1.0022656608616434,0.9996627284365073,0.9712586791881609,0.9996627284365073,0.9974029516057665,1.02924457701844
000156,3,38,1.0617287348818383,0.9996117162076515,0.8034179413548639,0.9996117162076514,0.9414944546253616,1.2441988966812607
000157,0,28,1.214360203033394,1.001576191121367,0.5856119280112567,1.0015761911213679,0.8247768566686341,1.7103070193988867
000158,0,55,1.0038555428396532,1.0005330866562883,0.75761740255392,1.0005330866562883,0.9966903044894622,1.3206310774851557
000159,0,56,1.0023289623931926,1.0041500170829598,0.9479655781485675,1.0041500170829598,1.0018168233764484,1.059268437830964
000166,0,22,1.020678359279492,0.9992604199266768,0.6341324081694384,0.9992604199266768,0.9790159758379375,1.575791438906679
000301,1,36,1.0159115049871714,1.0036967785592381,0.8586344380967476,1.0036967785592381,0.9879765842123349,1.168945402171425
000333,3,18,1.5089922706316963,1.0021379400470938,0.16877204294457146,1.0021379400470938,0.6641107178286457,5.937819573448065
000338,3,37,1.3769118907978433,0.9953973094358342,0.17064091947078283,0.9953973094358336,0.722920120080492,5.833286133964284
000400,2,50,1.0104757564334836,1.0004877411768245,0.4664482659994021,1.0004877411768247,0.9901155320223493,2.1449061216536007
000401,0,39,1.0423342140520337,1.0005569096765585,0.7756245163696428,1.0005569096765585,0.9599194732243629,1.2900016548725475
000402,0,34,1.0698549367274632,1.0009171502397087,0.720053701079441,1.0009171502397087,0.9355634262915816,1.390059031346165
000403,2,25,1.0119343503302294,1.0019730219631486,0.4110304721495455,1.0019730219631484,0.9901561515686961,2.437709828965186
000404,1,39,0.9519182520804077,1.0031184118226903,0.7061804878007606,1.0031184118226903,1.0537862990129512,1.4204844641724323
000407,0,31,1.0039685503163287,1.0015465013430116,0.9204326399819438,1.0015465013430114,0.9975875250548895,1.0881257984969532
000408,0,38,1.0338043717138026,0.9976503063151531,0.8025565387718274,0.9976503063151531,0.9650281364754585,1.2430903719778827
000409,2,27,0.898252615946813,0.9998613384755772,0.898252615946813,0.9998613384755772,1.11311820386035,1.11311820386035
000410,1,34,1.001004691006917,0.9998640869747407,1.000467238823826,0.9998640869747407,0.9988605407722625,0.9993971298352614
000411,0,36,1.0250001431938245,1.0008073953365018,0.7199915227159814,1.0008073953365018,0.9763973224609122,1.3900266374820849
000413,0,37,0.9555003091513875,1.0,0.3021777912046937,1.0,1.0465721365261873,3.309310045630075
000415,0,22,1.028517916089874,1.0003417084196906,0.47967696202325993,1.0003417084196906,0.9726050395142349,2.0854487240752313
000416,0,41,0.9991219138374242,0.9999999999999996,0.9366523436843346,1.0,1.0008788578755148,1.0676319839936412
000417,0,36,1.0415992663315585,0.9979585647799241,0.7702129221696553,0.9979585647799251,0.9581022155427067,1.2956917964563883
000418,26,32,0.3621414884835151,0.9968594187623032,0.23353482379293883,0.9968594187623032,2.752679409743137,4.268568612474506
000419,0,33,1.040796212957465,1.0004871707359753,0.7797921104844757,1.0004871707359748,0.9612709561010507,1.2830178162669328
000420,1,27,1.001735538035059,1.0002813308801926,0.5008677690175297,1.0002813308801926,0.9985483123043444,1.9970966246086879
000421,0,38,1.020712545040129,0.9997494341899853,0.8367087517307056,0.9997494341899853,0.9794622776490715,1.1948595399797544
000422,0,38,1.005591328433707,1.0031392646577206,0.9162755635866634,1.0031392646577206,0.9975615702854104,1.094800848699968
000423,0,30,1.0630266541101376,1.0009381378859636,0.7303875589478447,1.0009381378859636,0.9415927004425412,1.3704205741508781
000425,2,22,1.116398145162416,0.9992593362593186,0.26571786018540783,0.9992593362593186,0.8950743429566914,3.760602827232138
000426,2,40,1.0099274026185951,0.994640101173417,0.4441335029216176,0.994640101173417,0.9848629699466116,2.2395070280229565
000428,0,33,1.002896287080119,1.0010147657589716,0.9925966488441925,1.0010147657589716,0.9981239123672246,1.008480904025398
