斜率,间距,n,胜率,中位,对照胜率,扣对照pp,最大年份占比
明显下行,张开,38483,0.603695138112933,0.0870827285921627,0.5920016630720059,1.1693475040927104,0.29706623703973184
明显下行,中等,34872,0.5443909153475568,0.034576703475060144,0.5314579031888047,1.2933012158752089,0.1922172516632255
明显下行,黏合,12118,0.5179072454200363,0.01501201819898701,0.5123370193101171,0.5570226109919196,0.2435220333388348
缓降,张开,11144,0.5126525484565686,0.01273522134198335,0.5170944005743001,-0.4441852117731515,0.22945082555635318
缓降,中等,39064,0.5430831456072087,0.03149415552707069,0.5221047511775547,2.097839442965399,0.2269864837190252
缓降,黏合,26370,0.5424345847554038,0.028350515463917647,0.5139552521805082,2.8479332574895655,0.18904057641259006
走平/上行,张开,5329,0.44830174516794896,-0.03930348258706484,0.47682492024770123,-2.8523175079752274,0.366672921748921
走平/上行,中等,21227,0.4893767371743534,-0.006809338521400643,0.4896358411457107,-0.025910397135725516,0.15725255570735383
走平/上行,黏合,22730,0.5095028596568412,0.007633587786259666,0.4983062032556093,1.1196656401231853,0.14742630884293884
