window,control,strat_cagr_free,ctrl_med_cagr_free,edge_pp_free,strat_vol,ctrl_vol,strat_turnover,ctrl_turnover
full,nbr,0.3324131097243346,0.2290085827331606,10.340452699117398,0.26153169497713286,0.3202075917787107,0.5141379310344827,0.9658620689655172
full,dec,0.3324131097243346,0.2591368376246167,7.327627209971787,0.26153169497713286,0.3289088818139744,0.5141379310344827,0.9389655172413791
oos,nbr,0.44312553988575254,0.2881323345482709,15.499320533748161,0.25764854956057814,0.3281466127282442,0.4514285714285714,0.9757142857142856
oos,dec,0.44312553988575254,0.3285245896826612,11.460095020309137,0.25764854956057814,0.33482474159109066,0.4514285714285714,0.9607142857142857
