样本类型,观察日期,股票代码,股票名称,收盘价,统一信号,信号类型,信号理由,首次触发日期,连续确认天数,触发状态,平台信号,周线多头排列,案例展示分层_质量,案例辅助标签_周线五态,距一年低点涨幅,近120日收益,MA20持续度,RPS50,RPS60,RPS250,距一年高点价格差,平台深度,平台缩量比,平台收敛比,R09核心质量分
当日观察,2026-08-28,688115,思林杰,64.45,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=99.1,2026-08-24,5,持续,无平台信号,True,缺失,多头趋势,1.4021617592247488,1.0121760849203874,0.5833333333333334,99.06076289055012,99.07993099482462,81.14849187935035,-0.112869924294563,,,,
当日观察,2026-08-28,688105,,21.13,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=97.8,2026-08-27,2,持续,无平台信号,True,缺失,多头趋势,0.6080669710806696,0.3919631093544136,0.55,97.757331799885,99.04159478627564,71.5583913379737,-0.17202194357366773,,,,
当日观察,2026-08-28,688485,九州一轨,83.0,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=94.5,2026-08-06,17,持续,无平台信号,True,缺失,多头趋势,5.439100077579519,2.2988871224165344,0.6333333333333333,94.49875407322216,99.00325857772665,99.88399071925754,-0.07767529725525057,,,,
当日观察,2026-08-28,600162,香江控股,5.36,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=98.9,2026-08-17,10,持续,无平台信号,True,缺失,多头趋势,2.1904761904761907,1.8510638297872344,0.6,98.88824995207975,98.96492236917769,98.31786542923435,0.0,,,,
当日观察,2026-08-28,688758,赛分科技,27.08,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=98.0,2026-08-07,16,持续,无平台信号,True,缺失,多头趋势,0.6914428482198622,0.45591397849462356,0.5583333333333333,97.98734905117884,98.92658616062872,85.63418406805879,-0.1027170311464547,,,,
当日观察,2026-08-28,600428,中远海特,11.47,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=98.9,2026-07-13,35,持续,无平台信号,True,高,多头趋势,0.8091482649842272,0.4266169154228858,0.6083333333333333,98.90741805635422,98.90741805635422,92.15003866976025,-0.05128205128205121,,,,0.7669284215878287
当日观察,2026-08-28,002742,冀衡医药,6.24,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=99.4,2026-08-25,4,持续,无平台信号,False,缺失,突破启动,0.914110429447853,0.3959731543624163,0.55,99.42495687176537,98.83074563925628,83.25599381283835,0.0,,,,
当日观察,2026-08-28,600988,赤峰黄金,49.09,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=99.3,2026-08-20,7,持续,无平台信号,True,高,多头趋势,1.0462692788661947,0.23933350164099987,0.55,99.252443933295,98.71573701360936,94.5475638051044,-0.006878413918672832,,,,0.7539224538527445
当日观察,2026-08-28,688710,益诺思,86.97,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=99.0,2026-08-21,6,持续,无平台信号,True,缺失,多头趋势,1.3154952076677313,0.6499715424018213,0.5833333333333334,98.96492236917769,98.60072838796243,94.21887084300077,-0.13116883116883116,,,,
当日观察,2026-08-28,002768,国恩股份,64.97,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=92.9,2026-05-27,67,持续,无平台信号,True,中,多头趋势,1.1294657489347752,0.7883292045141757,0.6833333333333333,92.86946520989075,98.56239217941346,94.06419180201084,-0.024181435866626577,,,,0.48273361872466003
当日观察,2026-08-28,000703,恒逸石化,19.49,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=99.2,2026-07-20,30,持续,无平台信号,True,中,多头趋势,2.2321724709784405,0.509682416731216,0.6166666666666667,99.17577151619706,98.54322407513897,98.2985305491106,-0.06298076923076934,,,,0.6164276829751248
当日观察,2026-08-28,002631,德尔未来,10.1,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=96.9,2026-08-20,7,持续,无平台信号,True,缺失,多头趋势,1.158119658119658,0.5756630265210607,0.6916666666666667,96.85643089898409,98.52405597086448,94.93426140757927,-0.12020905923344949,,,,
当日观察,2026-08-28,603519,立霸股份,17.24,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=95.5,2026-08-20,7,持续,无平台信号,True,中,多头趋势,0.5992578849721706,0.34582357533177177,0.6333333333333333,95.4954954954955,98.46655165804103,85.96287703016242,-0.020454545454545614,,,,0.6488825946202985
当日观察,2026-08-28,001229,魅视科技,40.08,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=98.7,2026-08-14,11,持续,无平台信号,True,中,多头趋势,0.8013483146067415,0.5096045197740111,0.6083333333333333,98.6582327007859,98.42821544949204,90.68058778035576,-0.20143454871488342,,,,0.3479216171436539
当日观察,2026-08-28,300404,博济医药,13.24,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=99.0,2026-08-20,7,持续,无平台信号,True,中,多头趋势,0.5971049457177324,0.30700888450148067,0.5916666666666667,98.98409047345218,98.35154303239409,78.88631090487239,-0.2477272727272728,,,,0.5516922261144585
当日观察,2026-08-28,603269,海鸥股份,22.18,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=96.7,2026-08-11,14,持续,无平台信号,True,中,多头趋势,1.8545688545688548,0.8467943380516236,0.6833333333333333,96.74142227333716,98.31320682384512,96.90641918020108,0.0,,,,0.38858844927912334
当日观察,2026-08-28,002774,快意电梯,16.38,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=97.5,2026-07-14,34,持续,无平台信号,True,中,多头趋势,0.918032786885246,0.4958904109589042,0.6583333333333333,97.46981023576768,98.17903009392371,87.62567672080434,-0.07142857142857151,,,,0.3179014583720582
当日观察,2026-08-28,603127,昭衍新药,47.54,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=97.5,2026-08-07,16,持续,无平台信号,True,中,多头趋势,0.7993943981831944,0.4293445580276609,0.6333333333333333,97.54648265286563,98.15986198964922,86.6202629543697,-0.11799628942486085,,,,0.6383737152365203
