样本类型,观察日期,股票代码,股票名称,收盘价,统一信号,信号类型,信号理由,首次触发日期,连续确认天数,触发状态,平台信号,周线多头排列,案例展示分层_质量,案例辅助标签_周线五态,距一年低点涨幅,近120日收益,MA20持续度,RPS50,RPS60,RPS250,距一年高点价格差,平台深度,平台缩量比,平台收敛比,R09核心质量分
当日观察,2026-08-28,301638,南网数字,22.51,0,无信号,RPS50=25.5,,0,未触发,平台观察,False,缺失,未知,,-0.2048746026139172,0.43333333333333335,25.493578685068048,26.85451408855664,,,0.32928032,0.356066,0.55133474,
当日观察,2026-08-28,301323,新莱福,68.48,0,无信号,反弹≥40%；120日收益≥10%；RPS50=4.8,,0,未触发,平台观察,False,缺失,回踩修复,0.47079037800687296,0.1780492000688112,0.5416666666666666,4.849530381445275,23.538432049070344,74.72931167826759,-0.36733185513673317,0.17520662,0.4991522,0.61507833,
当日观察,2026-08-28,603324,盛剑科技,26.59,0,无信号,MA20持续度≥55%；RPS50=2.4,,0,未触发,平台观察,False,缺失,回踩修复,0.16367614879649883,0.05851910828025475,0.625,2.376844930036419,23.3084147977765,54.71771075019335,-0.5191681735985534,0.19581562,0.44579992,0.48442906,
当日观察,2026-08-28,000690,宝新能源,4.9,0,无信号,RPS50=42.4,,0,未触发,平台观察,False,中,回踩修复,0.21588089330024807,0.06290672451193058,0.5333333333333333,42.38067855089132,22.46501820969906,71.75174013921114,-0.20840064620355414,0.2644628,0.49719688,0.6898404,0.6637153941830167
当日观察,2026-08-28,601330,绿色动力,7.1,0,无信号,RPS50=41.8,,0,未触发,平台观察,False,中,回踩修复,0.09737248840803714,-0.03137789904502053,0.475,41.76729921410772,20.24151811385854,68.50348027842227,-0.3444136657433057,0.29979035,0.27147692,0.40243122,0.6449897202305286
当日观察,2026-08-28,603057,紫燕食品,20.43,0,无信号,RPS50=27.2,,0,未触发,平台观察,False,中,弱势结构,0.20247204237786942,-0.39663319551092735,0.3416666666666667,27.19953996549741,20.22235000958405,54.253673627223506,-0.402456858730623,0.34611434,0.4743874,0.6350739,0.5783273893211477
当日观察,2026-08-28,601138,工业富联,64.04,0,无信号,反弹≥40%；120日收益≥10%；RPS50=22.2,,0,未触发,平台观察,False,中,回踩修复,0.4381315966763981,0.19232917520014903,0.5333333333333333,22.17749664558175,19.74314740272187,87.2583139984532,-0.20069895157264106,0.17218544,0.6785343,0.677433,0.5652489544729457
当日观察,2026-08-28,300259,新天科技,4.41,0,无信号,RPS50=16.4,,0,未触发,平台观察,False,中,回踩修复,0.19836956521739135,-0.10909090909090913,0.39166666666666666,16.43664941537282,19.60897067280046,77.88089713843775,-0.40963855421686746,0.20754717,0.66616917,0.50525796,0.38525283713742
当日观察,2026-08-28,603120,肯特催化,45.86,0,无信号,RPS50=34.8,,0,未触发,平台观察,False,缺失,回踩修复,0.302840909090909,0.03755656108597272,0.475,34.809277362468855,18.99559133601687,72.64114462490333,-0.24035116779857546,0.14035429,0.39365187,0.43688053,
当日观察,2026-08-28,600011,华能国际,6.78,0,无信号,RPS50=39.2,,0,未触发,平台观察,False,中,回踩修复,0.06436420722135017,-0.05963938973647709,0.45,39.21794134560092,18.382211999233274,58.546017014694506,-0.26702702702702696,0.11141305,0.40152547,0.3169572,0.5504117210258869
当日观察,2026-08-28,301588,美新科技,28.13,0,无信号,反弹≥40%；RPS50=6.0,,0,未触发,平台观察,False,缺失,回踩修复,0.603762827822121,0.0484532240029818,0.45,6.0187847421889975,18.113858539390453,87.04563031709203,-0.491871387283237,0.2987152,0.75792587,0.59456664,
当日观察,2026-08-28,600482,中国动力,31.81,0,无信号,反弹≥40%；RPS50=45.4,,0,未触发,平台观察,False,中,回踩修复,0.645628556647698,-0.1837310751860406,0.425,45.428407130534794,16.25455242476519,84.95746326372776,-0.24171632896305129,0.35198823,0.66095597,0.79817116,0.3463349209490567
当日观察,2026-08-28,600719,大连热电,7.22,0,无信号,RPS50=19.4,,0,未触发,平台观察,False,缺失,回踩修复,0.29159212880143115,0.058651026392961825,0.475,19.359785317232124,16.235384320490702,74.47795823665894,-0.33333333333333337,0.3326613,0.49777374,0.6351838,
当日观察,2026-08-28,001289,,15.3,0,无信号,RPS50=37.4,,0,未触发,平台观察,False,中,弱势结构,0.025469168900804418,-0.13216108905275092,0.5083333333333333,37.37780333525014,14.912785125551084,51.585460170146945,-0.2043681747269891,0.0967359,0.5592261,0.4359606,0.5923361430655831
当日观察,2026-08-28,300820,英杰电气,53.28,0,无信号,RPS50=9.8,,0,未触发,平台观察,False,中,回踩修复,0.26736441484300677,-0.009665427509293556,0.525,9.756565075714011,13.992716120375695,68.92884764114461,-0.4095090324725701,0.28668478,0.69973606,0.59117407,0.4726772964345742
当日观察,2026-08-28,300438,鹏辉能源,60.86,0,无信号,反弹≥40%；120日收益≥10%；RPS50=12.2,,0,未触发,平台观察,False,中,回踩修复,1.235034887991186,0.2866807610993658,0.5416666666666666,12.152578110024919,13.95437991182672,95.5723124516628,-0.33898120994895187,0.2777778,0.6573225,0.7674044,0.6494019226643806
当日观察,2026-08-28,300825,阿尔特,11.14,0,无信号,120日收益≥10%；MA20持续度≥55%；RPS50=4.2,,0,未触发,平台观察,False,缺失,回踩修复,0.3787128712871288,0.1738672286617493,0.5666666666666667,4.159478627563734,13.6860264519839,52.18484145398299,-0.358664363845711,0.17015927,0.48978475,0.55769515,
当日观察,2026-08-28,603211,晋拓股份,21.58,0,无信号,MA20持续度≥55%；RPS50=1.5,,0,未触发,平台观察,False,低,弱势结构,0.2875894988066823,0.018885741265344702,0.6416666666666667,1.514280237684493,13.456009200690053,65.5645784996133,-0.4529784537389101,0.29923716,0.7317789,0.6155898,0.2269373693530962
当日观察,2026-08-28,600703,三安光电,13.12,0,无信号,MA20持续度≥55%；RPS50=11.9,,0,未触发,平台观察,False,缺失,弱势结构,0.15087719298245594,-0.22687094873305835,0.55,11.922560858731071,11.845888441633122,59.5707656612529,-0.3984410820724439,0.29335073,0.53512233,0.61548966,
当日观察,2026-08-28,300721,怡达股份,23.03,0,无信号,反弹≥40%；120日收益≥10%；RPS50=20.9,,0,未触发,平台观察,False,缺失,回踩修复,0.8379888268156426,0.3790419161676648,0.5333333333333333,20.87406555491662,7.763082231167337,88.553750966744,-0.4422378299830467,0.14716382,0.42856342,0.34731784,
当日观察,2026-08-28,600777,新潮能源,4.1,0,无信号,RPS50=23.2,,0,未触发,平台观察,False,中,弱势结构,0.16809116809116809,-0.15113871635610776,0.4583333333333333,23.17423806785509,6.97718995591336,52.39752513534416,-0.3344155844155845,0.3378608,0.6959759,0.79823714,0.4593352737690911
当日观察,2026-08-28,002364,中恒电气,37.11,0,无信号,反弹≥40%；RPS50=6.1,,0,未触发,平台观察,False,中,回踩修复,0.7284583139264089,0.04270862601854453,0.5416666666666666,6.1337933678359216,4.562008817327967,90.40989945862336,-0.3714430894308943,0.30958232,0.7131344,0.78232545,0.3627747816020117
当日观察,2026-08-28,301458,钧崴电子,38.93,0,无信号,MA20持续度≥55%；RPS50=3.4,,0,未触发,平台观察,False,缺失,回踩修复,0.24695707879564388,0.03813333333333335,0.575,3.3735863523097565,3.8719570634464255,64.67517401392111,-0.4170410302485774,0.3044797,0.5661907,0.6279097,
当日观察,2026-08-28,300184,力源信息,12.26,0,无信号,120日收益≥10%；MA20持续度≥55%；RPS50=8.3,,0,未触发,平台观察,False,缺失,回踩修复,0.27442827442827444,0.12891344383057102,0.6333333333333333,8.318957255127469,3.5844354993291168,69.79891724671306,-0.3285870755750274,0.2955439,0.51560265,0.6145193,
当日观察,2026-08-28,300726,宏达电子,52.74,0,无信号,反弹≥40%；MA20持续度≥55%；RPS50=2.4,,0,未触发,平台观察,False,中,回踩修复,0.5705777248362123,0.06782749544442201,0.55,2.415181138585394,3.239409622388346,86.87161639597835,-0.4223439211391018,0.21148244,0.69135463,0.56830347,0.5350897949622525
当日观察,2026-08-28,603031,安孚科技,40.16,0,无信号,反弹≥40%；RPS50=18.4,,0,未触发,平台观察,False,高,回踩修复,0.6636288318144157,0.08687415426251666,0.475,18.401380103507766,2.8177113283496262,90.02320185614849,-0.3651596585520076,0.25044924,0.6820769,0.6730504,0.704864522730243
当日观察,2026-08-28,300323,华灿光电,11.81,0,无信号,反弹≥40%；RPS50=10.1,,0,未触发,平台观察,False,缺失,回踩修复,0.6178082191780823,-0.010887772194304812,0.5166666666666667,10.139927161203758,2.7027027027027026,86.5429234338747,-0.46657633242999097,0.24045801,0.4964286,0.48137462,
当日观察,2026-08-28,002008,大族激光,87.62,0,无信号,反弹≥40%；120日收益≥10%；RPS50=3.7,,0,未触发,平台观察,False,中,回踩修复,1.6819712274257728,0.26180875576036877,0.4666666666666667,3.6611079164270652,2.5301897642323175,97.09976798143852,-0.4265706806282723,0.26902074,0.7108315,0.6290615,0.6086001759799051
当日观察,2026-08-28,600246,万通发展,12.12,0,无信号,120日收益≥10%；RPS50=3.7,,0,未触发,平台观察,False,缺失,回踩修复,0.36949152542372876,0.11397058823529393,0.5083333333333333,3.6802760207015526,2.3193406172129576,81.28383604021656,-0.4170274170274171,0.25894135,0.5919391,0.53224236,
当日观察,2026-08-28,301502,华阳智能,51.86,0,无信号,120日收益≥10%；RPS50=2.1,,0,未触发,平台观察,False,中,回踩修复,0.30072736393278166,0.12202509736044997,0.5416666666666666,2.1084914701935977,2.2810044086639834,35.98221191028615,-0.4153984894600383,0.19945155,0.41380396,0.48124543,0.5475721110246177
当日观察,2026-08-28,001259,利仁科技,45.85,0,无信号,反弹≥40%；120日收益≥10%；RPS50=4.4,,0,未触发,平台观察,False,中,回踩修复,0.8547734627831716,0.31942446043165473,0.4083333333333333,4.351159670308607,2.261836304389496,91.56999226604795,-0.47814705212838604,0.134,0.31894138,0.39191207,0.44725567574415537
当日观察,2026-08-28,002208,合肥城建,10.81,0,无信号,反弹≥40%；RPS50=1.1,,0,未触发,平台观察,False,缺失,弱势结构,0.6656394453004624,-0.3166877370417194,0.425,1.130918152194748,2.0893233659191104,88.59242072699149,-0.5823029366306027,0.28183118,0.60319793,0.4255217,
当日观察,2026-08-28,000700,模塑科技,11.21,0,无信号,RPS50=9.5,,0,未触发,平台观察,False,中,回踩修复,0.29147465437788034,-0.1269470404984423,0.4,9.545715928694651,1.897642323174238,79.09899458623356,-0.37022471910112353,0.30111524,0.5392497,0.6417168,0.613347550132328
当日观察,2026-08-28,603890,春秋电子,18.16,0,无信号,反弹≥40%；120日收益≥10%；RPS50=7.7,,0,未触发,平台观察,False,中,回踩修复,0.517126148705096,0.2681564245810055,0.45,7.743914126892851,1.7059612804293653,84.20340293890179,-0.4157014157014156,0.2542373,0.64457124,0.662113,0.39890187487587525
当日观察,2026-08-28,300905,宝丽迪,37.02,0,无信号,RPS50=2.7,,0,未触发,平台观察,False,中,弱势结构,0.2553407934893186,0.09429500443393457,0.3333333333333333,2.72187080697719,1.4567759248610312,72.6798143851508,-0.5284677111196026,0.28952992,0.44297868,0.458005,0.4870951934408768
当日观察,2026-08-28,603931,格林达,35.87,0,无信号,反弹≥40%；120日收益≥10%；RPS50=3.2,,0,未触发,平台观察,False,中,回踩修复,0.40336463223787167,0.16536712150747235,0.4666666666666667,3.2010734138393713,1.2650948821161587,81.80587780355762,-0.45320121951219516,0.27820674,0.7190099,0.53195935,0.502640582445207
当日观察,2026-08-28,300745,欣锐科技,28.41,0,无信号,反弹≥40%；RPS50=2.9,,0,未触发,平台观察,False,缺失,回踩修复,0.42907444668008066,0.0931127356675645,0.5083333333333333,2.894383745447575,0.9967414222733373,83.83604021655066,-0.4927691483663631,0.23436011,0.7485071,0.4573246,
当日观察,2026-08-28,600726,华电能源,5.56,0,无信号,反弹≥40%；120日收益≥10%；RPS50=7.8,,0,未触发,平台观察,False,高,回踩修复,1.326359832635983,0.9716312056737588,0.5166666666666667,7.782250335441825,0.3833620854897451,95.59164733178655,-0.4648700673724736,0.27134988,0.65837437,0.5718801,0.703719114778422
当日观察,2026-08-28,300959,线上线下,91.67,0,无信号,反弹≥40%；120日收益≥10%；RPS50=1.1,,0,未触发,平台观察,False,缺失,弱势结构,1.1083256669733212,0.10579010856453563,0.4083333333333333,1.0734138393712862,0.17251293847038526,93.85150812064965,-0.596149610114983,0.26557812,0.5648436,0.4547547,
当日观察,2026-08-28,301072,中捷精工,45.26,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=85.3,2026-06-05,60,持续,无平台信号,True,缺失,多头趋势,1.212121212121212,0.8549180327868853,0.6,85.31723212574276,99.2716120375695,89.984532095901,-0.007673755755316813,,,,
当日观察,2026-08-28,688669,聚石化学,74.8,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=88.2,2026-04-28,85,持续,无平台信号,True,缺失,多头趋势,2.6974789915966384,1.5730994152046782,0.7,88.17327966264136,99.21410772474603,97.56380510440835,-0.33333333333333337,,,,
当日观察,2026-08-28,300985,致远新能,37.71,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=86.6,2026-06-05,60,持续,无平台信号,True,缺失,多头趋势,1.1873549883990724,0.5029892387405341,0.6666666666666666,86.56315890358444,98.84991374353076,93.34880123743233,-0.3322117938728528,,,,
当日观察,2026-08-28,603679,华体科技,24.12,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=86.7,2026-08-14,11,持续,无平台信号,True,缺失,多头趋势,0.8932496075353218,0.591029023746702,0.5916666666666667,86.71650373778034,98.44738355376653,82.63727764887858,0.0,,,,
当日观察,2026-08-28,300420,五洋自控,8.13,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=80.6,2026-08-06,17,持续,无平台信号,True,缺失,多头趋势,1.370262390670554,1.0024630541871926,0.65,80.56354226566992,98.23653440674718,94.4508894044857,-0.17712550607287447,,,,
当日观察,2026-08-28,688120,华海清科,260.52,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=89.3,2026-08-10,15,持续,无平台信号,True,中,多头趋势,2.3090308649815823,1.0458614732212972,0.6166666666666667,89.30419781483612,98.1981981981982,98.47254447022429,-0.24267441860465122,,,,0.5524328325365158
当日观察,2026-08-28,300083,创世纪,13.37,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=88.8,2026-08-25,4,持续,无平台信号,True,缺失,多头趋势,0.8595271210013906,0.608904933814681,0.5666666666666667,88.84416331224841,97.77649990415948,85.5955143078113,-0.08236101578586141,,,,
当日观察,2026-08-28,603995,甬金股份,25.18,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=85.5,2026-08-12,13,持续,无平台信号,True,中,多头趋势,0.5836477987421382,0.3386496544391282,0.575,85.47057695993865,97.68065938278704,86.60092807424594,-0.08536142390119872,,,,0.5694716867756517
当日观察,2026-08-28,603976,正川股份,29.16,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=88.6,2026-08-28,1,新触发,无平台信号,True,中,多头趋势,0.6681922196796339,0.454364089775561,0.7166666666666667,88.60456200881733,97.62315506996359,83.584686774942,-0.0006854009595613775,,,,0.3950134923977524
当日观察,2026-08-28,688002,睿创微纳,161.7,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=82.0,2026-08-25,4,持续,无平台信号,True,高,多头趋势,1.3831982313927784,0.5109325359745842,0.5666666666666667,82.03948629480544,97.16312056737588,96.51972157772622,-0.07515442690459861,,,,0.8185356759568183
当日观察,2026-08-28,601872,招商轮船,18.98,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=86.7,2026-08-28,1,新触发,无平台信号,True,高,多头趋势,2.184563758389262,0.12640949554896141,0.575,86.65899942495687,96.58807743914127,98.35653518948183,-0.12007417709782109,,,,0.7672410243941462
当日观察,2026-08-28,688131,皓元医药,93.58,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=80.2,2026-08-14,11,持续,无平台信号,True,中,多头趋势,0.6980584285973508,0.49488817891373804,0.6333333333333333,80.16101207590569,95.05462909718229,90.3905645784996,-0.06811392152957585,,,,0.588083418880909
当日观察,2026-08-28,002293,罗莱生活,11.54,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=88.1,2026-08-14,11,持续,无平台信号,True,中,多头趋势,0.5345744680851063,0.15399999999999991,0.6583333333333333,88.05827103699444,93.3870040253019,86.79427687548336,-0.026160337552742607,,,,0.658904129317354
当日观察,2026-08-28,002317,众生药业,25.85,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=87.1,2026-08-18,9,持续,无平台信号,True,中,多头趋势,0.5752589884216941,0.44817927170868344,0.5583333333333333,87.09986582327008,92.42859881157753,75.11600928074246,-0.22349053769900862,,,,0.4999262353124099
当日观察,2026-08-28,002458,益生股份,9.07,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=83.7,2026-08-27,2,持续,无平台信号,True,高,多头趋势,0.4216300940438873,0.18098958333333348,0.55,83.72627947096032,91.52769791067664,82.88863109048724,-0.13783269961977185,,,,0.7784775376740607
当日观察,2026-08-28,603979,金诚信,81.72,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=86.6,2026-08-28,1,新触发,无平台信号,True,高,多头趋势,0.5794356397371472,0.19771361571156376,0.5666666666666667,86.58232700785892,91.33601686793176,89.23047177107502,-0.05971694856748355,,,,0.7654415198409918
当日观察,2026-08-28,688392,骄成超声,187.3,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=83.8,2026-08-12,13,持续,无平台信号,True,中,多头趋势,1.4570379115833663,0.5372619829284309,0.65,83.76461567950929,90.16676250718804,96.17169373549885,-0.22539288668320923,,,,0.576189405185519
当日观察,2026-08-28,688309,恒誉环保,73.42,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=85.4,2026-08-11,14,持续,无平台信号,True,中,多头趋势,2.313176895306859,0.5060512820512821,0.6916666666666667,85.4130726471152,89.3233659191106,98.33720030935808,-0.15434231743837812,,,,0.6990780077129441
当日观察,2026-08-28,601339,百隆东方,7.66,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=84.2,2026-08-26,3,持续,无平台信号,False,高,回踩修复,0.5412474849094568,0.12979351032448383,0.55,84.2054820778225,88.44163312248419,86.29156999226605,-0.15916575192096594,,,,0.732799278284156
当日观察,2026-08-28,301218,华是科技,48.45,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=80.5,2026-08-28,1,新触发,无平台信号,True,缺失,多头趋势,1.4408060453400502,0.2581147753830175,0.6083333333333333,80.54437416139544,88.03910293271996,94.79891724671306,-0.0010309278350515427,,,,
当日观察,2026-08-28,301051,信濠光电,17.82,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=86.6,2026-08-27,2,持续,无平台信号,True,缺失,多头趋势,0.45114006514658,0.14893617021276606,0.55,86.6014951121334,85.93061146252636,70.68832173240526,-0.24105621805792166,,,,
当日观察,2026-08-28,301282,金禄电子,33.88,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=87.3,2026-08-17,10,持续,无平台信号,True,中,多头趋势,1.0226865671641794,0.5281912494361749,0.6083333333333333,87.34905117883841,85.04887866589993,91.43464810518175,-0.13261648745519716,,,,0.40966781200311325
当日观察,2026-08-28,603559,中通国脉,9.58,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=82.4,2026-08-28,1,新触发,无平台信号,True,缺失,多头趋势,0.6348122866894197,0.2756324900133156,0.5916666666666667,82.44201648456968,82.97872340425532,74.03325599381284,-0.04865938430983119,,,,
当日观察,2026-08-28,300907,康平科技,50.24,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=89.1,2026-08-21,6,持续,无平台信号,True,缺失,多头趋势,0.9271192942079018,0.671324018629408,0.6333333333333333,89.07418056354227,76.80659382787043,83.46867749419954,-0.1497715349466915,,,,
当日观察,2026-08-28,301529,福赛科技,114.2,1,标准确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=83.8,2026-08-28,1,新触发,无平台信号,True,中,多头趋势,1.8722334004024148,0.3609820045286618,0.55,83.78378378378379,67.64423998466552,94.39288476411446,-0.10191884240327143,0.44844586,0.97145027,0.9741041,0.5370441995702613
当日观察,2026-08-28,300489,光智科技,234.09,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=68.3,,0,未触发,无平台信号,True,缺失,多头趋势,4.971683673469387,4.278241262683202,0.7666666666666667,68.2767874257236,99.50162928886334,99.78731631863882,-0.24959128065395086,,,,
当日观察,2026-08-28,688549,中巨芯-U,24.54,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=7.8,,0,未触发,无平台信号,True,缺失,多头趋势,1.9745454545454546,1.4589178356713424,0.625,7.8205865439907996,98.77324132643281,97.54447022428461,-0.39556650246305425,,,,
当日观察,2026-08-28,300843,胜蓝股份,134.5,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=74.5,,0,未触发,无平台信号,True,中,多头趋势,2.0876951331496785,1.4620172066630057,0.65,74.48725321065747,98.50488786659,97.08043310131477,-0.15673981191222575,,,,0.6166343403489902
当日观察,2026-08-28,603186,华正新材,183.6,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=14.4,,0,未触发,无平台信号,True,中,多头趋势,4.147182506307821,1.6124075128059192,0.6166666666666667,14.37607820586544,98.48571976231551,99.55529775715391,-0.3013698630136987,,,,0.500350907494957
当日观察,2026-08-28,301536,星宸科技,116.48,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=67.3,,0,未触发,无平台信号,True,高,多头趋势,1.1715137956748696,0.4642363293526086,0.65,67.31838221199922,98.40904734521756,92.92343387470999,-0.14978102189781017,,,,0.7446340637006647
当日观察,2026-08-28,000608,阳光股份,7.39,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=46.9,,0,未触发,无平台信号,True,缺失,多头趋势,3.016304347826087,1.1482558139534884,0.675,46.86601495112133,98.38987924094307,99.30394431554525,-0.05859872611464967,,,,
当日观察,2026-08-28,688409,富创精密,206.55,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=62.1,,0,未触发,无平台信号,True,缺失,多头趋势,2.4407796101949026,1.1117472651058176,0.6666666666666666,62.123825953613185,98.08318957255128,98.68522815158546,-0.3255510204081632,,,,
当日观察,2026-08-28,301321,翰博高新,41.89,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=75.1,,0,未触发,无平台信号,True,缺失,多头趋势,1.7760106030483764,0.7855924978687128,0.6666666666666666,75.10063254744107,97.8915085298064,97.138437741686,-0.20557557367722357,,,,
当日观察,2026-08-28,600228,返利科技,8.31,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=38.4,,0,未触发,无平台信号,True,缺失,多头趋势,0.8466666666666667,0.5054347826086958,0.6083333333333333,38.37454475752348,97.81483611270846,92.7107501933488,-0.2298424467099165,,,,
当日观察,2026-08-28,002636,金安国纪,73.18,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=7.3,,0,未触发,无平台信号,True,中,多头趋势,5.118729096989966,1.8222136521403782,0.7083333333333334,7.341383937128618,97.56565075714012,99.76798143851508,-0.3900141702092189,,,,0.5924610793154764
当日观察,2026-08-28,688147,微导纳米,120.02,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=75.2,,0,未触发,无平台信号,True,中,多头趋势,2.2168319485392654,0.5528528917065596,0.575,75.1964730688135,97.31646540157179,98.27919566898686,-0.25858660736347916,,,,0.3632669006718825
当日观察,2026-08-28,301526,国际复材,30.2,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=10.8,,0,未触发,无平台信号,True,高,多头趋势,4.571955719557195,1.4102154828411813,0.6333333333333333,10.791642706536324,97.20145677592487,99.45862335653518,-0.4220095693779904,,,,0.715393650655873
当日观察,2026-08-28,688702,盛科通信-U,365.1,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=79.7,,0,未触发,无平台信号,True,缺失,多头趋势,2.947027027027027,0.7954266043766907,0.6416666666666667,79.73931378186697,97.1439524631014,99.1492652745553,-0.16236492532177016,,,,
当日观察,2026-08-28,600353,旭光电子,34.63,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=21.5,,0,未触发,无平台信号,True,中,多头趋势,1.5203784570596799,0.9948156682027651,0.6166666666666667,21.468276787425726,96.93310331608204,94.87625676720805,-0.3453686200378071,,,,0.4630589526522282
当日观察,2026-08-28,688200,华峰测控,389.03,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=68.2,,0,未触发,无平台信号,True,中,多头趋势,2.9941478439425047,1.1717746887735165,0.6666666666666666,68.21928311290013,96.91393521180755,99.2846094354215,-0.28355432780847145,,,,0.5398159184689169
当日观察,2026-08-28,600641,先导基电,34.8,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=68.9,,0,未触发,无平台信号,True,缺失,多头趋势,1.3721881390593045,0.9376391982182626,0.6666666666666666,68.89016676250719,96.77975848188615,96.24903325599381,-0.2786069651741294,,,,
当日观察,2026-08-28,301045,,67.08,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=69.3,,0,未触发,无平台信号,True,中,多头趋势,1.830379746835443,0.36674816625916873,0.5916666666666667,69.3310331608204,96.30055587502396,97.37045630317091,-0.3237903225806452,,,,0.4320254899602103
当日观察,2026-08-28,688627,精智达,491.95,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=28.5,,0,未触发,无平台信号,True,缺失,多头趋势,4.285238504512248,0.9090027163368257,0.6,28.502971056162547,96.01303431090665,99.72931167826759,-0.311958041958042,,,,
当日观察,2026-08-28,688012,中微公司,367.0,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=63.1,,0,未触发,无平台信号,True,高,多头趋势,1.8560311284046693,0.6272779674544406,0.55,63.13973548016101,95.99386620663216,97.5831399845321,-0.2217816323501346,,,,0.739914033986082
当日观察,2026-08-28,000811,冰轮环境,40.1,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=58.2,,0,未触发,无平台信号,True,中,多头趋势,2.2390953150242328,0.9004739336492891,0.6083333333333333,58.23270078589228,95.9363618938087,97.33178654292344,-0.28673070081821417,,,,0.5752875862327042
当日观察,2026-08-28,688662,富信科技,90.17,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=2.9,,0,未触发,无平台信号,True,中,多头趋势,2.1594253679046953,0.7873141724479682,0.6583333333333333,2.875215641173088,95.91719378953421,96.5583913379737,-0.5180652057723143,,,,0.4714708588482437
当日观察,2026-08-28,600186,莲花控股,11.94,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=23.3,,0,未触发,无平台信号,True,中,多头趋势,1.2613636363636362,0.9134615384615383,0.7083333333333334,23.346751006325476,95.7830170596128,93.75483372003094,-0.23461538461538467,,,,0.6378141927010373
当日观察,2026-08-28,002971,和远气体,47.08,0,观察级,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=7.3,,0,未触发,无平台信号,True,中,多头趋势,0.8184627269215912,0.42021116138763204,0.5833333333333334,7.2647115200306684,95.74468085106383,90.79659706109821,-0.37201547285580905,,,,0.42094506063846837
