name,code,status,rep,got,rel,A1
颐海国际,,港股不在面板,,,,
酒鬼酒,000799,ok,16.4827,16.66366195678711,0.010978902533390046,True
山西汾酒,600809,ok,15.7589,15.948507308959961,0.012031760399517755,True
百润股份,002568,ok,14.5957,14.931116104125977,0.022980473983842897,True
澳优,,港股不在面板,,,,
舍得酒业,600702,ok,8.0665,8.113214492797852,0.005791172478503937,True
安井食品,603345,ok,7.974,7.194985389709473,0.09769433286813739,True
重庆啤酒,600132,ok,7.0597,7.641904830932617,0.08246877784220531,True
贵州茅台,600519,ok,6.9986,7.673711776733398,0.09646383229980264,True
伊利股份,600887,起点早于面板,,,,
水井坊,600779,ok,5.8667,5.9885711669921875,0.020773376343120955,True
安琪酵母,600298,ok,5.8453,6.010162830352783,0.02820434029951983,True
五粮液,000858,ok,5.3407,6.033010005950928,0.1296290759546366,True
顺鑫农业,000860,ok,4.8061,4.865248680114746,0.012307001542778194,True
古井贡酒,000596,ok,4.7775,5.071225166320801,0.06148093486568308,True
泸州老窖,000568,ok,3.8971,4.403240203857422,0.1298761139969264,True
老白干酒,600559,ok,3.8119,3.8545455932617188,0.011187490034292265,True
涪陵榨菜,002507,ok,3.6662,3.7759437561035156,0.029933925073240882,True
海天味业,603288,ok,3.626,3.7826085090637207,0.04319043272579173,True
恒顺醋业,600305,ok,3.3745,3.497227668762207,0.03636914172831744,True
中炬高新,600872,ok,2.6242,2.68861985206604,0.02454837743542411,True
汤臣倍健,300146,ok,1.8092,1.738567590713501,0.039040686096893075,True
