代码,日期,他_平台信号,我_平台信号,他_周线,我_周线
600066,2022-11-30,无平台信号,无平台信号,均线蓄势,均线蓄势
300308,2022-12-30,无平台信号,无平台信号,弱势结构,弱势结构
300476,2022-12-30,无平台信号,无平台信号,弱势结构,弱势结构
300750,2022-12-30,无平台信号,无平台信号,弱势结构,弱势结构
600066,2022-12-30,无平台信号,无平台信号,均线蓄势,均线蓄势
300308,2023-01-31,无平台信号,无平台信号,均线蓄势,均线蓄势
300476,2023-01-31,无平台信号,无平台信号,均线蓄势,均线蓄势
300750,2023-01-31,无平台信号,无平台信号,弱势结构,弱势结构
600066,2023-01-31,无平台信号,无平台信号,弱势结构,弱势结构
300308,2023-02-28,无平台信号,无平台信号,突破启动,突破启动
300476,2023-02-28,无平台信号,无平台信号,弱势结构,弱势结构
300750,2023-02-28,无平台信号,无平台信号,均线蓄势,均线蓄势
600066,2023-02-28,无平台信号,无平台信号,弱势结构,弱势结构
300308,2023-03-31,无平台信号,无平台信号,多头趋势,多头趋势
300476,2023-03-31,无平台信号,无平台信号,弱势结构,弱势结构
300750,2023-03-31,无平台信号,无平台信号,均线蓄势,均线蓄势
600066,2023-03-31,无平台信号,无平台信号,多头趋势,多头趋势
300308,2023-04-28,无平台信号,无平台信号,多头趋势,多头趋势
300476,2023-04-28,无平台信号,无平台信号,弱势结构,弱势结构
300750,2023-04-28,无平台信号,无平台信号,均线蓄势,均线蓄势
600066,2023-04-28,无平台信号,无平台信号,多头趋势,多头趋势
300308,2023-05-31,无平台信号,无平台信号,多头趋势,多头趋势
300476,2023-05-31,无平台信号,无平台信号,多头趋势,多头趋势
300750,2023-05-31,无平台信号,无平台信号,均线蓄势,均线蓄势
600066,2023-05-31,无平台信号,无平台信号,多头趋势,多头趋势
300308,2023-06-30,无平台信号,无平台信号,多头趋势,多头趋势
300476,2023-06-30,无平台信号,无平台信号,多头趋势,多头趋势
300750,2023-06-30,无平台信号,无平台信号,均线蓄势,均线蓄势
600066,2023-06-30,无平台信号,无平台信号,多头趋势,多头趋势
300308,2023-07-31,无平台信号,无平台信号,多头趋势,多头趋势
300476,2023-07-31,无平台信号,无平台信号,多头趋势,多头趋势
300750,2023-07-31,无平台信号,无平台信号,突破启动,突破启动
600066,2023-07-31,无平台信号,无平台信号,多头趋势,多头趋势
300308,2023-08-31,无平台信号,无平台信号,回踩修复,回踩修复
300476,2023-08-31,无平台信号,平台观察,回踩修复,回踩修复
300750,2023-08-31,无平台信号,无平台信号,回踩修复,回踩修复
600066,2023-08-31,无平台信号,无平台信号,回踩修复,回踩修复
300476,2023-09-12,平台突破（研究）,平台观察,回踩修复,回踩修复
300308,2023-09-28,平台观察,平台观察,回踩修复,回踩修复
300476,2023-09-28,平台观察,平台观察,多头趋势,多头趋势
300750,2023-09-28,无平台信号,无平台信号,弱势结构,弱势结构
600066,2023-09-28,平台观察,无平台信号,回踩修复,回踩修复
300308,2023-10-31,平台观察,平台观察,回踩修复,回踩修复
300476,2023-10-31,平台观察,平台观察,回踩修复,回踩修复
300750,2023-10-31,无平台信号,无平台信号,弱势结构,弱势结构
600066,2023-10-31,无平台信号,无平台信号,多头趋势,多头趋势
300308,2023-11-30,平台观察,平台观察,回踩修复,回踩修复
300476,2023-11-30,平台观察,平台观察,回踩修复,回踩修复
300750,2023-11-30,无平台信号,无平台信号,弱势结构,弱势结构
600066,2023-11-30,平台观察,平台观察,回踩修复,回踩修复
300308,2023-12-29,无平台信号,无平台信号,多头趋势,多头趋势
300476,2023-12-29,平台观察,平台观察,回踩修复,回踩修复
300750,2023-12-29,无平台信号,无平台信号,弱势结构,弱势结构
600066,2023-12-29,平台观察,平台观察,多头趋势,多头趋势
600066,2024-01-08,平台突破（研究）,平台突破（研究）,多头趋势,多头趋势
300308,2024-01-31,无平台信号,无平台信号,多头趋势,多头趋势
300476,2024-01-31,无平台信号,无平台信号,弱势结构,弱势结构
300750,2024-01-31,无平台信号,无平台信号,弱势结构,弱势结构
600066,2024-01-31,无平台信号,无平台信号,多头趋势,多头趋势
300308,2024-02-29,无平台信号,无平台信号,多头趋势,多头趋势
300476,2024-02-29,无平台信号,无平台信号,突破启动,突破启动
300750,2024-02-29,无平台信号,无平台信号,均线蓄势,均线蓄势
600066,2024-02-29,无平台信号,无平台信号,多头趋势,多头趋势
300308,2024-03-29,无平台信号,无平台信号,多头趋势,多头趋势
300476,2024-03-29,无平台信号,无平台信号,弱势结构,弱势结构
300750,2024-03-29,无平台信号,无平台信号,弱势结构,弱势结构
600066,2024-03-29,无平台信号,无平台信号,多头趋势,多头趋势
300308,2024-04-30,无平台信号,无平台信号,多头趋势,多头趋势
300476,2024-04-30,无平台信号,无平台信号,多头趋势,多头趋势
300750,2024-04-30,无平台信号,无平台信号,突破启动,突破启动
600066,2024-04-30,无平台信号,无平台信号,多头趋势,多头趋势
300308,2024-05-31,无平台信号,无平台信号,多头趋势,多头趋势
300476,2024-05-31,无平台信号,无平台信号,多头趋势,多头趋势
300750,2024-05-31,无平台信号,无平台信号,弱势结构,弱势结构
600066,2024-05-31,无平台信号,无平台信号,多头趋势,多头趋势
300308,2024-06-28,无平台信号,无平台信号,多头趋势,多头趋势
300476,2024-06-28,无平台信号,无平台信号,多头趋势,多头趋势
300750,2024-06-28,无平台信号,无平台信号,均线蓄势,均线蓄势
600066,2024-06-28,无平台信号,无平台信号,多头趋势,多头趋势
300308,2024-07-31,无平台信号,无平台信号,回踩修复,回踩修复
300476,2024-07-31,无平台信号,无平台信号,多头趋势,多头趋势
300750,2024-07-31,无平台信号,无平台信号,回踩修复,回踩修复
600066,2024-07-31,无平台信号,无平台信号,回踩修复,回踩修复
300308,2024-08-30,无平台信号,无平台信号,回踩修复,回踩修复
300476,2024-08-30,无平台信号,无平台信号,多头趋势,多头趋势
300750,2024-08-30,无平台信号,无平台信号,回踩修复,回踩修复
600066,2024-08-30,无平台信号,无平台信号,回踩修复,回踩修复
300308,2024-09-30,无平台信号,无平台信号,多头趋势,多头趋势
300476,2024-09-30,无平台信号,无平台信号,多头趋势,多头趋势
300750,2024-09-30,无平台信号,无平台信号,多头趋势,多头趋势
600066,2024-09-30,无平台信号,无平台信号,多头趋势,多头趋势
300308,2024-10-31,无平台信号,无平台信号,多头趋势,多头趋势
300476,2024-10-31,无平台信号,无平台信号,多头趋势,多头趋势
300750,2024-10-31,无平台信号,无平台信号,多头趋势,多头趋势
600066,2024-10-31,无平台信号,无平台信号,多头趋势,多头趋势
300308,2024-11-29,无平台信号,无平台信号,回踩修复,回踩修复
