段,档,开启占比,开关次数,成交,年化,成本后,回撤,止损,清仓,平均持仓,随机择时中位,E2超额pp,E2p,同市值行业中位,E3超额pp,E3p,E2判定,E3判定
训练段(只报数),MA20,0.6080246913580247,100,470,0.1243952821194636,0.09751150269831377,0.3492723657354411,23,447,5.739711934156379,0.01810566205040276,10.628962006906084,0.138,0.10671719012617398,1.7678091993289624,0.356,,
训练段(只报数),MA60,0.5905349794238683,66,327,-0.11836113794850034,-0.13309141566582905,0.48764037248346276,28,299,5.73559670781893,-0.010417611854979913,-10.794352609352043,0.948,-0.02858369465660271,-8.977744329189763,0.996,,
训练段(只报数),MA200,0.73559670781893,51,270,-0.01173731130350586,-0.025426455917001656,0.3157611778012001,43,204,7.111111111111111,0.025454801595934606,-3.7192112899440466,0.688,-0.016831169092155485,0.5093857788649625,0.448,,
训练段(只报数),无过滤,1.0,0,148,0.08954717475121332,0.08124748543149529,0.3514310564098369,88,0,9.790123456790123,,,,,,,,
留出段(判据在这里),MA20,0.6019900497512438,97,466,0.17416107887144983,0.14057323918211906,0.343989997381135,12,444,5.6940298507462686,-0.04048797348140387,21.46490523528537,0.052,0.15047724201745438,2.3683836853995444,0.34,不通过,不通过
留出段(判据在这里),MA60,0.6131840796019901,32,191,-0.033807996870740764,-0.04525276475513984,0.35372874839759855,21,152,6.026119402985074,-0.00801640033837192,-2.5791596532368843,0.606,0.03602434594472759,-6.983234281546835,0.934,不通过,不通过
留出段(判据在这里),MA200,0.7039800995024875,14,133,0.15832535156930616,0.1487473473294474,0.1665116799962285,33,63,6.998756218905473,-0.0022979136514964527,16.062326522080262,0.022,0.1785411888739188,-2.0215837304612627,0.618,不通过,不通过
留出段(判据在这里),无过滤,1.0,0,125,0.0157315894454082,0.007824754258870081,0.4351685250644713,72,0,9.740049751243781,,,,,,,,
