分档,笔数,收益中位,深度,缩量比,收敛比,调整天数,持有日,买入日波动率,市值亿
Q1最差,109,-0.1560461615654791,0.2498909085988998,0.5065740942955017,0.5714225769042969,68.0,25.0,0.0311263554064211,45.50131824790018
Q2,109,-0.0643806857942617,0.2119932472705841,0.5413957834243774,0.5932762026786804,43.0,7.0,0.0279285293222572,54.19436345309224
Q3,109,-0.0178997613365156,0.2044887840747833,0.5320034027099609,0.6255781054496765,47.0,2.0,0.0248995248377275,56.46668245678427
Q4,109,0.0162513542795232,0.1932093799114227,0.5155218839645386,0.6241331696510315,53.0,4.0,0.0240384693276191,60.470616479360665
Q5最好,109,0.1534612176814012,0.2168525457382202,0.476869523525238,0.5957476496696472,52.0,39.0,0.0272566457339874,57.13675704458357
