route,codex_cagr,kind,full_cagr,full_bench,full_mdd,oos_cagr,oos_bench,oos_mdd,hold_cagr,hold_bench,hold_mdd,K2,qfq_nreb,qfq_full_cagr,qfq_full_mdd,qfq_oos_cagr,qfq_oos_mdd,qfq_hold_cagr,qfq_hold_mdd,raw_nreb,raw_full_cagr,raw_full_mdd,raw_oos_cagr,raw_oos_mdd,raw_hold_cagr,raw_hold_mdd,ctrl_full_med,p_full,ctrl_oos_med,p_oos,K3,ctrl_hold_med,p_hold,K4
R01,0.0534,择时,0.07402733215817126,1.4404423718743913,-0.3070774888918778,0.0262337120595042,0.2757554181524655,-0.171527000086383,-0.08517589303235307,-0.003904742517453985,-0.11583250883904495,True,,,,,,,,,,,,,,,,,,,,,,
R02,0.0442,择时,0.058963248338505414,1.4404423718743913,-0.43469896233324756,0.06764501452054716,0.2757554181524655,-0.15309043171364978,-0.00711953001042287,-0.003904742517453985,-0.09918957315774923,True,,,,,,,,,,,,,,,,,,,,,,
R03,0.2119,选股,,,,,,,,,,True,153.0,0.16674478809933335,-0.614133836793895,0.21201812142411325,-0.24961642317092925,-0.19235280792967213,-0.16564702319461777,153.0,0.16674478809933335,-0.614133836793895,0.21201812142411325,-0.24961642317092925,-0.19235280792967213,-0.16564702319461777,0.07064864865913911,0.004975124378109453,0.10473699258083702,0.024875621890547265,False,,,
R04,0.0065,选股,,,,,,,,,,True,55.0,-0.012203584966530179,-0.5875946668516228,0.047754351563808584,-0.3260995400709271,-0.10105258610845447,-0.1214442882075295,55.0,-0.012203584966530179,-0.5875946668516228,0.047754351563808584,-0.3260995400709271,-0.10105258610845447,-0.1214442882075295,0.025210931379517576,0.9900497512437811,0.0924782360840195,0.845771144278607,False,,,
R05,0.0911,选股,,,,,,,,,,False,145.0,0.009509871190048758,-0.7735158346963573,0.03882363978541603,-0.27051079607212436,-0.2638773337783801,-0.19851208719470714,145.0,0.009509871190048758,-0.7735158346963573,0.03882363978541603,-0.27051079607212436,-0.2638773337783801,-0.19851208719470714,0.04109516499481991,0.900497512437811,-0.0070432846326156096,0.10945273631840796,False,,,
R07,0.0403,选股,,,,,,,,,,False,143.0,-0.08569387533920969,-0.87154157733602,-0.1312311037121695,-0.5077604726641436,-0.06942131301196808,-0.17320565113255304,143.0,-0.08569387533920969,-0.87154157733602,-0.1312311037121695,-0.5077604726641436,-0.06942131301196808,-0.17320565113255304,0.044249025035745904,1.0,0.011396517708151421,1.0,False,,,
R13,0.0298,选股,,,,,,,,,,False,83.0,-0.03425983848778069,-0.6202462775403923,-0.08762181769155197,-0.2921057910199414,0.11305416155350012,-0.13711378672145502,83.0,-0.03425983848778069,-0.6202462775403923,-0.08762181769155197,-0.2921057910199414,0.11305416155350012,-0.13711378672145502,0.011928248801886587,0.9950248756218906,0.014414522587665624,1.0,False,,,
R08_2026hold,,留出期,,,,,,,,,,,,,,,,,,,,,,,0.016126518136527324,,,,,,,-0.13859821106853132,0.06965174129353234,False
R09_2026hold,,留出期,,,,,,,,,,,,,,,,,,,,,,,-0.015967355298043495,,,,,,,-0.15323991824308703,0.06965174129353234,False
