样本类型,观察日期,股票代码,股票名称,收盘价,统一信号,信号类型,平台信号,质量等级,距一年低点涨幅,近120日收益,MA20持续度,RPS60,RPS250,距一年高点价格差,周线结构,平台深度,平台缩量比,平台收敛比,R09核心质量分,信号理由
平台突破日,2022-01-04,300161,华中数控,31.19,0,观察级,平台突破（研究）,缺失,0.9567126725219575,0.6227887617065557,0.55,78.83313885647608,88.76635034624263,-0.12140845070422535,多头趋势,0.27701005,0.774043,0.63830394,,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=78.8
平台突破日,2022-01-04,300590,移为通信,18.87,0,观察级,平台突破（研究）,缺失,0.7852412488174079,0.49406175771971506,0.5666666666666667,73.1855309218203,73.04437035137215,-0.005271481286241331,多头趋势,0.28413865,0.5691465,0.6666005,,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=73.2
平台突破日,2022-01-04,600257,大湖股份,8.09,0,观察级,平台突破（研究）,缺失,0.8640552995391706,0.10821917808219172,0.5666666666666667,66.90781796966161,65.22185175686074,-0.10706401766004425,多头趋势,0.30160692,0.42367926,0.61443144,,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=66.9
平台突破日,2022-01-04,300018,中元股份,8.17,0,观察级,平台突破（研究）,中,0.7645788336933046,0.515769944341373,0.7,63.383897316219375,56.11695306488843,0.0,多头趋势,0.32316384,0.7814891,0.7348989,0.5530250997111109,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=63.4
平台突破日,2022-01-04,600435,北方导航,10.68,0,观察级,平台突破（研究）,中,0.4393530997304582,0.38521400778210113,0.6083333333333333,48.68144690781797,67.14542190305207,-0.059859154929577496,多头趋势,0.13673656,0.47865924,0.5938482,0.5392132025940171,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=48.7
平台突破日,2022-01-04,300239,东宝生物,7.03,0,观察级,平台突破（研究）,中,0.5216450216450217,0.1875,0.575,34.98249708284714,47.807130033341885,-0.061415220293724926,多头趋势,0.2140884,0.47693396,0.54211813,0.3665141821212338,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=35.0
平台突破日,2022-01-04,000629,钒钛股份,4.28,0,观察级,平台突破（研究）,缺失,1.2526315789473688,0.8528138528138529,0.6166666666666667,26.954492415402566,91.97230058989484,-0.1457085828343313,回踩修复,0.21962617,0.5177165,0.5224803,,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=27.0
平台突破日,2022-01-04,300084,海默科技,5.91,0,观察级,平台突破（研究）,缺失,0.7485207100591718,0.3162583518930957,0.575,2.6137689614935824,70.06924852526288,-0.24521072796934862,回踩修复,0.23444976,0.54535145,0.51912194,,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=2.6
平台突破日,2022-01-05,000062,深圳华强,15.74,0,无信号,平台突破（研究）,缺失,0.6226804123711343,0.040317250495703894,0.48333333333333334,83.75729288214703,77.91442480143479,-0.05578884223155378,多头趋势,0.24339275,0.5185507,0.5882191,,反弹≥40%；RPS60=83.8
平台突破日,2022-01-05,300032,金龙机电,7.09,0,无信号,平台突破（研究）,缺失,0.6004514672686232,0.4528688524590163,0.5416666666666666,76.49941656942823,73.48193697156033,-0.037991858887381325,多头趋势,0.26982096,0.7610108,0.6564683,,反弹≥40%；120日收益≥10%；RPS60=76.5
平台突破日,2022-01-05,603196,璞源材料,8.1,0,无信号,平台突破（研究）,中,0.8837209302325582,0.03979460847240057,0.425,68.84480746791132,82.57750448373046,-0.2980935875216637,多头趋势,0.27325583,0.32056084,0.5637229,0.5578967876031677,反弹≥40%；RPS60=68.8
平台突破日,2022-01-05,002235,安妮股份,5.63,0,无信号,平台突破（研究）,缺失,0.7816455696202531,0.16082474226804133,0.45,67.98133022170362,65.46246477068921,-0.0647840531561461,多头趋势,0.30717862,0.3713194,0.48896542,,反弹≥40%；120日收益≥10%；RPS60=68.0
平台突破日,2022-01-05,600012,皖通高速,5.68,0,无信号,平台突破（研究）,高,0.3588516746411483,0.2085106382978723,0.575,61.07351225204201,67.53779144248014,-0.01730103806228378,多头趋势,0.2551724,0.65128875,0.7863159,0.7742892882423523,120日收益≥10%；MA20持续度≥55%；RPS60=61.1
平台突破日,2022-01-05,600769,祥龙电业,6.95,1,标准确认,平台突破（研究）,高,0.8435013262599469,0.115569823434992,0.5666666666666667,85.32088681446908,67.71714066102997,-0.18042452830188682,多头趋势,0.3178082,0.586536,0.7017935,0.7293539352488194,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=85.3
平台突破日,2022-01-05,000629,钒钛股份,4.3,0,观察级,平台突破（研究）,中,1.263157894736842,0.7768595041322315,0.6166666666666667,27.794632438739793,92.90289520881373,-0.14171656686626743,回踩修复,0.25777778,0.53911036,0.534349,0.5426785487608239,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=27.8
平台突破日,2022-01-06,002043,兔 宝 宝,9.95,0,无信号,平台突破（研究）,缺失,0.5307692307692307,0.2955729166666665,0.5416666666666666,88.77741483901073,77.55310980291785,0.0,多头趋势,0.34734735,0.7546541,0.6875147,,反弹≥40%；120日收益≥10%；RPS60=88.8
平台突破日,2022-01-06,603222,济民健康,13.27,0,无信号,平台突破（研究）,缺失,1.1507293354943275,0.237873134328358,0.475,84.64769015398973,39.44202713079088,-0.11296791443850274,突破启动,0.34429824,0.36233726,0.40055075,,反弹≥40%；120日收益≥10%；RPS60=84.6
平台突破日,2022-01-06,603998,方盛制药,5.88,0,无信号,平台突破（研究）,中,0.4411764705882353,0.16435643564356428,0.45,81.77788147456836,53.85206040440236,-0.0360655737704918,突破启动,0.30385852,0.61135477,0.6149955,0.4269781361956812,反弹≥40%；120日收益≥10%；RPS60=81.8
平台突破日,2022-01-06,300218,安利股份,17.18,0,无信号,平台突破（研究）,中,1.2937249666221629,-0.10052356020942421,0.35833333333333334,80.1913205786281,90.22267724596877,-0.1469712015888779,多头趋势,0.26804122,0.43597636,0.5106073,0.5503102229951996,反弹≥40%；RPS60=80.2
平台突破日,2022-01-06,000557,西部创业,4.3,0,无信号,平台突破（研究）,中,0.3109756097560976,0.24637681159420288,0.6,79.351376574895,63.39902738674175,-0.04231625835189323,突破启动,0.26086956,0.2852062,0.43466875,0.49452481941551646,120日收益≥10%；MA20持续度≥55%；RPS60=79.4
平台突破日,2022-01-06,000404,长虹华意,4.01,0,无信号,平台突破（研究）,中,0.37328767123287676,0.26498422712933745,0.6916666666666667,77.88147456836211,27.64269260302022,-0.06744186046511624,多头趋势,0.28960395,0.40684387,0.53883016,0.4248862720098069,120日收益≥10%；MA20持续度≥55%；RPS60=77.9
平台突破日,2022-01-06,600599,退市熊猫,9.52,0,无信号,平台突破（研究）,缺失,1.277511961722488,0.2727272727272727,0.48333333333333334,77.85814279048063,91.78397747632454,0.0,回踩修复,0.23214285,0.3214468,0.79009825,,反弹≥40%；120日收益≥10%；RPS60=77.9
平台突破日,2022-01-06,002091,江苏国泰,11.72,0,无信号,平台突破（研究）,缺失,1.46218487394958,0.14789422135161612,0.5416666666666666,77.04153056462903,91.27207576145379,-0.15133960897900067,多头趋势,0.23813559,0.49649695,0.60397685,,反弹≥40%；120日收益≥10%；RPS60=77.0
平台突破日,2022-01-06,603196,璞源材料,8.14,0,无信号,平台突破（研究）,中,0.8930232558139537,0.01622971285892638,0.43333333333333335,67.96546896873542,82.49296135142052,-0.29462738301559777,多头趋势,0.2977528,0.32717115,0.57645786,0.557970995455042,反弹≥40%；RPS60=68.0
平台突破日,2022-01-06,600012,皖通高速,5.69,0,无信号,平台突破（研究）,高,0.36124401913875626,0.20550847457627142,0.5833333333333334,62.20251983201119,63.70616841566419,-0.01557093425605538,多头趋势,0.2551724,0.6509194,0.786392,0.7743543616244053,120日收益≥10%；MA20持续度≥55%；RPS60=62.2
平台突破日,2022-01-06,600777,新潮能源,2.32,0,无信号,平台突破（研究）,中,0.7058823529411762,0.4591194968553458,0.5166666666666667,36.187587494167055,78.50012797542871,-0.2108843537414966,多头趋势,0.1764706,0.4245728,0.46848503,0.5502314425895547,反弹≥40%；120日收益≥10%；RPS60=36.2
平台突破日,2022-01-06,600769,祥龙电业,7.24,1,标准确认,平台突破（研究）,高,0.920424403183024,0.18494271685761055,0.5666666666666667,89.78068128791415,69.54184796519068,-0.14622641509433965,多头趋势,0.34901962,0.59399045,0.71327966,0.7286726985833663,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=89.8
平台突破日,2022-01-06,002140,东华科技,13.83,1,标准确认,平台突破（研究）,缺失,1.46524064171123,0.8054830287206267,0.6083333333333333,89.66402239850677,95.31609930893269,-0.03083391730903995,多头趋势,0.29805014,0.6329677,0.6609591,,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=89.7
平台突破日,2022-01-06,603855,华荣股份,20.56,1,标准确认,平台突破（研究）,高,0.935969868173258,0.5458646616541352,0.7,83.94773681754549,88.66137701561301,-0.002426006792819013,多头趋势,0.24988168,0.470267,0.7628368,0.7393452111638625,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=83.9
平台突破日,2022-01-06,300032,金龙机电,7.39,1,标准确认,平台突破（研究）,缺失,0.6681715575620768,0.4989858012170385,0.55,80.79794680354642,76.50371128743281,0.0,多头趋势,0.26982096,0.79846555,0.686739,,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=80.8
平台突破日,2022-01-06,600613,神奇制药,6.27,0,观察级,平台突破（研究）,缺失,0.7612359550561796,0.27439024390243905,0.5583333333333333,75.78161455902939,75.3263373432301,0.0,多头趋势,0.2982456,0.69305015,0.6339922,,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=75.8
平台突破日,2022-01-06,603558,健盛集团,9.85,0,观察级,平台突破（研究）,缺失,0.6280991735537189,0.4011379800853485,0.7333333333333333,71.7452169855343,80.47094957768108,-0.0030364372469636747,多头趋势,0.15145436,0.6323959,0.63670886,,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=71.7
平台突破日,2022-01-06,603112,,12.15,0,观察级,平台突破（研究）,中,0.4260563380281692,0.2538699690402477,0.575,70.95193653756417,62.40081904274379,-0.1964285714285714,多头趋势,0.2536,0.5517918,0.59239626,0.5631792357544217,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=71.0
平台突破日,2022-01-06,000629,钒钛股份,4.4,0,观察级,平台突破（研究）,中,1.3157894736842106,0.788617886178862,0.6166666666666667,55.08632757816145,92.91016124904019,-0.12175648702594799,回踩修复,0.25777778,0.54735935,0.53915274,0.542409129136143,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=55.1
平台突破日,2022-01-06,300029,天龙退,7.09,0,观察级,平台突破（研究）,缺失,0.5896860986547086,0.10781249999999987,0.5916666666666667,44.330377974801685,63.42462247248528,-0.05843293492695889,多头趋势,0.26,0.41581067,0.5576644,,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=44.3
平台突破日,2022-01-06,300255,常山药业,8.27,0,观察级,平台突破（研究）,中,0.5258302583025829,0.2982731554160125,0.6166666666666667,31.427904806346245,70.82160225236754,-0.06553672316384185,多头趋势,0.23269689,0.6102515,0.6590244,0.35186331482389777,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=31.4
平台突破日,2022-01-07,000557,西部创业,4.47,0,无信号,平台突破（研究）,中,0.3628048780487805,0.28818443804034577,0.6083333333333333,87.24347014925374,70.10994630529275,-0.0044543429844099425,突破启动,0.31567797,0.290473,0.44361636,0.494325034029375,120日收益≥10%；MA20持续度≥55%；RPS60=87.2
平台突破日,2022-01-07,000506,招金黄金,3.55,0,无信号,平台突破（研究）,缺失,0.7487684729064039,0.5848214285714284,0.475,55.247201492537314,77.8828944004091,-0.20935412026726063,回踩修复,0.19178082,0.25499737,0.44210526,,反弹≥40%；120日收益≥10%；RPS60=55.2
平台突破日,2022-01-07,600777,新潮能源,2.33,0,无信号,平台突破（研究）,中,0.713235294117647,0.47468354430379756,0.5166666666666667,44.076492537313435,80.79774993607774,-0.20748299319727892,多头趋势,0.19008264,0.43693063,0.47540984,0.5496809957947639,反弹≥40%；120日收益≥10%；RPS60=44.1
平台突破日,2022-01-07,000833,粤桂股份,5.58,0,无信号,平台突破（研究）,高,0.7770700636942676,0.5543175487465182,0.5083333333333333,5.293843283582089,83.84045001278444,-0.3111111111111111,回踩修复,0.1445993,0.54973495,0.3886912,0.7458477656871797,反弹≥40%；120日收益≥10%；RPS60=5.3
平台突破日,2022-01-07,603855,华荣股份,21.21,1,标准确认,平台突破（研究）,高,0.9971751412429382,0.548175182481752,0.7,86.59048507462687,88.92866274610074,0.0,多头趋势,0.27025783,0.4722533,0.77393705,0.7398425578090598,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=86.6
平台突破日,2022-01-07,300029,天龙退,7.28,0,观察级,平台突破（研究）,缺失,0.6322869955156951,0.10975609756097571,0.5916666666666667,68.12033582089553,71.97647660444899,-0.033200531208499307,多头趋势,0.26,0.4204651,0.5658284,,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=68.1
平台突破日,2022-01-07,300191,潜能恒信,27.54,0,观察级,平台突破（研究）,中,0.6461446503287507,0.22020381036774483,0.6166666666666667,47.99440298507462,87.1899769879826,-0.104390243902439,多头趋势,0.20871398,0.74202245,0.75012726,0.5180431388917615,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=48.0
平台突破日,2022-01-07,603619,中曼石油,14.14,0,观察级,平台突破（研究）,缺失,0.9449793672627238,0.6403712296983761,0.5666666666666667,42.79384328358209,88.4939913065712,-0.1471652593486127,多头趋势,0.3018868,0.73442125,0.72005415,,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=42.8
平台突破日,2022-01-07,300084,海默科技,6.12,0,观察级,平台突破（研究）,缺失,0.8106508875739646,0.2884210526315789,0.5916666666666667,16.837686567164177,79.11020199437485,-0.2183908045977011,回踩修复,0.23444976,0.55444384,0.5252885,,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=16.8
平台突破日,2022-01-10,603856,东宏股份,13.62,0,无信号,平台突破（研究）,缺失,0.37854251012145723,0.34055118110236204,0.7333333333333333,81.3476334809979,70.01533742331289,-0.04219409282700437,突破启动,0.32068965,0.5237966,0.5558234,,120日收益≥10%；MA20持续度≥55%；RPS60=81.3
平台突破日,2022-01-10,002235,安妮股份,5.7,0,无信号,平台突破（研究）,缺失,0.8037974683544304,0.18257261410788383,0.475,81.11447889951037,64.1359918200409,-0.0531561461794019,多头趋势,0.318555,0.38772362,0.50004864,,反弹≥40%；120日收益≥10%；RPS60=81.1
平台突破日,2022-01-10,000790,华神科技,6.44,0,无信号,平台突破（研究）,缺失,0.6262626262626263,0.08600337268128166,0.5583333333333333,80.71811611098158,78.57873210633947,-0.10679611650485432,多头趋势,0.28721803,0.51193565,0.5921023,,反弹≥40%；MA20持续度≥55%；RPS60=80.7
平台突破日,2022-01-10,000683,博源化工,7.62,0,无信号,平台突破（研究）,高,3.5357142857142856,0.5582822085889572,0.5333333333333333,72.11471205409187,99.64212678936605,-0.29574861367837335,回踩修复,0.3113695,0.6839968,0.46413967,0.8539171687231188,反弹≥40%；120日收益≥10%；RPS60=72.1
平台突破日,2022-01-10,603196,璞源材料,8.2,0,无信号,平台突破（研究）,中,0.9069767441860463,0.05670103092783507,0.45,68.22103054325017,84.40695296523518,-0.28942807625649913,多头趋势,0.2977528,0.3338413,0.58010465,0.5577306518817869,反弹≥40%；RPS60=68.2
平台突破日,2022-01-10,688310,迈得医疗,22.93,0,无信号,平台突破（研究）,中,0.9060681629260183,0.5802894555478979,0.5166666666666667,24.99417113546281,87.6278118609407,-0.013763440860215082,多头趋势,0.28242075,0.5323133,0.68263185,0.4211140991988875,反弹≥40%；120日收益≥10%；RPS60=25.0
平台突破日,2022-01-10,601666,平煤股份,6.86,0,无信号,平台突破（研究）,缺失,1.1304347826086958,0.34774066797642456,0.5416666666666666,2.797854977850315,86.68200408997954,-0.2763713080168776,回踩修复,0.212828,0.4726427,0.42514518,,反弹≥40%；120日收益≥10%；RPS60=2.8
平台突破日,2022-01-10,603112,,12.25,0,观察级,平台突破（研究）,中,0.437793427230047,0.2564102564102564,0.5916666666666667,76.94101189088366,64.95398773006134,-0.18981481481481477,多头趋势,0.2536,0.5522763,0.59277904,0.5632261326042947,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=76.9
平台突破日,2022-01-10,300029,天龙退,7.55,0,观察级,平台突破（研究）,缺失,0.6928251121076232,0.2928082191780821,0.5916666666666667,73.49032408486826,76.40593047034766,0.0,多头趋势,0.27450982,0.4246377,0.5728887,,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=73.5
平台突破日,2022-01-11,603998,方盛制药,5.92,0,无信号,平台突破（研究）,中,0.4509803921568627,0.21063394683026582,0.475,88.44361602982292,56.16858237547893,-0.02950819672131144,突破启动,0.30385852,0.6447975,0.6382822,0.4260854671450175,反弹≥40%；120日收益≥10%；RPS60=88.4
平台突破日,2022-01-11,603856,东宏股份,13.79,0,无信号,平台突破（研究）,缺失,0.39574898785425083,0.36669970267591667,0.7416666666666667,82.80521901211556,71.77522349936143,-0.030239099859353136,突破启动,0.33625337,0.5446014,0.56584245,,120日收益≥10%；MA20持续度≥55%；RPS60=82.8
平台突破日,2022-01-11,300275,梅安森,8.29,0,无信号,平台突破（研究）,缺失,0.6513944223107568,0.35457516339869266,0.5083333333333333,80.68499534016776,73.48659003831418,-0.09596510359869148,多头趋势,0.23401827,0.5082302,0.7278278,,反弹≥40%；120日收益≥10%；RPS60=80.7
平台突破日,2022-01-11,603196,璞源材料,8.28,0,无信号,平台突破（研究）,中,0.9255813953488372,0.06976744186046502,0.4583333333333333,70.1071761416589,84.7765006385696,-0.28249566724436737,多头趋势,0.2977528,0.3346403,0.5782765,0.5576828200825305,反弹≥40%；RPS60=70.1
平台突破日,2022-01-11,000506,招金黄金,3.58,0,无信号,平台突破（研究）,缺失,0.7635467980295569,0.3210332103321034,0.475,58.73718546132339,80.5874840357599,-0.20267260579064594,多头趋势,0.19178082,0.25672755,0.44690675,,反弹≥40%；120日收益≥10%；RPS60=58.7
平台突破日,2022-01-11,601658,,4.41,0,无信号,平台突破（研究）,中,0.2564102564102566,0.17599999999999993,0.6583333333333333,52.91239515377446,63.831417624521066,-0.06369426751592355,多头趋势,0.21555555,0.7153837,0.63050234,0.6513773281944257,120日收益≥10%；MA20持续度≥55%；RPS60=52.9
平台突破日,2022-01-11,603168,莎普爱思,10.93,0,无信号,平台突破（研究）,缺失,0.9764918625678118,0.1421107628004179,0.5,46.57502329916123,75.75989782886334,-0.09744013212221303,回踩修复,0.23330283,0.65917075,0.7229534,,反弹≥40%；120日收益≥10%；RPS60=46.6
平台突破日,2022-01-11,002539,云图控股,12.75,0,无信号,平台突破（研究）,中,1.183219178082192,0.24633431085043989,0.4166666666666667,13.583410997204101,92.82247765006386,-0.3628185907046477,回踩修复,0.2087156,0.541525,0.3782662,0.6606074884853231,反弹≥40%；120日收益≥10%；RPS60=13.6
平台突破日,2022-01-11,603112,,12.26,0,观察级,平台突破（研究）,中,0.43896713615023475,0.28781512605042026,0.6,78.68126747437091,64.69987228607918,-0.18915343915343907,多头趋势,0.2536,0.55269855,0.59254694,0.5629922748456971,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=78.7
平台突破日,2022-01-11,002693,双成药业,5.17,0,观察级,平台突破（研究）,缺失,0.4771428571428571,0.2457831325301203,0.6833333333333333,78.35507921714819,60.664112388250324,0.0,多头趋势,0.2804642,0.77017623,0.65745485,,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=78.4
平台突破日,2022-01-11,000629,钒钛股份,4.41,0,观察级,平台突破（研究）,中,1.3210526315789477,0.72265625,0.6166666666666667,58.50419384902143,93.53767560664113,-0.11976047904191611,多头趋势,0.25777778,0.5483492,0.53487784,0.5417443048816751,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS60=58.5
平台突破日,2022-01-12,300275,梅安森,8.4,0,无信号,平台突破（研究）,低,0.6733067729083668,0.40000000000000013,0.5166666666666667,83.0267753201397,73.17508933129147,-0.08396946564885488,多头趋势,0.23401827,0.5300309,0.7311647,0.2539915112806789,反弹≥40%；120日收益≥10%；RPS60=83.0
平台突破日,2022-01-12,000506,招金黄金,3.82,0,无信号,平台突破（研究）,缺失,0.8817733990147785,0.2818791946308725,0.475,76.13504074505238,85.01786625829504,-0.1492204899777284,多头趋势,0.23969072,0.26431853,0.45916516,,反弹≥40%；120日收益≥10%；RPS60=76.1
平台突破日,2022-01-12,603196,璞源材料,8.62,0,无信号,平台突破（研究）,中,1.0046511627906978,0.11082474226804107,0.4666666666666667,73.73690337601863,86.03879530372639,-0.2530329289428076,多头趋势,0.2977528,0.33904538,0.58412063,0.557677833769306,反弹≥40%；120日收益≥10%；RPS60=73.7
平台突破日,2022-01-12,000960,锡业股份,22.21,0,无信号,平台突破（研究）,缺失,1.4541436464088395,0.3188836104513064,0.5333333333333333,72.68917345750873,94.15518121490555,-0.04349698535745039,多头趋势,0.3412877,0.57912046,0.6725344,,反弹≥40%；120日收益≥10%；RPS60=72.7
平台突破日,2022-01-12,688310,迈得医疗,23.99,0,无信号,平台突破（研究）,中,0.9941812136325852,0.6835087719298245,0.5333333333333333,65.86728754365542,89.10158244002042,0.0,多头趋势,0.3022418,0.55249876,0.69352686,0.4212751671200262,反弹≥40%；120日收益≥10%；RPS60=65.9
