代码,名称,r2025,r2026,mv,对照中位,对照数,胜出分位
301232,飞沃科技,5.816534541336353,-0.18832031898986545,72.47082592900475,-0.14482481947044656,245,0.39183673469387753
000547,航天发展,3.5157318741450068,-0.5586186004241138,518.6077663376899,-0.26242038216560515,5,0.0
688577,浙海德曼,2.494410569105691,-0.45397702486549374,107.97286180061245,-0.08082649650562135,5,0.0
301005,超捷股份,4.314956855225312,-0.4039866510327411,201.61469474346677,-0.24096385542168675,187,0.0855614973262032
000592,平潭发展,4.365853658536586,,298.74351292314606,,0,
688788,科思科技,2.1583769633507854,-0.43016991297140483,105.8294341068517,-0.17588325652841774,5,0.2
301529,福赛科技,2.9735034347399414,-0.07421585576685608,51.25648839329445,-0.24210891432535542,187,0.8074866310160428
301117,佳缘科技,1.4353393085787451,-0.5417981072555205,42.3153775955374,-0.21302398432698877,218,0.013761467889908258
688228,开普云,3.3771929824561404,-0.6572632444375932,132.56941243328706,-0.21302398432698877,218,0.0
688353,华盛锂电,3.8631308810949534,-0.21354441512752864,133.14607210187478,-0.16515707751564762,8,0.375
