j,t,日期,日_深度,周_深度,日_缩量比,周_缩量比,日_收敛比,周_收敛比,日_三条全中,周_三条全中,日_TR均,周_TR均
1709,220,2013-12-06,0.3350970149040222,0.3350970017636684,2.1872963905334473,2.007492489784179,1.5048543214797974,0.9203317901234567,False,False,0.2067808219178082,0.45875
1709,225,2013-12-13,0.3350970149040222,0.3350970017636684,2.1855692863464355,2.0116149294675716,1.1407767534255981,0.9094650205761317,False,False,0.20523178807947015,0.45333333333333337
1709,230,2013-12-20,0.3350970149040222,0.3350970017636684,2.1824116706848145,2.014075088600633,1.0614886283874512,0.9098583877995643,False,False,0.20461538461538462,0.45352941176470596
1709,235,2013-12-27,0.3350970149040222,0.3350970017636684,2.162966012954712,2.001169497292488,0.9393203854560852,0.8970458553791888,False,False,0.20192546583850932,0.44714285714285723
1709,239,2014-01-03,0.3350970149040222,0.3350970017636684,2.1536147594451904,1.9852307830427813,0.8737863898277283,0.8832733196159123,False,False,0.19975757575757572,0.4402777777777778
1709,244,2014-01-10,0.3350970149040222,0.3350970017636684,2.1690094470977783,2.0042126029679372,0.8938734531402588,0.8908491825158491,False,False,0.19988235294117648,0.44405405405405407
1709,249,2014-01-17,0.3350970149040222,0.3350970017636684,2.142282247543335,1.9840600206233225,0.8323814868927002,0.8753248862897983,False,False,0.19697142857142858,0.43631578947368416
1709,254,2014-01-24,0.3350970149040222,0.3350970017636684,2.117349624633789,1.965227679571664,0.7829225659370422,0.8652263374485596,False,False,0.19405555555555556,0.43128205128205127
1709,258,2014-01-30,0.3350970149040222,0.3350970017636684,2.095684766769409,1.9386005081019033,0.7586362361907959,0.8526234567901233,False,False,0.19217391304347825,0.425
1709,259,2014-02-07,0.3350970149040222,0.3350970017636684,2.0908896923065186,1.8972362950890327,0.7568402290344238,0.8386781090033123,False,False,0.1918918918918919,0.4180487804878049
1709,264,2014-02-14,0.3350970149040222,0.3350970017636684,2.1310956478118896,1.938562886756759,0.7806617617607117,0.84211493239271,False,False,0.19221052631578944,0.4197619047619047
1709,269,2014-02-21,0.3350970149040222,0.3350970017636684,2.147467613220215,1.9581425421544993,0.7749010920524597,0.8393267298306056,False,False,0.19107692307692312,0.4183720930232558
1709,274,2014-02-28,0.3350970149040222,0.3350970017636684,2.1412603855133057,1.956972198198843,0.7906861901283264,0.8430485409652074,False,False,0.19125,0.42022727272727267
1709,279,2014-03-07,0.3350970149040222,0.3350970017636684,2.1234021186828613,1.9449198260003895,0.7865594625473022,0.8372427983539092,False,False,0.19029268292682922,0.4173333333333333
1709,284,2014-03-14,0.3350970149040222,0.3350970017636684,2.095689058303833,1.9235788011244055,0.7626283764839172,0.8264559849704775,False,False,0.18800000000000003,0.41195652173913033
1709,289,2014-03-21,0.3350970149040222,0.3350970017636684,2.0797383785247803,1.9127654636674367,0.7517712116241455,0.8263724717625425,False,False,0.18651162790697673,0.4119148936170212
1709,294,2014-03-28,0.4038800597190857,0.40388007054673725,2.073861837387085,1.9110062929696996,0.7564212679862976,0.8350694444444444,False,False,0.18613636363636363,0.41625
1709,299,2014-04-04,0.4197530746459961,0.41975308641975306,2.0665013790130615,1.9077102503876893,0.7379796504974365,0.8270345175107079,False,False,0.18404444444444443,0.4122448979591837
1709,303,2014-04-11,0.4356260895729065,0.4356261022927689,2.0753519535064697,1.9108891954743228,0.7242938876152039,0.8181172839506172,False,False,0.18240174672489082,0.4078
1709,308,2014-04-18,0.4356260895729065,0.4356261022927689,2.0655510425567627,1.9052447278719977,0.7031005620956421,0.8060094408133623,False,False,0.17995726495726497,0.40176470588235297
1709,313,2014-04-25,0.4585537910461426,0.4585537918871252,2.0482349395751953,1.8925037175891388,0.6919952630996704,0.8040123456790124,False,False,0.1782845188284519,0.4007692307692308
1709,316,2014-04-30,0.4902998208999634,0.49029982363315694,2.037564992904663,1.8702925316612176,0.6863404512405396,0.7956557186116935,False,False,0.17735537190082645,0.3966037735849057
1709,321,2014-05-09,0.4902998208999634,0.49029982363315694,2.0137970447540283,1.851709954326303,0.6750320792198181,0.7876085962505717,False,False,0.17562753036437245,0.39259259259259266
1709,960,2016-12-16,0.16004540026187897,0.16004540295119185,1.0227148532867432,1.092232115078041,0.7469287514686584,0.6806254969520275,False,False,0.29032258064516125,0.6114285714285713
1709,965,2016-12-23,0.16004540026187897,0.16004540295119185,1.0101653337478638,1.0799317897756597,0.7248157262802124,0.6901669758812616,False,False,0.28972222222222227,0.62
1709,970,2016-12-30,0.16004540026187897,0.16004540295119185,1.0189763307571411,1.0881370891810476,0.7207207083702087,0.7012987012987014,False,False,0.28975609756097565,0.6300000000000001
1709,974,2017-01-06,0.16004540026187897,0.16004540295119185,0.9987086653709412,1.0467725039094167,0.687960684299469,0.679035250463822,False,False,0.28444444444444444,0.6100000000000001
1709,979,2017-01-13,0.16004540026187897,0.16004540295119185,0.9823068380355835,1.0324952513527963,0.6971744298934937,0.6972508011469051,False,False,0.2858,0.6263636363636363
1709,984,2017-01-20,0.17820657789707184,0.17820658342792284,0.926533579826355,0.9792136543324674,0.6964331269264221,0.6985157699443413,False,False,0.2854545454545455,0.6275
1709,988,2017-01-26,0.17820657789707184,0.17820658342792284,0.8861998319625854,0.9256418083804917,0.6648797392845154,0.6721849578992435,False,False,0.27813559322033904,0.6038461538461537
1709,989,2017-02-03,0.17820657789707184,0.17820658342792284,0.8751438856124878,0.862917878932928,0.6547188758850098,0.634508348794063,False,False,0.2756666666666667,0.57
1709,994,2017-02-10,0.17820657789707184,0.17820658342792284,0.8603177070617676,0.8538830247657635,0.6514206528663635,0.6293135435992578,False,False,0.27415384615384614,0.5653333333333332
1709,999,2017-02-17,0.17820657789707184,0.17820658342792284,0.8315021395683289,0.8309543156409439,0.622626781463623,0.6129406307977736,False,False,0.26614285714285707,0.5506249999999999
1709,1004,2017-02-24,0.17820657789707184,0.17820658342792284,0.8278811573982239,0.8308057114914327,0.6057263016700745,0.5978391356542616,False,False,0.2608000000000001,0.5370588235294117
1709,1009,2017-03-03,0.17820657789707184,0.17820658342792284,0.8234345316886902,0.829462433972688,0.5860405564308167,0.5893630179344463,False,False,0.2545,0.5294444444444443
1709,1014,2017-03-10,0.17820657789707184,0.17820658342792284,0.8051400184631348,0.8145545635945002,0.5609461665153503,0.5729909188555804,False,False,0.2464705882352941,0.514736842105263
1709,1019,2017-03-17,0.17820657789707184,0.17820658342792284,0.8617606163024902,0.8710562825725913,0.5958231091499329,0.6055658627087198,False,False,0.25555555555555554,0.5439999999999999
1709,1024,2017-03-24,0.22150537371635437,0.22150537634408607,0.9187729358673096,0.92830262913009,0.6274258494377136,0.6233766233766234,False,False,0.2642105263157895,0.5599999999999999
1709,1029,2017-03-31,0.22150537371635437,0.22150537634408607,0.9453850388526917,0.9564107730272625,0.639484703540802,0.6289424860853432,False,False,0.2674,0.565
1709,1032,2017-04-07,0.28387734293937683,0.2838773491592482,1.0196417570114136,1.0120090277671059,0.6898752450942993,0.6645156086149875,False,False,0.2825242718446602,0.5969565217391304
1709,1089,2017-06-30,0.11283186078071594,0.12942477876106184,0.5190564393997192,0.5812241603933127,0.6568287014961243,0.6692751235584841,True,True,0.28117647058823514,0.6249999999999998
1709,1094,2017-07-07,0.14771519601345062,0.16365568544102016,0.5196376442909241,0.5791205767318397,0.6536596417427063,0.6724876441515649,True,True,0.2804545454545453,0.6279999999999999
1709,1099,2017-07-14,0.1540084332227707,0.16983122362869196,0.5377129316329956,0.5951566766264088,0.6953347325325012,0.7834980779791322,True,True,0.2981481481481481,0.7316666666666666
1709,1104,2017-07-21,0.16561181843280792,0.16983122362869196,0.5524347424507141,0.6089068699382887,0.7250597476959229,0.8061896916921626,True,False,0.31093749999999987,0.7528571428571427
1709,1109,2017-07-28,0.16561181843280792,0.16983122362869196,0.5163993835449219,0.5718771522827539,0.7208076119422913,0.7897446457990114,True,True,0.30945945945945935,0.7374999999999999
1709,1154,2017-09-29,0.16561181843280792,0.16983122362869196,0.557146430015564,0.3243827610356117,0.7112268805503845,0.7829031667581916,True,True,0.3056097560975609,0.7311111111111113
1709,1159,2017-10-13,0.18200621008872986,0.1861427094105481,0.5908109545707703,0.3594622182639766,0.729938268661499,0.7827841845140033,True,True,0.31369565217391304,0.7310000000000001
1709,1164,2017-10-20,0.19450101256370544,0.1985743380855397,0.5804494023323059,0.3683596745922446,0.730555534362793,0.7671109779841248,True,True,0.3141176470588236,0.7163636363636365
1709,1169,2017-10-27,0.23426911234855652,0.23814133591481124,0.5875321626663208,0.3861127928913845,0.7537878751754761,0.7781438769906647,True,True,0.3241071428571428,0.7266666666666669
1709,1174,2017-11-03,0.23426911234855652,0.23814133591481124,0.5966178774833679,0.40420718366748765,0.7746913433074951,0.8385502471169689,True,False,0.3331147540983606,0.7830769230769233
1709,1179,2017-11-10,0.23426911234855652,0.23814133591481124,0.5934976935386658,0.4134261346273609,0.7603276371955872,0.8100141209696401,True,False,0.32712121212121215,0.7564285714285717
1709,1184,2017-11-17,0.23426911234855652,0.23814133591481124,0.6052455902099609,0.431731385369536,0.7566137313842773,0.8202635914332786,True,False,0.32563380281690146,0.7660000000000002
1709,1189,2017-11-24,0.2933204174041748,0.2933204259438529,0.625916063785553,0.4558464824015456,0.7552469372749329,0.8171849258649095,True,False,0.3251315789473685,0.7631250000000002
1709,1194,2017-12-01,0.2933204174041748,0.2933204259438529,0.6248422861099243,0.4642349355663585,0.7459490895271301,0.8245469522240529,True,False,0.3212345679012346,0.7700000000000002
1709,1199,2017-12-08,0.2933204174041748,0.2933204259438529,0.6160883903503418,0.4662642827715477,0.7410130500793457,0.8215723961193486,True,False,0.31918604651162796,0.7672222222222225
1709,1204,2017-12-15,0.2933204174041748,0.2933204259438529,0.6024340391159058,0.4637798962914201,0.7263374328613281,0.8003121477499351,True,False,0.312967032967033,0.7473684210526317
1709,1209,2017-12-22,0.2933204174041748,0.2933204259438529,0.5985506176948547,0.4678129086685712,0.7197855710983276,0.7897446457990117,True,True,0.31020833333333336,0.7375000000000002
1709,1214,2017-12-29,0.2933204174041748,0.2933204259438529,0.5947439074516296,0.4713337728660678,0.7124999761581421,0.7817133443163099,True,True,0.3071287128712871,0.7300000000000002
1709,1218,2018-01-05,0.2933204174041748,0.2933204259438529,0.6035314202308655,0.4797694915947078,0.7082443237304688,0.7773326344166543,True,True,0.30533333333333335,0.7259090909090911
1709,1223,2018-01-12,0.2933204174041748,0.2933204259438529,0.5992692112922668,0.48225455662598765,0.6938073635101318,0.7579686268891914,True,True,0.2991818181818182,0.7078260869565218
1709,1228,2018-01-19,0.30300095677375793,0.30300096805421106,0.5930926203727722,0.4827743384307239,0.6840887069702148,0.7393259198242723,True,True,0.2950434782608696,0.6904166666666667
1709,1233,2018-01-26,0.30300095677375793,0.30300096805421106,0.5966235995292664,0.490641900191307,0.6757702827453613,0.7303130148270182,True,True,0.29150000000000004,0.682
1709,1238,2018-02-02,0.3591481149196625,0.35914811229428845,0.5958521962165833,0.49478499394447567,0.6712962985038757,0.7425864909390445,False,False,0.2896,0.6934615384615385
1709,1243,2018-02-09,0.4056147038936615,0.40561471442400776,0.5931779742240906,0.49708462919115143,0.6698607802391052,0.7384831289279395,False,False,0.28900000000000003,0.6896296296296297
1709,1246,2018-02-14,0.4056147038936615,0.40561471442400776,0.5882325172424316,0.49006540007773725,0.6655092835426331,0.7270240056483879,False,False,0.2871428571428572,0.6789285714285714
1709,1248,2018-02-23,0.4056147038936615,0.40561471442400776,0.5839419364929199,0.480327124473233,0.6607587337493896,0.7100778276430154,False,False,0.28511111111111115,0.6631034482758621
1709,1253,2018-03-02,0.4056147038936615,0.40561471442400776,0.5811945199966431,0.48226938168776123,0.6534771919250488,0.7071114772103241,False,False,0.28200000000000003,0.6603333333333334
1709,1258,2018-03-09,0.4056147038936615,0.40561471442400776,0.577004075050354,0.4827756997435305,0.6442901492118835,0.6974278577881704,False,False,0.27806896551724136,0.6512903225806453
1709,1263,2018-03-16,0.4056147038936615,0.40561471442400776,0.5726704597473145,0.4829092300041163,0.6358749866485596,0.6937036655683692,False,False,0.2744666666666667,0.6478125000000001
1709,1268,2018-03-23,0.4056147038936615,0.40561471442400776,0.5672745704650879,0.4819205550636324,0.6326659321784973,0.6979931106784485,False,False,0.2730967741935484,0.651818181818182
1709,1273,2018-03-30,0.4056147038936615,0.40561471442400776,0.571476399898529,0.48874857413980594,0.6356277465820312,0.7146283554608006,False,False,0.274375,0.6673529411764707
1709,1276,2018-04-04,0.4056147038936615,0.40561471442400776,0.5728338360786438,0.48723977729497475,0.6327160596847534,0.7027771240291835,False,False,0.2731288343558282,0.6562857142857145
1709,1281,2018-04-13,0.4056147038936615,0.40561471442400776,0.5767427682876587,0.49369579106557443,0.6327622532844543,0.7061596192568188,False,False,0.27315476190476196,0.6594444444444446
1709,1286,2018-04-20,0.4056147038936615,0.40561471442400776,0.5742627382278442,0.4946491218554745,0.6258074641227722,0.6943096308829424,False,False,0.27017341040462434,0.6483783783783785
1709,1291,2018-04-27,0.4056147038936615,0.40561471442400776,0.5673326849937439,0.4916538060255378,0.6193764209747314,0.6853377265238882,False,False,0.26741573033707866,0.6400000000000002
1709,1294,2018-05-04,0.4056147038936615,0.40561471442400776,0.5626136064529419,0.48511853440690933,0.6150977611541748,0.6743547501372874,False,False,0.26558011049723756,0.6297435897435899
1709,1299,2018-05-11,0.4056147038936615,0.40561471442400776,0.5550848245620728,0.4814178999039359,0.6069819927215576,0.6644563426688633,False,False,0.2620967741935484,0.6205
1709,1304,2018-05-18,0.4056147038936615,0.40561471442400776,0.5485118627548218,0.47835160119330133,0.5988060235977173,0.654257242737172,False,False,0.258586387434555,0.6109756097560975
