路线,价格口径,引擎年化,第117节记录,差pp,过
R08,qfq,0.16379245125048003,0.1638,-0.0007548749519969977,True
R08,raw,0.1446234616890958,0.1446,0.0023461689095782834,True
R09,qfq,0.08498435951167282,0.085,-0.0015640488327181568,True
R09,raw,0.08498435951167282,0.085,-0.0015640488327181568,True
