段,确认,确认率,n,持有,事件收益,对照中位,超额pp,年化超额pp,p
训练段13-21,N=5 k=0%,0.4131282701759949,6711,5,0.008983281235748307,0.009551223426147063,-0.05679421903987559,-4.462626384157753,0.8805970149253731
训练段13-21,N=5 k=0%,0.4131282701759949,6711,20,0.036889274156740266,0.03786504011301793,-0.09757659562776647,-1.8600706316229676,0.8407960199004975
训练段13-21,N=5 k=0%,0.4131282701759949,6711,60,0.09384649120139395,0.09217662700726581,0.16698641941281372,0.9221082852716833,0.27860696517412936
训练段13-21,N=5 k=0%,0.4131282701759949,6711,120,0.0867640383682071,0.08182790854648422,0.49361298217228816,1.122592669180933,0.05472636815920398
训练段13-21,N=5 k=0%,0.4131282701759949,6711,250,0.19053269297313252,0.18050612076188932,1.00265722112432,1.0026572211243368,0.014925373134328358
留出段22-26,N=5 k=0%,0.4131282701759949,4211,5,0.003001727578589147,0.005617834314408851,-0.2616106735819704,-16.15961967768287,1.0
留出段22-26,N=5 k=0%,0.4131282701759949,4211,20,0.016057262437580398,0.025877942004910885,-0.9820679567330487,-15.59162028582759,1.0
留出段22-26,N=5 k=0%,0.4131282701759949,4211,60,0.006724310971240541,0.015389427757964393,-0.8665116786723853,-3.7384793094945357,1.0
留出段22-26,N=5 k=0%,0.4131282701759949,4211,120,0.05371044580868317,0.059885850675533994,-0.6175404866850822,-1.3658897145981452,0.9900497512437811
留出段22-26,N=5 k=0%,0.4131282701759949,4211,250,0.09971156879431743,0.12117105593110011,-2.1459487136782682,-2.1459487136782585,1.0
训练段13-21,N=5 k=3%,0.6970667512287934,10960,5,0.008584034675713859,0.008953657031986906,-0.03696223562730475,-2.834819123440635,0.7910447761194029
训练段13-21,N=5 k=3%,0.6970667512287934,10960,20,0.034422836138523906,0.03360095935767787,0.08218767808460328,1.5092520279905042,0.22388059701492538
训练段13-21,N=5 k=3%,0.6970667512287934,10960,60,0.08861121892705275,0.0834866880709601,0.5124530856092644,2.7731204890399486,0.004975124378109453
训练段13-21,N=5 k=3%,0.6970667512287934,10960,120,0.08903695373225425,0.08308911536735955,0.5947838364894695,1.3550674743808777,0.004975124378109453
训练段13-21,N=5 k=3%,0.6970667512287934,10960,250,0.19231263562328957,0.17803082399804393,1.428181162524564,1.4281811625245666,0.004975124378109453
留出段22-26,N=5 k=3%,0.6970667512287934,7581,5,0.002906303543022454,0.0051704145216783315,-0.22641109786558775,-13.799046282007787,1.0
留出段22-26,N=5 k=3%,0.6970667512287934,7581,20,0.01634324589027233,0.021679649060997355,-0.5336403170725025,-8.284719153646103,1.0
留出段22-26,N=5 k=3%,0.6970667512287934,7581,60,0.011185296074162526,0.01509702692882094,-0.3911730854658414,-1.6986912443549773,0.9900497512437811
留出段22-26,N=5 k=3%,0.6970667512287934,7581,120,0.059076640623048106,0.059972248132364445,-0.08956075093163388,-0.19864610440485375,0.6169154228855721
留出段22-26,N=5 k=3%,0.6970667512287934,7581,250,0.10318924634278255,0.10634278561629819,-0.31535392735156376,-0.3153539273515582,0.746268656716418
训练段13-21,N=10 k=0%,0.3181861423814809,5167,5,0.012744911820462057,0.011566227885813598,0.11786839346484591,10.654701404798983,0.024875621890547265
训练段13-21,N=10 k=0%,0.3181861423814809,5167,20,0.0383388649636412,0.037322547302415965,0.1016317661225237,1.947137022761125,0.18407960199004975
训练段13-21,N=10 k=0%,0.3181861423814809,5167,60,0.08760431531753231,0.08395349852688033,0.36508167906519756,1.9740643373594935,0.03980099502487562
训练段13-21,N=10 k=0%,0.3181861423814809,5167,120,0.08188333123532311,0.07214357854155592,0.9739752693767187,2.19893832617859,0.004975124378109453
训练段13-21,N=10 k=0%,0.3181861423814809,5167,250,0.17608336469880267,0.16059380135933965,1.5489563339463026,1.5489563339462942,0.004975124378109453
留出段22-26,N=10 k=0%,0.3181861423814809,3211,5,0.004174512491503588,0.006830385094677771,-0.26558726031741836,-17.387919818729515,1.0
留出段22-26,N=10 k=0%,0.3181861423814809,3211,20,0.006869193170018767,0.01179646819934535,-0.49272750293265827,-6.854321729205504,1.0
留出段22-26,N=10 k=0%,0.3181861423814809,3211,60,0.004348906478772368,0.0035655564493365876,0.07833500294357801,0.3305036069346068,0.3283582089552239
留出段22-26,N=10 k=0%,0.3181861423814809,3211,120,0.0573690495095393,0.053587826740899236,0.37812227686400623,0.8352077729257168,0.1791044776119403
留出段22-26,N=10 k=0%,0.3181861423814809,3211,250,0.1005844894656342,0.10284943290754062,-0.22649434419064196,-0.22649434419064196,0.6019900497512438
训练段13-21,N=10 k=3%,0.5643887743776757,8871,5,0.011607458063483773,0.009967888337672856,0.1639569725810917,13.872309887266688,0.004975124378109453
训练段13-21,N=10 k=3%,0.5643887743776757,8871,20,0.03505066511131065,0.03190100322698326,0.3149661884327387,5.749737144357314,0.004975124378109453
训练段13-21,N=10 k=3%,0.5643887743776757,8871,60,0.08088644035538047,0.0736009776680807,0.7285462687299765,3.842192642186326,0.004975124378109453
训练段13-21,N=10 k=3%,0.5643887743776757,8871,120,0.08492558866071741,0.07503366389449212,0.9891924766225288,2.2399581131530066,0.004975124378109453
训练段13-21,N=10 k=3%,0.5643887743776757,8871,250,0.18124822613282407,0.1636793735254607,1.7568852607363379,1.7568852607363405,0.004975124378109453
留出段22-26,N=10 k=3%,0.5643887743776757,6138,5,0.0032889088654246947,0.005404612007236381,-0.21157031418116864,-13.089228607068183,1.0
留出段22-26,N=10 k=3%,0.5643887743776757,6138,20,0.008434177595261876,0.009316304914724478,-0.08821273194626021,-1.220601203565863,0.7761194029850746
留出段22-26,N=10 k=3%,0.5643887743776757,6138,60,0.00869467271885261,0.004945097703496725,0.3749575015355885,1.5963195943970332,0.01990049751243781
留出段22-26,N=10 k=3%,0.5643887743776757,6138,120,0.06336674635798246,0.0522095315040793,1.1157214853903161,2.470282706506932,0.009950248756218905
留出段22-26,N=10 k=3%,0.5643887743776757,6138,250,0.09832762005587428,0.08629133760727328,1.2036282448601,1.2036282448600888,0.01990049751243781
