criterion,window,ctrl_cagr,strat_cagr
D2,full,0.1412133670476483,0.2563177616624246
D2,full,0.15152551239197432,0.2563177616624246
D2,full,0.1643723280196745,0.2563177616624246
D2,full,0.16815565863775195,0.2563177616624246
D2,full,0.05810008016369772,0.2563177616624246
D2,full,0.1263049620160761,0.2563177616624246
D2,full,0.09233126961694493,0.2563177616624246
D2,full,0.15627542691642327,0.2563177616624246
D2,full,0.12708427766837094,0.2563177616624246
D2,full,0.1712844998751033,0.2563177616624246
D2,full,0.12027223865002878,0.2563177616624246
D2,full,0.1345411385738755,0.2563177616624246
D2,full,0.11175320609693973,0.2563177616624246
D2,full,0.15303361534082427,0.2563177616624246
D2,full,0.13598262376117232,0.2563177616624246
D2,full,0.14843674332820478,0.2563177616624246
D2,full,0.1371367649974531,0.2563177616624246
D2,full,0.1781747457864582,0.2563177616624246
D2,full,0.1706311225738737,0.2563177616624246
D2,full,0.1611849572577726,0.2563177616624246
D2,full,0.1372593311512844,0.2563177616624246
D2,full,0.11797791417040782,0.2563177616624246
D2,full,0.13546549109873762,0.2563177616624246
D2,full,0.12195282530326224,0.2563177616624246
D2,full,0.15033097846803756,0.2563177616624246
D2,full,0.11271154996980615,0.2563177616624246
D2,full,0.1299017762539656,0.2563177616624246
D2,full,0.15184956396570914,0.2563177616624246
D2,full,0.15186119235577888,0.2563177616624246
D2,full,0.12623317538407197,0.2563177616624246
D2,full,0.09752148053594056,0.2563177616624246
D2,full,0.10375216197871628,0.2563177616624246
D2,full,0.1734477964199943,0.2563177616624246
D2,full,0.2013475663386437,0.2563177616624246
D2,full,0.14283724409599885,0.2563177616624246
D2,full,0.11171549666235303,0.2563177616624246
D2,full,0.1418049940371937,0.2563177616624246
D2,full,0.13883873802379387,0.2563177616624246
D2,full,0.15182680201272958,0.2563177616624246
D2,full,0.14780856910004614,0.2563177616624246
D2,full,0.11657486053783117,0.2563177616624246
D2,full,0.19029474275380354,0.2563177616624246
D2,full,0.16127161913839827,0.2563177616624246
D2,full,0.16300432383514707,0.2563177616624246
D2,full,0.14238834385363908,0.2563177616624246
D2,full,0.19546537656819107,0.2563177616624246
D2,full,0.13946756737295152,0.2563177616624246
D2,full,0.13305614543830568,0.2563177616624246
D2,full,0.10181779119936518,0.2563177616624246
D2,full,0.13576817350086268,0.2563177616624246
D2,full,0.15914974578526442,0.2563177616624246
