前瞻,组,样本,胜率,中位收益,平均收益,对照胜率,胜率差pp
20,A,248168,0.5000322362270719,0.0002195576894845619,0.014692044595141604,0.501775007253151,-0.17427710260791152
20,B,239262,0.48789611388352516,-0.0016848411138135067,0.013850874463227102,0.4833571565898471,0.45389572936780365
60,A,241950,0.5020086794792312,0.0015140054096182132,0.049756565704017736,0.5007935523868567,0.12151270923744795
60,B,235708,0.4869754102533643,-0.004062977177995086,0.030684843458943643,0.48324197736182056,0.3733432891543764
120,A,230548,0.5092388569842289,0.0065192317500087915,0.08656016650129732,0.5094644065444073,-0.022554956017839523
120,B,232511,0.5131542163596561,0.008016032064128265,0.06176081935620039,0.5068555896280176,0.6298626731638501
250,A,201738,0.5220335286361518,0.020346562579612093,0.16541928431955868,0.5254587633465188,-0.3425234710366931
250,B,227517,0.5448955462668723,0.035026269702276736,0.14720242463395777,0.5354830628040982,0.9412483462774124
