strategy,n_reb,ind_cov,bank_share,train_cagr,train_mdd,train_sharpe,train_ctrl,train_p,holdout_cagr,holdout_mdd,holdout_sharpe,holdout_ctrl,holdout_p,W2
R08,152.0,0.9995109652682602,0.5651315789473683,0.1512371606833951,-0.3477154271132752,0.770281808554924,0.07154258781148959,0.001996007984031936,0.09976036104761343,-0.22667786663932887,0.66928333167306,0.03565269901106882,0.001996007984031936,True
R09,146.0,0.9995109652682602,0.07705479452054795,0.08731920481290234,-0.4983244950195185,0.46080429920279864,0.0022943420259532443,0.003992015968063872,0.06629231759794396,-0.22223079176379534,0.49197709998093925,-0.030956077184336406,0.001996007984031936,True
CFP_single,152.0,0.9995109652682602,0.23750000000000002,0.1663110477306946,-0.4111175196238043,0.7990909489921457,0.0601993032208652,0.001996007984031936,0.11573865827444996,-0.2306801372318874,0.6385036856110079,0.023632693534414773,0.001996007984031936,True
BANK_EW_train,,,,0.09941662293406917,-0.37568567424825994,,,,,,,,,
BANK_EW_holdout,,,,,,,,,0.0776309250892997,-0.1730953467735099,,,,
